,what,do,chloroplasts,use,their,ribosomes,for,?
chloroplasts,0.2524593770503998,0.2621478736400604,0.9999999403953552,0.2257048487663269,0.2906811833381653,0.692483127117157,0.22036349773406982,0.13049766421318054
have,0.39808809757232666,0.49831271171569824,0.29091566801071167,0.4805850088596344,0.523270845413208,0.2618851065635681,0.41175219416618347,0.32991164922714233
their,0.35142919421195984,0.35424983501434326,0.2906811833381653,0.3415622115135193,1.0,0.2588171362876892,0.3406745493412018,0.1898253709077835
own,0.35062843561172485,0.31129190325737,0.24355259537696838,0.3208424746990204,0.5763392448425293,0.2260206788778305,0.30703625082969666,0.1937696635723114
ribosomes,0.23489654064178467,0.2741125822067261,0.692483127117157,0.1955333650112152,0.2588171362876892,0.9999999403953552,0.18695728480815887,0.1832229495048523
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.3276674151420593,0.3045167922973633,0.1801164448261261,0.4464869201183319,0.31091248989105225
which,0.5261979103088379,0.31153854727745056,0.3874085545539856,0.39254313707351685,0.4582767188549042,0.39463162422180176,0.44095608592033386,0.25814583897590637
they,0.4431931674480438,0.4667694866657257,0.37369829416275024,0.39895978569984436,0.7104025483131409,0.2926326096057892,0.3466525673866272,0.2753053903579712
use,0.3453877568244934,0.4545445144176483,0.2257048487663269,1.0,0.3415622115135193,0.1955333650112152,0.47655582427978516,0.32795652747154236
to,0.455847829580307,0.38876664638519287,0.23370109498500824,0.47261837124824524,0.44619059562683105,0.21521270275115967,0.4451248347759247,0.29463258385658264
synthesize,0.2505638301372528,0.23457713425159454,0.4822883903980255,0.3221319317817688,0.1838657110929489,0.4972950518131256,0.1687663495540619,0.20040832459926605
a,0.3320399522781372,0.26237669587135315,0.24622295796871185,0.30793872475624084,0.29698723554611206,0.24157440662384033,0.44038116931915283,0.23916715383529663
small,0.2504110634326935,0.266916424036026,0.2841032147407532,0.26399457454681396,0.2815926969051361,0.2688138484954834,0.20376276969909668,0.13914890587329865
fraction,0.2630118429660797,0.17098930478096008,0.3052515387535095,0.3201413154602051,0.1571129858493805,0.3220682442188263,0.1991998255252838,0.18103548884391785
of,0.33290785551071167,0.26150479912757874,0.23179760575294495,0.2750902473926544,0.4329940676689148,0.2397242784500122,0.4185989499092102,0.1826142966747284
their,0.35142919421195984,0.35424983501434326,0.2906811833381653,0.3415622115135193,1.0,0.2588171362876892,0.3406745493412018,0.1898253709077835
proteins,0.21361225843429565,0.23339512944221497,0.6372175812721252,0.21219223737716675,0.2906370162963867,0.7380626797676086,0.22488538920879364,0.18469302356243134
.,0.3567904531955719,0.3613996207714081,0.23868323862552643,0.3711656630039215,0.34427863359451294,0.18368114531040192,0.4726039469242096,0.4130953550338745
