,what,types,of,houses,are,designed,by,fresno,architects,?
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2692612111568451,0.40399202704429626,0.2559613883495331,0.4408751428127289,0.22571885585784912,0.20176702737808228,0.22068053483963013
area,0.21965408325195312,0.13181811571121216,0.3409860134124756,0.3060080111026764,0.25780194997787476,0.18083441257476807,0.22557134926319122,0.21332328021526337,0.20467576384544373,0.12640461325645447
includes,0.17138352990150452,0.31329816579818726,0.4359378218650818,0.19010399281978607,0.4409101605415344,0.20878396928310394,0.23219992220401764,0.15791457891464233,0.17102190852165222,0.14011523127555847
many,0.36131182312965393,0.4814179539680481,0.37253960967063904,0.27926701307296753,0.5655534863471985,0.22914452850818634,0.3409687578678131,0.1503066122531891,0.21763980388641357,0.2124512493610382
california,0.1811584085226059,0.16916270554065704,0.24929828941822052,0.1748901754617691,0.17678135633468628,0.13960368931293488,0.22481602430343628,0.5836333632469177,0.16163721680641174,0.1409905105829239
bungalow,0.23680952191352844,0.2779058814048767,0.2658120095729828,0.4555554986000061,0.31487032771110535,0.2741936147212982,0.2497195601463318,0.23195518553256989,0.26076260209083557,0.11733809113502502
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.33128079771995544,0.48576638102531433,0.2359010875225067,0.4289871156215668,0.21513071656227112,0.22015763819217682,0.20544172823429108
american,0.1909721940755844,0.176725372672081,0.22180068492889404,0.1413160264492035,0.1369791477918625,0.14698347449302673,0.2777634859085083,0.31123173236846924,0.2039451003074646,0.18877598643302917
craftsman,0.1444392055273056,0.16440743207931519,0.20823992788791656,0.3205041289329529,0.11101622879505157,0.3711166977882385,0.14315836131572723,0.12452121824026108,0.4200851321220398,0.08347847312688828
style,0.2488866001367569,0.22888870537281036,0.23203764855861664,0.21122856438159943,0.16533824801445007,0.2501359283924103,0.20164106786251068,0.13522717356681824,0.28044068813323975,0.19862167537212372
homes,0.1709814965724945,0.15257030725479126,0.2122298777103424,0.5516307950019836,0.30224695801734924,0.2482573688030243,0.1980058252811432,0.25636863708496094,0.28279754519462585,0.12707971036434174
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.25159695744514465,0.4062570035457611,0.201692596077919,0.3680937886238098,0.2561432421207428,0.19375400245189667,0.31091248989105225
spanish,0.13950122892856598,0.13760580122470856,0.1623179167509079,0.18470166623592377,0.11603249609470367,0.11334126442670822,0.18348926305770874,0.21408884227275848,0.18216238915920258,0.14750491082668304
colonial,0.15791663527488708,0.0871688723564148,0.2972153425216675,0.26701250672340393,0.16936959326267242,0.1424124389886856,0.19209767878055573,0.1689695417881012,0.21711383759975433,0.10191229730844498
revival,0.17674529552459717,0.15343669056892395,0.2109367549419403,0.23206867277622223,0.09974300861358643,0.23473042249679565,0.24192027747631073,0.10235633701086044,0.31756266951560974,0.09967152029275894
style,0.2488866001367569,0.22888870537281036,0.23203764855861664,0.21122856438159943,0.16533824801445007,0.2501359283924103,0.20164106786251068,0.13522717356681824,0.28044068813323975,0.19862167537212372
architecture,0.23286667466163635,0.1551264375448227,0.2756515443325043,0.36403343081474304,0.15150071680545807,0.4611009955406189,0.14900097250938416,0.10864338278770447,0.796585202217102,0.14343059062957764
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.25159695744514465,0.4062570035457611,0.201692596077919,0.3680937886238098,0.2561432421207428,0.19375400245189667,0.31091248989105225
mediterranean,0.18149876594543457,0.1586294323205948,0.272215873003006,0.21305996179580688,0.18396662175655365,0.144728884100914,0.17718994617462158,0.23770341277122498,0.20025894045829773,0.15430885553359985
revival,0.17674529552459717,0.15343669056892395,0.2109367549419403,0.23206867277622223,0.09974300861358643,0.23473042249679565,0.24192027747631073,0.10235633701086044,0.31756266951560974,0.09967152029275894
style,0.2488866001367569,0.22888870537281036,0.23203764855861664,0.21122856438159943,0.16533824801445007,0.2501359283924103,0.20164106786251068,0.13522717356681824,0.28044068813323975,0.19862167537212372
architecture,0.23286667466163635,0.1551264375448227,0.2756515443325043,0.36403343081474304,0.15150071680545807,0.4611009955406189,0.14900097250938416,0.10864338278770447,0.796585202217102,0.14343059062957764
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.25159695744514465,0.4062570035457611,0.201692596077919,0.3680937886238098,0.2561432421207428,0.19375400245189667,0.31091248989105225
mission,0.2317502647638321,0.02962181530892849,0.20170781016349792,0.08634768426418304,0.12373365461826324,0.2078419327735901,0.18301942944526672,0.24779362976551056,0.16605843603610992,0.19506393373012543
revival,0.17674529552459717,0.15343669056892395,0.2109367549419403,0.23206867277622223,0.09974300861358643,0.23473042249679565,0.24192027747631073,0.10235633701086044,0.31756266951560974,0.09967152029275894
style,0.2488866001367569,0.22888870537281036,0.23203764855861664,0.21122856438159943,0.16533824801445007,0.2501359283924103,0.20164106786251068,0.13522717356681824,0.28044068813323975,0.19862167537212372
architecture,0.23286667466163635,0.1551264375448227,0.2756515443325043,0.36403343081474304,0.15150071680545807,0.4611009955406189,0.14900097250938416,0.10864338278770447,0.796585202217102,0.14343059062957764
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.25159695744514465,0.4062570035457611,0.201692596077919,0.3680937886238098,0.2561432421207428,0.19375400245189667,0.31091248989105225
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.33128079771995544,0.48576638102531433,0.2359010875225067,0.4289871156215668,0.21513071656227112,0.22015763819217682,0.20544172823429108
many,0.36131182312965393,0.4814179539680481,0.37253960967063904,0.27926701307296753,0.5655534863471985,0.22914452850818634,0.3409687578678131,0.1503066122531891,0.21763980388641357,0.2124512493610382
storybook,0.25426530838012695,0.1277366727590561,0.21010556817054749,0.20881487429141998,0.14071908593177795,0.23338082432746887,0.2365642488002777,0.1134791299700737,0.18783751130104065,0.1916864961385727
houses,0.1434021294116974,0.2226591408252716,0.2718559205532074,1.0,0.2642761170864105,0.2842714786529541,0.19036784768104553,0.16046839952468872,0.4008835256099701,0.10120081901550293
designed,0.15902110934257507,0.21964222192764282,0.2000347077846527,0.2842714786529541,0.14064814150333405,1.0,0.29250532388687134,0.11325079947710037,0.546787679195404,0.11213942617177963
by,0.2455483376979828,0.15044783055782318,0.3646814823150635,0.19036784768104553,0.37842893600463867,0.29250532388687134,1.0000001192092896,0.12580959498882294,0.2226451337337494,0.17966607213020325
fresno,0.159109428524971,0.06714535504579544,0.1875009983778,0.16046839952468872,0.14489346742630005,0.11325079947710037,0.12580959498882294,1.0000001192092896,0.16079887747764587,0.13224096596240997
architects,0.1787957400083542,0.12419891357421875,0.21415399014949799,0.4008835256099701,0.1389332264661789,0.546787679195404,0.2226451337337494,0.16079887747764587,1.0,0.1260584592819214
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.25159695744514465,0.4062570035457611,0.201692596077919,0.3680937886238098,0.2561432421207428,0.19375400245189667,0.31091248989105225
hilliard,0.16272449493408203,0.14528891444206238,0.17568381130695343,0.23795776069164276,0.12360115349292755,0.15452833473682404,0.18461520969867706,0.34859710931777954,0.27117517590522766,0.15510571002960205
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.25159695744514465,0.4062570035457611,0.201692596077919,0.3680937886238098,0.2561432421207428,0.19375400245189667,0.31091248989105225
