,the,national,art,library,at,the,v,&,a,is,known,by,what,other,name,?
the,1.0,0.32739606499671936,0.20297785103321075,0.19920319318771362,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.5823672413825989,0.3624623417854309,0.4408751428127289,0.42745697498321533,0.44152235984802246,0.3171212375164032,0.22068053483963013
national,0.32739606499671936,1.0000001192092896,0.17277342081069946,0.3433544933795929,0.25194111466407776,0.32739606499671936,0.10848595201969147,0.1480441838502884,0.27889734506607056,0.23413582146167755,0.17896312475204468,0.19307640194892883,0.16882304847240448,0.1963898241519928,0.12491574138402939,0.15643028914928436
art,0.20297785103321075,0.17277342081069946,1.0,0.26919788122177124,0.17421728372573853,0.20297785103321075,0.12526747584342957,0.1891014128923416,0.1329297125339508,0.17386884987354279,0.15160098671913147,0.2189643532037735,0.19292277097702026,0.14999167621135712,0.10219083726406097,0.138971745967865
library,0.19920319318771362,0.3433544933795929,0.26919788122177124,0.9999999403953552,0.23152178525924683,0.19920319318771362,0.16114428639411926,0.1183592677116394,0.13480092585086823,0.16916222870349884,0.14185714721679688,0.17569513618946075,0.19149379432201385,0.15870825946331024,0.09255752712488174,0.18938742578029633
(,0.33289089798927307,0.24475820362567902,0.1266477406024933,0.18725703656673431,0.23315078020095825,0.33289089798927307,0.2043849378824234,0.21434709429740906,0.3206180930137634,0.35393038392066956,0.2843264043331146,0.20696312189102173,0.2411840260028839,0.25035592913627625,0.2706909477710724,0.40561532974243164
also,0.6021018624305725,0.33713406324386597,0.1955799013376236,0.20494800806045532,0.36980849504470825,0.6021018624305725,0.17328022420406342,0.1553146094083786,0.5149940252304077,0.5012649297714233,0.4766203761100769,0.3824189305305481,0.42747777700424194,0.5326101183891296,0.34663957357406616,0.21848613023757935
called,0.489897221326828,0.20165744423866272,0.1624414622783661,0.11875016242265701,0.23534239828586578,0.489897221326828,0.15024623274803162,0.12243451178073883,0.4868806302547455,0.430266410112381,0.4469456970691681,0.3092815577983856,0.3235960602760315,0.3308360278606415,0.30947911739349365,0.18963319063186646
word,0.2835540175437927,0.1311340481042862,0.11599436402320862,0.13738776743412018,0.17046479880809784,0.2835540175437927,0.06174628064036369,0.03805243596434593,0.3246598243713379,0.29004693031311035,0.1969900131225586,0.10335100442171097,0.30982115864753723,0.244954451918602,0.42211398482322693,0.19046713411808014
and,0.5171257257461548,0.2608908712863922,0.2631918787956238,0.18451033532619476,0.3571503460407257,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.3859752118587494,0.3468935489654541,0.4289871156215668,0.31309178471565247,0.5504306554794312,0.21235932409763336,0.20544172823429108
image,0.24039390683174133,0.12231819331645966,0.16712236404418945,0.15899235010147095,0.2205095887184143,0.24039390683174133,0.13085035979747772,0.069512739777565,0.199119433760643,0.2304195761680603,0.10754777491092682,0.13177452981472015,0.13311375677585602,0.16809532046318054,0.2865382730960846,0.14968013763427734
