,what,does,chlorophyll,use,light,energy,to,do,?
photosystem,0.2531913220882416,0.24475109577178955,0.5869101285934448,0.3360986113548279,0.42057204246520996,0.5013698935508728,0.31825703382492065,0.2886979877948761,0.20814889669418335
ii,0.13866674900054932,0.15925389528274536,0.1885855495929718,0.13363835215568542,0.1613687127828598,0.10456906259059906,0.20368696749210358,0.11711517721414566,0.11928234249353409
and,0.31309178471565247,0.3461615741252899,0.2039463371038437,0.34145063161849976,0.20458035171031952,0.23934243619441986,0.48971283435821533,0.276123583316803,0.20544172823429108
photosystem,0.2531913220882416,0.24475109577178955,0.5869101285934448,0.3360986113548279,0.42057204246520996,0.5013698935508728,0.31825703382492065,0.2886979877948761,0.20814889669418335
i,0.4411132335662842,0.2994098961353302,0.17979010939598083,0.2535853981971741,0.1420762985944748,0.16703324019908905,0.3140375316143036,0.39633429050445557,0.4695145785808563
contain,0.1832355558872223,0.28833872079849243,0.32592758536338806,0.4442017376422882,0.22261270880699158,0.26713526248931885,0.28093209862709045,0.31365397572517395,0.18853069841861725
light-harvesting,0.2891763746738434,0.22637999057769775,0.4405483901500702,0.3828279674053192,0.4684947431087494,0.4186389446258545,0.29627522826194763,0.24555930495262146,0.23012307286262512
complexes,0.17202474176883698,0.22630275785923004,0.4042796492576599,0.2716158330440521,0.2097773551940918,0.24219605326652527,0.24250289797782898,0.23307161033153534,0.06042792648077011
with,0.2464839518070221,0.26186925172805786,0.1716228723526001,0.3356984257698059,0.20245222747325897,0.19224508106708527,0.4239959120750427,0.23744353652000427,0.2433311939239502
chlorophyll,0.23408083617687225,0.2114456593990326,1.0000001192092896,0.2224339246749878,0.36503008008003235,0.45149803161621094,0.23928487300872803,0.20705407857894897,0.1099696233868599
and,0.31309178471565247,0.3461615741252899,0.2039463371038437,0.34145063161849976,0.20458035171031952,0.23934243619441986,0.48971283435821533,0.276123583316803,0.20544172823429108
carotenoids,0.2214864045381546,0.26950395107269287,0.6262645721435547,0.2958695590496063,0.2927102744579315,0.35987401008605957,0.27427148818969727,0.3288171887397766,0.18201911449432373
that,0.6297725439071655,0.4764937460422516,0.2626972496509552,0.3939064145088196,0.28159382939338684,0.2617390751838684,0.5436353087425232,0.44533252716064453,0.32716336846351624
absorb,0.26995739340782166,0.282772958278656,0.508098304271698,0.3535999059677124,0.47052520513534546,0.5053080320358276,0.3085710406303406,0.2881942093372345,0.18596899509429932
light,0.22953972220420837,0.1665857434272766,0.36503008008003235,0.2755521535873413,0.9999998807907104,0.3715866506099701,0.22474321722984314,0.16024693846702576,0.17429810762405396
energy,0.190252885222435,0.23927782475948334,0.45149803161621094,0.2893061637878418,0.3715866506099701,1.0000001192092896,0.27179354429244995,0.21968168020248413,0.14860127866268158
and,0.31309178471565247,0.3461615741252899,0.2039463371038437,0.34145063161849976,0.20458035171031952,0.23934243619441986,0.48971283435821533,0.276123583316803,0.20544172823429108
use,0.3453877568244934,0.39963871240615845,0.2224339246749878,1.0,0.2755521535873413,0.2893061637878418,0.47261837124824524,0.4545445144176483,0.32795652747154236
it,0.45803478360176086,0.34188351035118103,0.18487794697284698,0.34436097741127014,0.2782151997089386,0.17379210889339447,0.513711154460907,0.337066113948822,0.25732165575027466
to,0.455847829580307,0.4391997456550598,0.23928487300872803,0.47261837124824524,0.22474321722984314,0.27179354429244995,1.0,0.38876664638519287,0.29463258385658264
energize,0.2514362037181854,0.2592470645904541,0.4433435797691345,0.3072705864906311,0.42212724685668945,0.7694549560546875,0.3185034692287445,0.27093759179115295,0.1770433783531189
electrons,0.23107858002185822,0.2547900676727295,0.4660065770149231,0.1866162270307541,0.3658778667449951,0.506034791469574,0.2753003239631653,0.23752672970294952,0.15516111254692078
.,0.3567904531955719,0.3022993505001068,0.24319429695606232,0.3711656630039215,0.2497042715549469,0.22292809188365936,0.4645031690597534,0.3613996207714081,0.4130953550338745
