,what,percentage,of,newcastle,'s,population,was,culled,by,the,plague,?
specifically,0.37581726908683777,0.20374533534049988,0.24232523143291473,0.047977156937122345,-0.00417898315936327,0.1457415074110031,0.22558844089508057,0.2089083343744278,0.3063804507255554,0.3760298490524292,0.15103793144226074,0.2063003033399582
within,0.2498195916414261,0.24154768884181976,0.39594778418540955,0.18909280002117157,-0.01527355331927538,0.18120217323303223,0.19280311465263367,0.173577681183815,0.28621017932891846,0.39827480912208557,0.14751115441322327,0.1870293766260147
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.2253497689962387,-0.01540423184633255,0.32044094800949097,0.48711544275283813,0.3589450418949127,0.4408751428127289,1.0,0.2537761330604553,0.22068053483963013
year,0.15184831619262695,0.17343677580356598,0.2578314542770386,0.18703900277614594,-0.04087831452488899,0.2023945301771164,0.3209837079048157,0.243724063038826,0.28805047273635864,0.3609684407711029,0.17085100710391998,0.18315006792545319
1636,-0.09300483763217926,-0.051356203854084015,0.10540710389614105,0.11750133335590363,-0.0027795343194156885,0.21233227849006653,0.15977349877357483,0.15433433651924133,0.06370946764945984,0.048702459782361984,-0.030479365959763527,-0.0838172435760498
",",0.3087472915649414,0.21945469081401825,0.4946078956127167,0.251589834690094,-0.0016132977325469255,0.2967977225780487,0.45456063747406006,0.32780754566192627,0.3680937886238098,0.4933079481124878,0.2630122900009155,0.31091248989105225
it,0.45803478360176086,0.26621147990226746,0.38761502504348755,0.17789338529109955,0.06608816236257553,0.30431556701660156,0.4577186405658722,0.23281291127204895,0.40926623344421387,0.6251175999641418,0.28122323751449585,0.25732165575027466
is,0.28837618231773376,0.23538601398468018,0.4854315221309662,0.1841045320034027,0.02396530658006668,0.2727566361427307,0.5810302495956421,0.14963653683662415,0.3899846076965332,0.5823672413825989,0.15890252590179443,0.22961433231830597
roughly,0.2731170356273651,0.19922706484794617,0.35703447461128235,0.16750812530517578,0.024296239018440247,0.26747027039527893,0.1854681819677353,0.20483700931072235,0.22591209411621094,0.3095499873161316,0.1670909821987152,0.09299357235431671
estimated,0.19670580327510834,0.3637859523296356,0.30473583936691284,0.15640278160572052,-0.008634808473289013,0.5198360681533813,0.2472851723432541,0.23769451677799225,0.21071015298366547,0.29184040427207947,0.2551756501197815,0.18149758875370026
with,0.2464839518070221,0.18467122316360474,0.41827285289764404,0.1710812896490097,-0.04624466598033905,0.15404780209064484,0.27411898970603943,0.30804821848869324,0.39731505513191223,0.4223487675189972,0.1677253097295761,0.2433311939239502
evidence,0.33425694704055786,0.19190604984760284,0.2471507489681244,0.10793798416852951,0.06192260608077049,0.20451004803180695,0.19407325983047485,0.2220563292503357,0.1430790275335312,0.25031140446662903,0.2811935245990753,0.24151235818862915
held,0.0974166989326477,0.1431821882724762,0.28960686922073364,0.16754475235939026,0.02657921425998211,0.1720801293849945,0.30231067538261414,0.3301573395729065,0.19236290454864502,0.32185450196266174,0.09033340215682983,0.14103956520557404
