,what,years,saw,the,most,loss,of,old,shows,in,the,bbc,archives,?
between,0.2462156116962433,0.2583497166633606,0.18954798579216003,0.39067012071609497,0.24144990742206573,0.20243635773658752,0.3737983703613281,0.1844184845685959,0.25468504428863525,0.41100412607192993,0.39067012071609497,0.15341418981552124,0.05694367364048958,0.12887074053287506
about,0.47976887226104736,0.3661487102508545,0.2566429674625397,0.37995871901512146,0.2816680371761322,0.15215207636356354,0.40939709544181824,0.2740228772163391,0.2948949635028839,0.39797019958496094,0.37995871901512146,0.21976140141487122,0.20729142427444458,0.302409827709198
1964,-0.0811573788523674,-0.07299438118934631,-0.0739331915974617,-0.01880853809416294,0.03104046918451786,0.02916419692337513,0.008202686905860901,0.04921460524201393,0.0005935727967880666,0.00943821482360363,-0.01880853809416294,-0.08779793977737427,-0.01213508564978838,0.041380032896995544
and,0.31309178471565247,0.300204873085022,0.2664891481399536,0.5171257257461548,0.4309377074241638,0.20191490650177002,0.5116966962814331,0.29022282361984253,0.34104886651039124,0.4954058527946472,0.5171257257461548,0.17831335961818695,0.21363653242588043,0.20544172823429108
1973,-0.22440221905708313,-0.09640815109014511,-0.17288298904895782,-0.22297891974449158,-0.15939876437187195,-0.17932002246379852,-0.15240907669067383,-0.09214220941066742,-0.13956457376480103,-0.18588787317276,-0.22297891974449158,-0.1399366408586502,-0.12244803458452225,-0.07644321769475937
",",0.3087472915649414,0.2589467465877533,0.2245745062828064,0.4933079481124878,0.3636029064655304,0.23328691720962524,0.4946078956127167,0.26524028182029724,0.26986414194107056,0.5201468467712402,0.4933079481124878,0.14724469184875488,0.23937274515628815,0.31091248989105225
large,0.2017821967601776,0.23470772802829742,0.23268994688987732,0.3828733265399933,0.32868051528930664,0.16578271985054016,0.3569655418395996,0.19525392353534698,0.20951515436172485,0.2841601073741913,0.3828733265399933,0.18315044045448303,0.12116323411464691,0.1355665624141693
amounts,0.22797702252864838,0.1590922474861145,0.15004947781562805,0.2816965878009796,0.3147454261779785,0.28288039565086365,0.25878721475601196,0.11480699479579926,0.22286532819271088,0.2579386234283447,0.2816965878009796,0.18597960472106934,0.1347579061985016,0.1591416597366333
of,0.33290785551071167,0.2904134690761566,0.28204935789108276,0.733189046382904,0.4178851246833801,0.26357072591781616,1.0,0.30522194504737854,0.3410852253437042,0.5696388483047485,0.733189046382904,0.1797877550125122,0.19350644946098328,0.1826142966747284
older,0.19250206649303436,0.3646269142627716,0.09070174396038055,0.21663418412208557,0.25950345396995544,0.09562592953443527,0.23717735707759857,0.5198856592178345,0.2092042714357376,0.21181264519691467,0.21663418412208557,0.13215932250022888,0.16274571418762207,0.1524270623922348
