,where,did,france,focus,its,efforts,to,rebuild,its,empire,?
france,0.21451038122177124,0.2138325721025467,1.0000001192092896,0.1259358674287796,0.21158620715141296,0.19149892032146454,0.2670897841453552,0.18940335512161255,0.21158620715141296,0.25791844725608826,0.15069349110126495
took,0.21095216274261475,0.42470768094062805,0.23143109679222107,0.13435809314250946,0.2040078341960907,0.20779871940612793,0.24576251208782196,0.2149040549993515,0.2040078341960907,0.23297956585884094,0.14109265804290771
control,0.23649609088897705,0.22942528128623962,0.19930024445056915,0.22238653898239136,0.23098616302013397,0.26453009247779846,0.28164729475975037,0.25676989555358887,0.23098616302013397,0.27420011162757874,0.1620711386203766
of,0.38066378235816956,0.2513895630836487,0.3265724182128906,0.2428540587425232,0.48690423369407654,0.23738951981067657,0.41548454761505127,0.1881089210510254,0.48690423369407654,0.30522286891937256,0.1826142966747284
algeria,0.1941394954919815,0.035289864987134933,0.3980414569377899,0.13288681209087372,0.19145607948303223,0.18057820200920105,0.10015332698822021,0.0808052346110344,0.19145607948303223,0.24413447082042694,0.192555770277977
in,0.5344807505607605,0.2593238651752472,0.3812309503555298,0.27219411730766296,0.3793783485889435,0.21540255844593048,0.45010748505592346,0.24307963252067566,0.3793783485889435,0.24110576510429382,0.20430970191955566
1830,0.018318839371204376,-0.15325585007667542,0.017700091004371643,0.0077461604960262775,0.02105245552957058,-0.06144127994775772,-0.01621325872838497,0.013020014390349388,0.02105245552957058,-0.05869506299495697,-0.007744183298200369
but,0.49101024866104126,0.49033689498901367,0.25404971837997437,0.27655935287475586,0.39362356066703796,0.32035431265830994,0.5542377829551697,0.22830066084861755,0.39362356066703796,0.22501397132873535,0.27921953797340393
began,0.11145364493131638,0.4415510594844818,0.20842383801937103,0.29136914014816284,0.17474952340126038,0.2960188090801239,0.2731419503688812,0.23890343308448792,0.17474952340126038,0.21061348915100098,0.1370266228914261
in,0.5344807505607605,0.2593238651752472,0.3812309503555298,0.27219411730766296,0.3793783485889435,0.21540255844593048,0.45010748505592346,0.24307963252067566,0.3793783485889435,0.24110576510429382,0.20430970191955566
earnest,0.1398608684539795,0.19778895378112793,0.14410410821437836,0.25736817717552185,0.2088959664106369,0.26292410492897034,0.18435750901699066,0.19415782392024994,0.2088959664106369,0.2246767282485962,0.21694941818714142
to,0.47735077142715454,0.4452643394470215,0.2670897841453552,0.33288413286209106,0.3691340684890747,0.36228540539741516,1.0,0.3312245309352875,0.3691340684890747,0.21448755264282227,0.29463258385658264
rebuild,0.21158170700073242,0.2595549523830414,0.18940335512161255,0.16268609464168549,0.27338626980781555,0.3916330337524414,0.3312245309352875,1.0,0.27338626980781555,0.31624308228492737,0.11057925969362259
its,0.27530840039253235,0.19922670722007751,0.21158620715141296,0.23827789723873138,1.0,0.23206721246242523,0.3691340684890747,0.27338626980781555,1.0,0.22907911241054535,0.15103481709957123
worldwide,0.19593431055545807,0.13039597868919373,0.21819981932640076,0.23426587879657745,0.31206104159355164,0.2779437005519867,0.24071235954761505,0.20940010249614716,0.31206104159355164,0.18316501379013062,0.2253960371017456
empire,0.13747228682041168,0.18850058317184448,0.25791844725608826,0.16388384997844696,0.22907911241054535,0.23158489167690277,0.21448755264282227,0.31624308228492737,0.22907911241054535,1.0000001192092896,0.14909450709819794
after,0.31753596663475037,0.30330467224121094,0.2599034905433655,0.19772669672966003,0.29879069328308105,0.23603135347366333,0.37890323996543884,0.2426624894142151,0.29879069328308105,0.23534879088401794,0.16608688235282898
