,of,what,does,the,covalent,double,bond,result,from,?
the,0.733189046382904,0.42745697498321533,0.35928019881248474,1.0,0.205012708902359,0.21355170011520386,0.17178761959075928,0.27778977155685425,0.40150508284568787,0.22068053483963013
bond,0.16458465158939362,0.19208040833473206,0.19264909625053406,0.17178761959075928,0.5347656607627869,0.31216666102409363,1.0000001192092896,0.21754954755306244,0.13677173852920532,0.13208535313606262
can,0.2603091299533844,0.34502777457237244,0.5156301856040955,0.312528520822525,0.3305451273918152,0.23476770520210266,0.1874878704547882,0.2741678059101105,0.2516351342201233,0.3226337134838104
be,0.33904364705085754,0.3929833769798279,0.28696945309638977,0.4248143136501312,0.301119863986969,0.2080271989107132,0.18922492861747742,0.3516577184200287,0.3107333183288574,0.3324260413646698
variously,0.2394486963748932,0.28366997838020325,0.2449730634689331,0.27876922488212585,0.11767765134572983,0.05260704457759857,-0.0036156531423330307,0.078867606818676,0.2620474100112915,0.18915246427059174
described,0.297532320022583,0.22590412199497223,0.17868390679359436,0.2878154516220093,0.2024921178817749,0.16561760008335114,0.17264524102210999,0.22729507088661194,0.17046944797039032,0.1374269425868988
based,0.3033197224140167,0.274813175201416,0.22036892175674438,0.29860720038414,0.148325115442276,0.13250406086444855,0.17837321758270264,0.2024112045764923,0.25130078196525574,0.134929820895195
on,0.3966929316520691,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.17931684851646423,0.14537112414836884,0.1739802360534668,0.22479186952114105,0.36926645040512085,0.2714994251728058
level,0.23504668474197388,0.27376922965049744,0.25751394033432007,0.31442487239837646,0.23634636402130127,0.16592809557914734,0.16608336567878723,0.20860160887241364,0.20225347578525543,0.20528386533260345
of,1.0,0.33290785551071167,0.3119818866252899,0.733189046382904,0.26652684807777405,0.18580502271652222,0.16458465158939362,0.231380432844162,0.4249346852302551,0.1826142966747284
theory,0.23506702482700348,0.297923743724823,0.18013693392276764,0.2277156263589859,0.2604404389858246,0.17947201430797577,0.21605587005615234,0.23536358773708344,0.11020279675722122,0.1387292891740799
",",0.4946078956127167,0.3087472915649414,0.28617382049560547,0.4933079481124878,0.29946169257164,0.22470229864120483,0.2016325443983078,0.23341737687587738,0.39760664105415344,0.31091248989105225
but,0.39942997694015503,0.5029441118240356,0.4353378415107727,0.4859698414802551,0.28024792671203613,0.19426891207695007,0.16148741543293,0.34383922815322876,0.3133932948112488,0.27921953797340393
is,0.4854315221309662,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.2973787486553192,0.1794169545173645,0.21518169343471527,0.19420543313026428,0.27355384826660156,0.22961433231830597
reasonably,0.2136542797088623,0.4163496494293213,0.350528746843338,0.2819764018058777,0.24154676496982574,0.23266462981700897,0.16966551542282104,0.26096054911613464,0.19721783697605133,0.35103633999824524
and,0.5116966962814331,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.3010363280773163,0.19456486403942108,0.23086987435817719,0.27436327934265137,0.3601827025413513,0.20544172823429108
simply,0.2891358435153961,0.4566527307033539,0.30226629972457886,0.3653980493545532,0.20239269733428955,0.2130259871482849,0.08303918689489365,0.2593763768672943,0.21517765522003174,0.2984147369861603
described,0.297532320022583,0.22590412199497223,0.17868390679359436,0.2878154516220093,0.2024921178817749,0.16561760008335114,0.17264524102210999,0.22729507088661194,0.17046944797039032,0.1374269425868988
