,how,many,square,kilometres,of,the,amazon,forest,was,lost,by,1991,?
between,0.2747800648212433,0.29423660039901733,0.14560289680957794,0.274911493062973,0.3737983703613281,0.39067012071609497,0.12149064987897873,0.11686556786298752,0.24048170447349548,0.23925216495990753,0.28115302324295044,0.00448233587667346,0.12887074053287506
1991,0.0894000455737114,0.06983742117881775,-0.053379472345113754,-0.10377875715494156,-0.004689669236540794,0.002508036559447646,-0.0911702811717987,-0.06829819083213806,0.12848040461540222,0.09184408187866211,0.0006231737206690013,1.0,0.175977423787117
and,0.33647966384887695,0.5296266674995422,0.18014872074127197,0.21372832357883453,0.5116966962814331,0.5171257257461548,0.23464977741241455,0.26268187165260315,0.3740963041782379,0.25558507442474365,0.4289871156215668,-0.0026356412563472986,0.20544172823429108
2000,-0.07386910915374756,-0.06041426211595535,-0.1823805421590805,-0.3158727288246155,0.010344067588448524,-0.015081177465617657,-0.11082176119089127,-0.11802282184362411,0.06843073666095734,-0.01696111634373665,0.028724920004606247,0.00346093880943954,-0.0824366956949234
",",0.22659391164779663,0.40610817074775696,0.2723195254802704,0.22707565128803253,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.45456063747406006,0.26788443326950073,0.3680937886238098,0.1221209466457367,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.26219841837882996,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.48711544275283813,0.3376973867416382,0.4408751428127289,0.002508036559447646,0.22068053483963013
total,0.22199897468090057,0.2912171483039856,0.2837706208229065,0.25759822130203247,0.29045331478118896,0.27068960666656494,0.11719238758087158,0.09396842867136002,0.14069223403930664,0.2193073332309723,0.20661480724811554,-0.08595559746026993,0.14396025240421295
area,0.17030490934848785,0.2414858043193817,0.40021806955337524,0.4390702545642853,0.3409860134124756,0.37834644317626953,0.15915891528129578,0.31643155217170715,0.24981513619422913,0.19217315316200256,0.22557134926319122,-0.04436035081744194,0.12640461325645447
of,0.2480744868516922,0.37253960967063904,0.2585134208202362,0.2594377398490906,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.4069072902202606,0.2878951132297516,0.3646814823150635,-0.004689669236540794,0.1826142966747284
forest,0.07947511225938797,0.19294719398021698,0.17481233179569244,0.2226104736328125,0.2309139519929886,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.144582599401474,0.22218307852745056,0.16046150028705597,-0.06829819083213806,0.1214437186717987
lost,0.15881673991680145,0.2272789478302002,0.07841049879789352,0.1300925463438034,0.2878951132297516,0.3376973867416382,0.10585277527570724,0.22218307852745056,0.2525325119495392,0.9999998807907104,0.2040068507194519,0.09184408187866211,0.15261413156986237
in,0.2601168751716614,0.41474202275276184,0.2193731665611267,0.2448771744966507,0.5696388483047485,0.6662389636039734,0.12227833271026611,0.24136987328529358,0.45514053106307983,0.3167656362056732,0.370934396982193,0.0019440409960225224,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.26219841837882996,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.48711544275283813,0.3376973867416382,0.4408751428127289,0.002508036559447646,0.22068053483963013
amazon,0.16216763854026794,0.22591036558151245,0.20306317508220673,0.16782523691654205,0.20143137872219086,0.260541707277298,1.0000001192092896,0.26471444964408875,0.14616160094738007,0.10585277527570724,0.16320857405662537,-0.0911702811717987,0.18144656717777252
rose,0.1042250394821167,0.1889946460723877,0.19246987998485565,0.0946202278137207,0.2557028830051422,0.28326278924942017,0.14034469425678253,0.1457551270723343,0.2609468102455139,0.22237767279148102,0.1757958084344864,0.00330547196790576,0.11847885698080063
from,0.22939439117908478,0.33099696040153503,0.10668959468603134,0.2276834398508072,0.4249346852302551,0.40150508284568787,0.08236479759216309,0.15542404353618622,0.31171464920043945,0.257583886384964,0.3373257517814636,0.03472738340497017,0.19969791173934937
"415,000",0.14619684219360352,0.2096606194972992,0.09009664505720139,0.10329355299472809,0.22733664512634277,0.2739603817462921,0.13109560310840607,0.17557257413864136,0.0673571228981018,0.15017522871494293,0.13632485270500183,-0.1772586852312088,0.053169235587120056
to,0.44169697165489197,0.40243685245513916,0.17897218465805054,0.24676118791103363,0.41548454761505127,0.535392165184021,0.17033490538597107,0.1971547156572342,0.3636345863342285,0.23270919919013977,0.33534231781959534,0.11084804683923721,0.29463258385658264
"587,000",-0.022615129128098488,-0.029366541653871536,-0.0907551646232605,-0.12982389330863953,0.1440596729516983,0.1024371013045311,-0.04962719604372978,-0.03242548555135727,0.13411639630794525,0.08498872816562653,0.0456094816327095,0.012356981635093689,0.0661781057715416
square,0.0836852416396141,0.2124457061290741,1.0,0.4683553874492645,0.2585134208202362,0.2809545397758484,0.20306317508220673,0.17481233179569244,0.17827357351779938,0.07841049879789352,0.20503279566764832,-0.053379472345113754,0.1201515942811966
kilometres,0.09419187903404236,0.1809600293636322,0.4683553874492645,0.9999999403953552,0.2594377398490906,0.26219841837882996,0.16782523691654205,0.2226104736328125,0.16915541887283325,0.1300925463438034,0.1621399074792862,-0.10377875715494156,0.09185487031936646
(,0.1676948219537735,0.1455259770154953,0.16847030818462372,0.12073186784982681,0.35032153129577637,0.33289089798927307,0.11605185270309448,0.1459040343761444,0.2980341613292694,0.2212456464767456,0.20696312189102173,0.02483857050538063,0.40561532974243164
"160,000",-0.01930379495024681,-0.09664660692214966,-0.09480622410774231,-0.13976149260997772,0.1211383044719696,0.07878559827804565,-0.08916248381137848,-0.10276109725236893,0.14213211834430695,0.07954087853431702,0.0302836075425148,0.2052948772907257,0.11273056268692017
to,0.44169697165489197,0.40243685245513916,0.17897218465805054,0.24676118791103363,0.41548454761505127,0.535392165184021,0.17033490538597107,0.1971547156572342,0.3636345863342285,0.23270919919013977,0.33534231781959534,0.11084804683923721,0.29463258385658264
"227,000",-0.017619671300053596,-0.007872975431382656,-0.09617238491773605,-0.18195104598999023,0.04848218336701393,0.07443602383136749,-0.05766226723790169,-0.07150434702634811,0.1607373207807541,0.1305224746465683,0.06089610606431961,0.19334086775779724,0.04768327251076698
sq,0.10252654552459717,0.09845415502786636,0.4999557435512543,0.49675482511520386,0.21430401504039764,0.18837253749370575,0.19130827486515045,0.2114356905221939,0.15623687207698822,0.11826775223016739,0.16169330477714539,-0.10419798642396927,0.18786261975765228
mi,0.0639447420835495,0.09143856912851334,0.3216154873371124,0.48085513710975647,0.13784633576869965,0.12998802959918976,0.2200741320848465,0.1417740136384964,0.1437223106622696,0.15630152821540833,0.16760791838169098,-0.06676547974348068,0.10264865309000015
),0.17939934134483337,0.16602720320224762,0.1760134994983673,0.1641707867383957,0.3680361211299896,0.3456730246543884,0.131951242685318,0.15610210597515106,0.3267642855644226,0.2206464260816574,0.2151763141155243,0.050773344933986664,0.42300865054130554
",",0.22659391164779663,0.40610817074775696,0.2723195254802704,0.22707565128803253,0.4946078956127167,0.4933079481124878,0.2214922308921814,0.2901519536972046,0.45456063747406006,0.26788443326950073,0.3680937886238098,0.1221209466457367,0.31091248989105225
with,0.3525622487068176,0.35744401812553406,0.13722623884677887,0.13741706311702728,0.41827285289764404,0.4223487675189972,0.21287250518798828,0.16664531826972961,0.27411898970603943,0.18925613164901733,0.39731505513191223,-0.014840502291917801,0.2433311939239502
most,0.311336874961853,0.6236066222190857,0.1350746601819992,0.1508904993534088,0.4178851246833801,0.47635307908058167,0.19138962030410767,0.17225387692451477,0.29933857917785645,0.17681948840618134,0.270847886800766,-0.013390902429819107,0.2107497900724411
of,0.2480744868516922,0.37253960967063904,0.2585134208202362,0.2594377398490906,1.0,0.733189046382904,0.20143137872219086,0.2309139519929886,0.4069072902202606,0.2878951132297516,0.3646814823150635,-0.004689669236540794,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.2809545397758484,0.26219841837882996,0.733189046382904,1.0,0.260541707277298,0.24134553968906403,0.48711544275283813,0.3376973867416382,0.4408751428127289,0.002508036559447646,0.22068053483963013
lost,0.15881673991680145,0.2272789478302002,0.07841049879789352,0.1300925463438034,0.2878951132297516,0.3376973867416382,0.10585277527570724,0.22218307852745056,0.2525325119495392,0.9999998807907104,0.2040068507194519,0.09184408187866211,0.15261413156986237
forest,0.07947511225938797,0.19294719398021698,0.17481233179569244,0.2226104736328125,0.2309139519929886,0.24134553968906403,0.26471444964408875,1.0000001192092896,0.144582599401474,0.22218307852745056,0.16046150028705597,-0.06829819083213806,0.1214437186717987
becoming,0.19875051081180573,0.27432987093925476,0.06738396733999252,0.058472469449043274,0.3014795780181885,0.333665668964386,0.12040182948112488,0.1883077621459961,0.39893877506256104,0.24398048222064972,0.17827759683132172,0.1309935599565506,0.17354105412960052
pasture,0.12599454820156097,0.19131754338741302,0.20244541764259338,0.26100414991378784,0.20259782671928406,0.22091218829154968,0.19426777958869934,0.3639006018638611,0.19593745470046997,0.19132384657859802,0.14270034432411194,-0.07037051767110825,0.16604404151439667
for,0.3308170735836029,0.40972793102264404,0.1615643948316574,0.1671956181526184,0.4185989499092102,0.4739971458911896,0.165912926197052,0.20533806085586548,0.3863949179649353,0.2845156490802765,0.3248702883720398,0.07042362540960312,0.264628142118454
cattle,0.17744691669940948,0.24830389022827148,0.16126571595668793,0.2428225725889206,0.2318044900894165,0.2538938522338867,0.1982300877571106,0.2802133858203888,0.1990465223789215,0.0806167721748352,0.16610807180404663,-0.139751136302948,0.17239461839199066
.,0.3287222981452942,0.3974229395389557,0.2698345184326172,0.19596552848815918,0.5352458953857422,0.5934505462646484,0.262887567281723,0.2418428510427475,0.40146201848983765,0.2800092399120331,0.3936232924461365,0.07545287907123566,0.4130953550338745
