,in,the,layered,model,of,the,earth,",",the,mantle,has,two,layers,below,it,.,what,are,they,?
these,0.3791837692260742,0.49086877703666687,0.2990134060382843,0.12957298755645752,0.42684608697891235,0.49086877703666687,0.23144929111003876,0.37613096833229065,0.49086877703666687,0.22827988862991333,0.32906898856163025,0.5489652752876282,0.37655824422836304,0.3010977506637573,0.39955374598503113,0.3840779960155487,0.4164220690727234,0.7107698917388916,0.6480963826179504,0.2571668326854706
advances,0.22989708185195923,0.29882919788360596,0.2932252883911133,0.14196206629276276,0.27895745635032654,0.29882919788360596,0.2740710377693176,0.25091618299484253,0.29882919788360596,0.155796617269516,0.14228075742721558,0.1897192746400833,0.24809423089027405,0.1520007699728012,0.18108926713466644,0.2231488674879074,0.2105628252029419,0.23802608251571655,0.23602545261383057,0.12414493411779404
led,0.2990247309207916,0.3267505168914795,0.20901000499725342,0.05455842614173889,0.32918456196784973,0.3267505168914795,0.16771341860294342,0.22548827528953552,0.3267505168914795,0.16131485998630524,0.1884450763463974,0.25966644287109375,0.14923304319381714,0.08675024658441544,0.09852217882871628,0.19335708022117615,0.12112844735383987,0.16632264852523804,0.2474345564842224,0.09273858368396759
to,0.45010748505592346,0.535392165184021,0.1709391176700592,0.187554731965065,0.41548454761505127,0.535392165184021,0.2486501932144165,0.44245919585227966,0.535392165184021,0.15417823195457458,0.3619994819164276,0.3343428373336792,0.23207299411296844,0.24981431663036346,0.513711154460907,0.4645031690597534,0.455847829580307,0.3504326641559601,0.5452046394348145,0.29463258385658264
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.24731530249118805,0.4177538752555847,0.43858039379119873,0.24930399656295776,0.2930138111114502,0.6251175999641418,0.5934505462646484,0.42745697498321533,0.40399202704429626,0.49925389885902405,0.22068053483963013
development,0.2550492286682129,0.3362044394016266,0.24800114333629608,0.1938512772321701,0.28700894117355347,0.3362044394016266,0.16939832270145416,0.23776917159557343,0.3362044394016266,0.19050659239292145,0.26726067066192627,0.1565195620059967,0.21452558040618896,0.2149648815393448,0.257934033870697,0.2822875380516052,0.19014155864715576,0.22856876254081726,0.21945370733737946,0.1211358830332756
of,0.5696388483047485,0.733189046382904,0.23404428362846375,0.18271391093730927,1.0,0.733189046382904,0.2329314798116684,0.4946078956127167,0.733189046382904,0.19364143908023834,0.3909035325050354,0.37726253271102905,0.24201519787311554,0.23283669352531433,0.38761502504348755,0.5352458953857422,0.33290785551071167,0.39081433415412903,0.3426007330417633,0.1826142966747284
a,0.539380669593811,0.5829201340675354,0.24390482902526855,0.29218459129333496,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.427140474319458,0.5829201340675354,0.16546060144901276,0.4670248031616211,0.3289857804775238,0.22045712172985077,0.19127120077610016,0.5452592968940735,0.50484299659729,0.3320399522781372,0.265255331993103,0.3528250455856323,0.23916715383529663
layered,0.1725275218486786,0.2035854160785675,1.0,0.2510553300380707,0.23404428362846375,0.2035854160785675,0.31122034788131714,0.1762612760066986,0.2035854160785675,0.42776021361351013,0.14910146594047546,0.20875443518161774,0.7889248728752136,0.23911896347999573,0.17914320528507233,0.20024040341377258,0.157872274518013,0.2469404935836792,0.2107904702425003,0.10999923944473267
model,0.2267826348543167,0.14028635621070862,0.2510553300380707,1.0000001192092896,0.18271391093730927,0.14028635621070862,0.07608746737241745,0.244965597987175,0.14028635621070862,0.10912115126848221,0.13159877061843872,0.17337965965270996,0.20504114031791687,0.09251513332128525,0.1576850861310959,0.1938832700252533,0.2303347885608673,0.07012248039245605,0.13883844017982483,0.14843042194843292
of,0.5696388483047485,0.733189046382904,0.23404428362846375,0.18271391093730927,1.0,0.733189046382904,0.2329314798116684,0.4946078956127167,0.733189046382904,0.19364143908023834,0.3909035325050354,0.37726253271102905,0.24201519787311554,0.23283669352531433,0.38761502504348755,0.5352458953857422,0.33290785551071167,0.39081433415412903,0.3426007330417633,0.1826142966747284
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.24731530249118805,0.4177538752555847,0.43858039379119873,0.24930399656295776,0.2930138111114502,0.6251175999641418,0.5934505462646484,0.42745697498321533,0.40399202704429626,0.49925389885902405,0.22068053483963013
earth,0.18566735088825226,0.2801888585090637,0.31122034788131714,0.07608746737241745,0.2329314798116684,0.2801888585090637,1.0,0.23186853528022766,0.2801888585090637,0.4542229175567627,0.16817981004714966,0.20804813504219055,0.34034836292266846,0.1939532309770584,0.27391982078552246,0.2542925775051117,0.25883176922798157,0.22218742966651917,0.20461301505565643,0.17717236280441284
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,1.0000001192092896,0.4933079481124878,0.15361756086349487,0.3734780251979828,0.35859420895576477,0.1578376442193985,0.29792070388793945,0.48329564929008484,0.6812511086463928,0.3087472915649414,0.4062570035457611,0.390799880027771,0.31091248989105225
with,0.4080928862094879,0.4223487675189972,0.268891304731369,0.120089091360569,0.41827285289764404,0.4223487675189972,0.21692633628845215,0.4120737314224243,0.4223487675189972,0.19496850669384003,0.44092974066734314,0.4333336651325226,0.22246935963630676,0.2136729657649994,0.3369046747684479,0.4446153938770294,0.2464839518070221,0.38996943831443787,0.42091572284698486,0.2433311939239502
a,0.539380669593811,0.5829201340675354,0.24390482902526855,0.29218459129333496,0.5052502155303955,0.5829201340675354,0.21121151745319366,0.427140474319458,0.5829201340675354,0.16546060144901276,0.4670248031616211,0.3289857804775238,0.22045712172985077,0.19127120077610016,0.5452592968940735,0.50484299659729,0.3320399522781372,0.265255331993103,0.3528250455856323,0.23916715383529663
crust,0.1749051809310913,0.22538691759109497,0.4293930232524872,0.1287102848291397,0.21774794161319733,0.22538691759109497,0.52252197265625,0.2004449963569641,0.22538691759109497,0.5828907489776611,0.1932799518108368,0.1856330931186676,0.4575232267379761,0.25586575269699097,0.28908446431159973,0.22772817313671112,0.22092486917972565,0.23972631990909576,0.1769944727420807,0.1887258142232895
and,0.4954058527946472,0.5171257257461548,0.2545626163482666,0.22216768562793732,0.5116966962814331,0.5171257257461548,0.27524080872535706,0.6633074283599854,0.5171257257461548,0.19090498983860016,0.43716782331466675,0.4671151638031006,0.2688858211040497,0.2736442983150482,0.40957894921302795,0.588965117931366,0.31309178471565247,0.48576638102531433,0.5073080658912659,0.20544172823429108
lithosphere,0.2248716950416565,0.28085029125213623,0.5053330659866333,0.2017238885164261,0.2557520568370819,0.28085029125213623,0.5578895211219788,0.2066507637500763,0.28085029125213623,0.6037241816520691,0.22979497909545898,0.2467518001794815,0.5806786417961121,0.35294196009635925,0.3150206208229065,0.2108633816242218,0.22349202632904053,0.2447413057088852,0.208576962351799,0.1646844744682312
on,0.46853652596473694,0.5107308030128479,0.2279079407453537,0.20435898005962372,0.3966929316520691,0.5107308030128479,0.20645220577716827,0.49057599902153015,0.5107308030128479,0.15540851652622223,0.34604379534721375,0.3205535411834717,0.21384325623512268,0.242792010307312,0.4529881477355957,0.49257001280784607,0.34226128458976746,0.268924742937088,0.31295230984687805,0.2714994251728058
top,0.2235720455646515,0.31754136085510254,0.27468791604042053,0.2181166410446167,0.20362378656864166,0.31754136085510254,0.18094098567962646,0.2270241379737854,0.31754136085510254,0.23317968845367432,0.2552115321159363,0.22993095219135284,0.26472797989845276,0.3251522481441498,0.23778030276298523,0.3064132034778595,0.21232028305530548,0.1942039579153061,0.18080748617649078,0.17265194654464722
",",0.5201468467712402,0.4933079481124878,0.1762612760066986,0.244965597987175,0.4946078956127167,0.4933079481124878,0.23186853528022766,1.0000001192092896,0.4933079481124878,0.15361756086349487,0.3734780251979828,0.35859420895576477,0.1578376442193985,0.29792070388793945,0.48329564929008484,0.6812511086463928,0.3087472915649414,0.4062570035457611,0.390799880027771,0.31091248989105225
the,0.6662389636039734,1.0,0.2035854160785675,0.14028635621070862,0.733189046382904,1.0,0.2801888585090637,0.4933079481124878,1.0,0.24731530249118805,0.4177538752555847,0.43858039379119873,0.24930399656295776,0.2930138111114502,0.6251175999641418,0.5934505462646484,0.42745697498321533,0.40399202704429626,0.49925389885902405,0.22068053483963013
mantle,0.12298760563135147,0.24731530249118805,0.42776021361351013,0.10912115126848221,0.19364143908023834,0.24731530249118805,0.4542229175567627,0.15361756086349487,0.24731530249118805,1.0,0.19594533741474152,0.22792387008666992,0.4804651141166687,0.34243807196617126,0.18124078214168549,0.16694815456867218,0.20894600450992584,0.21551957726478577,0.19988872110843658,0.16224074363708496
below,0.29600706696510315,0.2930138111114502,0.23911896347999573,0.09251513332128525,0.23283669352531433,0.2930138111114502,0.1939532309770584,0.29792070388793945,0.2930138111114502,0.34243807196617126,0.24083596467971802,0.2399785965681076,0.3010939061641693,1.0,0.23817914724349976,0.2445746809244156,0.23541416227817535,0.34338876605033875,0.1863834410905838,0.17692236602306366
(,0.3087427020072937,0.33289089798927307,0.10827789455652237,0.15940167009830475,0.35032153129577637,0.33289089798927307,0.18478946387767792,0.6363511681556702,0.33289089798927307,0.1620332896709442,0.2498389035463333,0.2169162482023239,0.09210389852523804,0.23059530556201935,0.2745298147201538,0.5072786808013916,0.2411840260028839,0.23263892531394958,0.22770340740680695,0.40561532974243164
separated,0.26304155588150024,0.27899038791656494,0.28599658608436584,0.1006895899772644,0.27533861994743347,0.27899038791656494,0.19091524183750153,0.285319983959198,0.27899038791656494,0.21228225529193878,0.2169550210237503,0.4157811999320984,0.23921090364456177,0.15140187740325928,0.23704028129577637,0.2813975214958191,0.18778635561466217,0.2565678656101227,0.3317757546901703,0.0923643484711647
