,which,tv,network,broadcasted,super,bowl,50,in,spanish,?
on,0.4245251417160034,0.23779264092445374,0.30190837383270264,0.256300151348114,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.46853652596473694,0.13294139504432678,0.2714994251728058
december,0.15643881261348724,0.17961597442626953,0.13664229214191437,0.23914510011672974,0.12969878315925598,0.1459324061870575,-0.12577803432941437,0.25854936242103577,0.1788378655910492,0.2480352818965912
28,-0.29609644412994385,-0.055227942764759064,-0.08271343261003494,-0.13592897355556488,-0.08928175270557404,-0.14957939088344574,-0.014434623531997204,-0.27002766728401184,-0.23884320259094238,-0.012856917455792427
",",0.3658004403114319,0.2778550088405609,0.1932937651872635,0.2912312150001526,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.5201468467712402,0.2153884321451187,0.31091248989105225
2015,-0.028074992820620537,-0.02599520795047283,-0.04010036587715149,0.055722128599882126,0.04363032057881355,0.0710686594247818,0.01757047325372696,0.0891268327832222,0.12440259754657745,-0.029954981058835983
",",0.3658004403114319,0.2778550088405609,0.1932937651872635,0.2912312150001526,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.5201468467712402,0.2153884321451187,0.31091248989105225
espn,0.16519013047218323,0.37176287174224854,0.4269711971282959,0.4876573085784912,0.2034922093153,0.3075534701347351,-0.04705412685871124,0.12142056226730347,0.14475861191749573,0.1709517240524292
deportes,0.06051165238022804,0.18632163107395172,0.19050951302051544,0.30733317136764526,0.1081145852804184,0.13978607952594757,0.025951029732823372,0.2083962857723236,0.3305516541004181,0.14327947795391083
announced,0.14883647859096527,0.1799025684595108,0.2249229997396469,0.2962472438812256,0.1638530194759369,0.11583950370550156,0.039410315454006195,0.2528248429298401,0.08565793931484222,0.17416009306907654
that,0.6894589066505432,0.16911949217319489,0.2984007000923157,0.2446335405111313,0.18258553743362427,0.10987387597560883,-0.014119508676230907,0.435920387506485,0.1831190586090088,0.32716336846351624
they,0.5165667533874512,0.19175422191619873,0.21079795062541962,0.20694497227668762,0.1988932192325592,0.18658970296382904,0.059837549924850464,0.4330179989337921,0.20097863674163818,0.2753053903579712
had,0.3188965916633606,0.169364795088768,0.13757506012916565,0.20408838987350464,0.17216899991035461,0.1661457121372223,0.09219186753034592,0.385026752948761,0.15303447842597961,0.20728366076946259
