,in,what,year,did,a,doctor,first,become,nominated,for,a,best,actor,award,?
in,1.0,0.30808621644973755,0.3359307050704956,0.2593238651752472,0.539380669593811,0.25567495822906494,0.4127444326877594,0.23238378763198853,0.17825894057750702,0.4322226941585541,0.539380669593811,0.2813531160354614,0.1778985857963562,0.23376452922821045,0.20430970191955566
2011,0.08290185779333115,0.04286744073033333,-0.00862041488289833,-0.03760814294219017,0.03359675034880638,-0.01649976149201393,0.008425894193351269,-0.009343056939542294,-0.0012997315498068929,0.10438573360443115,0.03359675034880638,0.003186464076861739,-0.06472606956958771,0.01281694881618023,0.005212190095335245
",",0.5201468467712402,0.3087472915649414,0.28560417890548706,0.3015086054801941,0.427140474319458,0.20407600700855255,0.34503069519996643,0.29676204919815063,0.2839058041572571,0.4464869201183319,0.427140474319458,0.3461092710494995,0.29684963822364807,0.25078102946281433,0.31091248989105225
matt,0.14907358586788177,0.15552017092704773,0.14466263353824615,0.15835079550743103,0.17399178445339203,0.195547953248024,0.11668609082698822,0.12983271479606628,0.19682975113391876,0.1864968091249466,0.17399178445339203,0.1959746778011322,0.27360066771507263,0.19228710234165192,0.11641338467597961
smith,0.20223411917686462,0.2301866114139557,0.15084891021251678,0.1837799847126007,0.20341160893440247,0.2512682378292084,0.2641378939151764,0.14756953716278076,0.1533941626548767,0.22693631052970886,0.20341160893440247,0.2350553572177887,0.19611872732639313,0.2325822412967682,0.21930724382400513
became,0.31047213077545166,0.1434093862771988,0.28121209144592285,0.3632316589355469,0.28774285316467285,0.11620187759399414,0.37862223386764526,0.6258460283279419,0.1533169448375702,0.3017078936100006,0.28774285316467285,0.21389834582805634,0.1770850270986557,0.2082284688949585,0.11374033987522125
the,0.6662389636039734,0.42745697498321533,0.3609684407711029,0.34736719727516174,0.5829201340675354,0.2820442318916321,0.49448907375335693,0.31731709837913513,0.22135822474956512,0.4739971458911896,0.5829201340675354,0.3134109377861023,0.1662968546152115,0.24073810875415802,0.22068053483963013
first,0.4127444326877594,0.28086137771606445,0.3099139928817749,0.33691170811653137,0.4287874400615692,0.27244147658348083,1.0,0.2765450179576874,0.22881580889225006,0.3800288736820221,0.4287874400615692,0.33389225602149963,0.15891550481319427,0.2244419902563095,0.18701928853988647
doctor,0.25567495822906494,0.20870667695999146,0.16282056272029877,0.18673314154148102,0.22883038222789764,0.9999999403953552,0.27244147658348083,0.18406878411769867,0.1173943355679512,0.1556548923254013,0.22883038222789764,0.1909310668706894,0.24602581560611725,0.14153583347797394,0.1462511420249939
to,0.45010748505592346,0.455847829580307,0.23523004353046417,0.4452643394470215,0.45503583550453186,0.22950075566768646,0.3792489171028137,0.36996012926101685,0.20610158145427704,0.4451248347759247,0.45503583550453186,0.21715646982192993,0.1384582221508026,0.14828933775424957,0.29463258385658264
