,under,which,directive,did,the,eu,harmonize,restrictions,on,restrictions,on,marketing,and,advertising,?
under,0.9999999403953552,0.3235377371311188,0.2587185800075531,0.20815621316432953,0.3348022699356079,0.15428878366947174,0.06945767253637314,0.3136398196220398,0.3075410723686218,0.3136398196220398,0.3075410723686218,0.17987167835235596,0.3005301356315613,0.16696134209632874,0.18233340978622437
the,0.3348022699356079,0.6521818041801453,0.299225389957428,0.34736719727516174,1.0,0.14126400649547577,0.21154211461544037,0.2840818166732788,0.5107308030128479,0.2840818166732788,0.5107308030128479,0.21615102887153625,0.5171257257461548,0.2048189342021942,0.22068053483963013
unfair,0.14401161670684814,0.23159033060073853,0.22822147607803345,0.36290353536605835,0.20782865583896637,0.2153787761926651,0.2242746353149414,0.46043938398361206,0.23465955257415771,0.46043938398361206,0.23465955257415771,0.299003928899765,0.24532614648342133,0.3084217309951782,0.2510303556919098
commercial,0.0760091096162796,0.28039100766181946,0.2196168303489685,0.17984269559383392,0.23051398992538452,0.18120351433753967,0.15467824041843414,0.3334263861179352,0.242442324757576,0.3334263861179352,0.242442324757576,0.49033665657043457,0.240259051322937,0.4240322709083557,0.04216946288943291
practices,0.18772058188915253,0.2836618423461914,0.24891220033168793,0.21679148077964783,0.24007414281368256,0.16439470648765564,0.2507708668708801,0.41831016540527344,0.19873403012752533,0.41831016540527344,0.19873403012752533,0.34591078758239746,0.2842017412185669,0.17949087917804718,0.18974241614341736
directive,0.2587185800075531,0.28222039341926575,0.9999999403953552,0.20067515969276428,0.299225389957428,0.17857910692691803,0.22549858689308167,0.35781875252723694,0.1868148148059845,0.35781875252723694,0.1868148148059845,0.34033048152923584,0.305280864238739,0.19929702579975128,0.15005457401275635
",",0.24875585734844208,0.3658004403114319,0.23691628873348236,0.3015086054801941,0.4933079481124878,0.1565755307674408,0.26624786853790283,0.2838693857192993,0.49057599902153015,0.2838693857192993,0.49057599902153015,0.23863698542118073,0.6633074283599854,0.24089011549949646,0.31091248989105225
the,0.3348022699356079,0.6521818041801453,0.299225389957428,0.34736719727516174,1.0,0.14126400649547577,0.21154211461544037,0.2840818166732788,0.5107308030128479,0.2840818166732788,0.5107308030128479,0.21615102887153625,0.5171257257461548,0.2048189342021942,0.22068053483963013
eu,0.15428878366947174,0.15620915591716766,0.17857910692691803,0.12030338495969772,0.14126400649547577,0.9999998807907104,0.11233598738908768,0.27875199913978577,0.18063917756080627,0.27875199913978577,0.18063917756080627,0.24479036033153534,0.16977795958518982,0.12462964653968811,0.21586786210536957
harmonised,0.151202991604805,0.29758739471435547,0.1858624964952469,0.20133478939533234,0.21957221627235413,0.098325215280056,0.7659145593643188,0.18070201575756073,0.18122658133506775,0.18070201575756073,0.18122658133506775,0.14829203486442566,0.27013763785362244,0.17122040688991547,0.16374248266220093
restrictions,0.3136398196220398,0.35708701610565186,0.35781875252723694,0.27358394861221313,0.2840818166732788,0.27875199913978577,0.22212405502796173,0.9999999403953552,0.3151613473892212,0.9999999403953552,0.3151613473892212,0.32603177428245544,0.2769484221935272,0.3434559106826782,0.28638559579849243
on,0.3075410723686218,0.4245251417160034,0.1868148148059845,0.2670976221561432,0.5107308030128479,0.18063917756080627,0.20526966452598572,0.3151613473892212,0.9999999403953552,0.3151613473892212,0.9999999403953552,0.22142137587070465,0.4077630043029785,0.21307794749736786,0.2714994251728058
restrictions,0.3136398196220398,0.35708701610565186,0.35781875252723694,0.27358394861221313,0.2840818166732788,0.27875199913978577,0.22212405502796173,0.9999999403953552,0.3151613473892212,0.9999999403953552,0.3151613473892212,0.32603177428245544,0.2769484221935272,0.3434559106826782,0.28638559579849243
on,0.3075410723686218,0.4245251417160034,0.1868148148059845,0.2670976221561432,0.5107308030128479,0.18063917756080627,0.20526966452598572,0.3151613473892212,0.9999999403953552,0.3151613473892212,0.9999999403953552,0.22142137587070465,0.4077630043029785,0.21307794749736786,0.2714994251728058
marketing,0.17987167835235596,0.2731824815273285,0.34033048152923584,0.17093268036842346,0.21615102887153625,0.24479036033153534,0.1717747002840042,0.32603177428245544,0.22142137587070465,0.32603177428245544,0.22142137587070465,1.0,0.23927024006843567,0.540313720703125,0.19105108082294464
and,0.3005301356315613,0.506277859210968,0.305280864238739,0.34479495882987976,0.5171257257461548,0.16977795958518982,0.2532128393650055,0.2769484221935272,0.4077630043029785,0.2769484221935272,0.4077630043029785,0.23927024006843567,1.0,0.19678813219070435,0.20544172823429108
advertising,0.16696134209632874,0.21335358917713165,0.19929702579975128,0.21803075075149536,0.2048189342021942,0.12462964653968811,0.17558996379375458,0.3434559106826782,0.21307794749736786,0.3434559106826782,0.21307794749736786,0.540313720703125,0.19678813219070435,1.0000001192092896,0.23602379858493805
",",0.24875585734844208,0.3658004403114319,0.23691628873348236,0.3015086054801941,0.4933079481124878,0.1565755307674408,0.26624786853790283,0.2838693857192993,0.49057599902153015,0.2838693857192993,0.49057599902153015,0.23863698542118073,0.6633074283599854,0.24089011549949646,0.31091248989105225
