,what,organization,offers,monetary,awards,for,identifying,primes,with,at,least,100,million,digits,?
in,0.30808621644973755,0.2513086795806885,0.2064666599035263,0.17339298129081726,0.22963622212409973,0.4322226941585541,0.166841521859169,0.20882321894168854,0.4080928862094879,0.4374977946281433,0.3232700824737549,0.10141821950674057,0.2596224844455719,0.17706531286239624,0.20430970191955566
2009,-0.2519478499889374,-0.287587434053421,-0.15406370162963867,-0.3256280720233917,-0.03753877803683281,-0.20903140306472778,-0.19289249181747437,-0.1663103699684143,-0.24345144629478455,-0.29079753160476685,-0.26514413952827454,-0.04965773597359657,-0.12146085500717163,-0.2418389767408371,-0.2287932187318802
",",0.3087472915649414,0.1819751113653183,0.23519472777843475,0.22782517969608307,0.27591487765312195,0.4464869201183319,0.20195230841636658,0.29003697633743286,0.4120737314224243,0.38314947485923767,0.28584957122802734,0.10963409394025803,0.24451690912246704,0.23698370158672333,0.31091248989105225
the,0.42745697498321533,0.311172217130661,0.21389935910701752,0.25381726026535034,0.22946466505527496,0.4739971458911896,0.2894144356250763,0.22359657287597656,0.4223487675189972,0.457212895154953,0.3428877890110016,0.16408909857273102,0.277012437582016,0.25475579500198364,0.22068053483963013
great,0.2562883198261261,0.1348114013671875,0.1724242866039276,0.17405284941196442,0.12476148456335068,0.19302397966384888,0.12893840670585632,0.13140133023262024,0.21752162277698517,0.21875426173210144,0.1631244570016861,0.09436856210231781,0.08640958368778229,0.09281227737665176,0.13135133683681488
internet,0.1770392656326294,0.25678250193595886,0.21503204107284546,0.21537207067012787,0.1360664963722229,0.2189805507659912,0.2366878241300583,0.18468859791755676,0.20489077270030975,0.1741676777601242,0.1669606864452362,0.16396768391132355,0.18172959983348846,0.21151719987392426,0.23314887285232544
mersenne,0.24111336469650269,0.11453161388635635,0.1094096377491951,0.23489515483379364,0.0878080427646637,0.18955709040164948,0.24922992289066315,0.5664515495300293,0.1519300788640976,0.15701784193515778,0.22351841628551483,0.13158148527145386,0.12007393687963486,0.43688079714775085,0.22092168033123016
prime,0.15586113929748535,0.0772920548915863,0.11948149651288986,0.23547297716140747,0.13932442665100098,0.17833133041858673,0.07302363216876984,0.7104739546775818,0.09384632855653763,0.15248191356658936,0.1213962510228157,0.013684866018593311,0.11346341669559479,0.2232404202222824,0.11276303976774216
search,0.20825417339801788,0.22307074069976807,0.26986441016197205,0.11279968917369843,0.14188215136528015,0.277881920337677,0.278047114610672,0.21247635781764984,0.1750616878271103,0.14348211884498596,0.16425181925296783,0.1849907785654068,0.10102023929357529,0.15475188195705414,0.23093242943286896
project,0.27033838629722595,0.22679296135902405,0.2403472363948822,0.25629401206970215,0.1623295098543167,0.2228124439716339,0.18829883635044098,0.154392272233963,0.19682161509990692,0.2461380660533905,0.1569269746541977,0.17842406034469604,0.13181306421756744,0.1305021047592163,0.30569031834602356
was,0.22111038863658905,0.20457664132118225,0.17037241160869598,0.16975663602352142,0.24304591119289398,0.3863949179649353,0.12525524199008942,0.17198164761066437,0.27411898970603943,0.36707764863967896,0.20791326463222504,0.11945781856775284,0.24203833937644958,0.10885363072156906,0.18412111699581146
awarded,0.0973663404583931,0.21161337196826935,0.2455122023820877,0.25344282388687134,0.6173516511917114,0.2816879153251648,0.18414676189422607,0.11075025051832199,0.24412788450717926,0.2368638515472412,0.1755930632352829,0.1205686554312706,0.1395035684108734,0.07662844657897949,0.1431703418493271
a,0.3320399522781372,0.2565373480319977,0.29487600922584534,0.18932966887950897,0.18129821121692657,0.44038116931915283,0.3078891634941101,0.21026647090911865,0.3783375024795532,0.3095070421695709,0.3442045748233795,0.20273639261722565,0.1811940222978592,0.24231687188148499,0.23916715383529663
us,0.32081687450408936,0.1794818937778473,0.15639622509479523,0.14644786715507507,0.19010451436042786,0.26768606901168823,0.1180291697382927,0.1749560832977295,0.1991443932056427,0.2341633439064026,0.22407254576683044,0.09084124118089676,0.2022191733121872,0.18136340379714966,0.2742428481578827
$,0.24858909845352173,0.1939968317747116,0.2753004729747772,0.3267953097820282,0.16079957783222198,0.22711659967899323,0.1554318517446518,0.17846328020095825,0.18037788569927216,0.19577117264270782,0.20387767255306244,0.11211873590946198,0.5994373559951782,0.21784274280071259,0.2786129117012024
"100,000",0.05318872258067131,0.029187297448515892,0.13425180315971375,0.12285196036100388,0.2213599681854248,0.10691379755735397,0.12611030042171478,0.24107462167739868,0.06411270052194595,0.06391929090023041,0.017252817749977112,0.29824596643447876,-0.10294996947050095,0.14586703479290009,0.035472359508275986
prize,0.1654435694217682,0.22405415773391724,0.20708179473876953,0.2947320342063904,0.4484131932258606,0.2797470688819885,0.16610977053642273,0.22415529191493988,0.2016095221042633,0.16531407833099365,0.09840596467256546,0.07196846604347229,0.18815521895885468,0.13455188274383545,0.14158497750759125
for,0.3017193675041199,0.2952536344528198,0.33694595098495483,0.2445308417081833,0.3199397027492523,0.9999999403953552,0.28956499695777893,0.23085950314998627,0.39140474796295166,0.34237727522850037,0.330973356962204,0.1286492645740509,0.18660776317119598,0.18096353113651276,0.264628142118454
