,did,tesla,graduate,from,the,university,?
tesla,0.09757418930530548,0.9999999403953552,0.1742742508649826,0.10324860364198685,0.1324402391910553,0.16136743128299713,0.10250775516033173
claimed,0.34913167357444763,0.09713935106992722,0.11246644705533981,0.1974450945854187,0.2761930227279663,0.17018449306488037,0.2083493024110794
that,0.47518548369407654,0.22102725505828857,0.1924397051334381,0.3477667272090912,0.5473989248275757,0.16441112756729126,0.32716336846351624
he,0.3292143940925598,0.12373391538858414,0.280520498752594,0.3314535319805145,0.4571082592010498,0.31377843022346497,0.2089974731206894
worked,0.3377852141857147,0.15985111892223358,0.29412439465522766,0.22349679470062256,0.22615844011306763,0.2510733902454376,0.0901828184723854
from,0.20248863101005554,0.10324860364198685,0.1983703374862671,1.0,0.40150508284568787,0.2771088182926178,0.19969791173934937
3,0.0008236956200562418,-0.04224186763167381,0.014765488915145397,0.055809080600738525,0.06283142417669296,0.014361752197146416,0.005975271109491587
a.m.,0.06142153590917587,0.08924800902605057,0.11319532990455627,0.0476498007774353,0.03068288415670395,0.015426503494381905,-0.013456551358103752
to,0.4452643394470215,0.17548894882202148,0.22082558274269104,0.4069952368736267,0.535392165184021,0.20192374289035797,0.29463258385658264
11,0.07614340633153915,-0.047794681042432785,-0.011394932866096497,-0.01589640974998474,-0.0219515822827816,-0.04746890068054199,-0.04295448586344719
p.m.,-0.04798247292637825,0.0922384038567543,0.08877013623714447,-0.06094201281666756,-0.04707877337932587,0.03511707857251167,-0.07103965431451797
",",0.3015086054801941,0.20599327981472015,0.2738925516605377,0.39760664105415344,0.4933079481124878,0.3017033040523529,0.31091248989105225
no,0.23735837638378143,0.12855590879917145,0.06514488160610199,0.19692718982696533,0.3461136817932129,0.14842857420444489,0.32165053486824036
sundays,0.1270434856414795,0.0922572985291481,0.1612839549779892,0.11968012899160385,0.22255757451057434,0.15886341035366058,0.20735390484333038
or,0.28211739659309387,0.1529218554496765,0.12645001709461212,0.31242018938064575,0.4174870550632477,0.09576314687728882,0.32389625906944275
holidays,0.13557390868663788,0.023829683661460876,0.20295453071594238,0.1331968605518341,0.22040866315364838,0.24967986345291138,0.2587883472442627
excepted,0.33877983689308167,0.07073908299207687,0.15676499903202057,0.19889962673187256,0.35339686274528503,0.18290342390537262,0.18366751074790955
.,0.35288307070732117,0.17949827015399933,0.22357110679149628,0.41536515951156616,0.5934505462646484,0.290679007768631,0.4130953550338745
,did,tesla,graduate,from,the,university,?
he,0.3292143940925598,0.12373391538858414,0.280520498752594,0.3314535319805145,0.4571082592010498,0.31377843022346497,0.2089974731206894
never,0.4329567551612854,0.09116636961698532,0.15908180177211761,0.263386994600296,0.31617826223373413,0.19871006906032562,0.24137508869171143
graduated,0.2111378312110901,0.18456028401851654,0.8244946002960205,0.24544045329093933,0.19035497307777405,0.5918636322021484,0.08888400346040726
from,0.20248863101005554,0.10324860364198685,0.1983703374862671,1.0,0.40150508284568787,0.2771088182926178,0.19969791173934937
the,0.34736719727516174,0.1324402391910553,0.1983441710472107,0.40150508284568787,1.0,0.263973206281662,0.22068053483963013
university,0.15114416182041168,0.16136743128299713,0.6244588494300842,0.2771088182926178,0.263973206281662,1.0,0.11887256056070328
and,0.34479495882987976,0.19560420513153076,0.27139508724212646,0.3601827025413513,0.5171257257461548,0.2665814459323883,0.20544172823429108
