,new,broadcast,regulations,from,the,fcc,in,1968,allowed,companies,to,own,a,maximum,of,how,many,radio,stations,?
in,0.3758552670478821,0.26723843812942505,0.24893879890441895,0.4274188280105591,0.6662389636039734,0.134840726852417,1.0,0.08920387923717499,0.23683252930641174,0.2321794629096985,0.45010748505592346,0.31893372535705566,0.539380669593811,0.18371941149234772,0.5696388483047485,0.2601168751716614,0.41474202275276184,0.22625693678855896,0.25864288210868835,0.20430970191955566
1968,0.039671462029218674,-0.01972213014960289,-0.0035508209839463234,0.09268874675035477,0.07431387901306152,-0.10283473879098892,0.08920387923717499,0.9999999403953552,0.055008415132761,-0.018481940031051636,0.06488213688135147,0.03128772974014282,-0.025953760370612144,0.020003648474812508,0.09872698038816452,-0.023931602016091347,0.053876399993896484,0.04859283193945885,0.00463343458250165,-0.08543776720762253
",",0.36073189973831177,0.24917922914028168,0.24835379421710968,0.39760664105415344,0.4933079481124878,0.12939687073230743,0.5201468467712402,0.07405266165733337,0.2785535454750061,0.28041911125183105,0.44245919585227966,0.2796398997306824,0.427140474319458,0.19527727365493774,0.4946078956127167,0.22659391164779663,0.40610817074775696,0.25251123309135437,0.26337406039237976,0.31091248989105225
abc,0.20663127303123474,0.4876510202884674,0.1441136598587036,0.12159302085638046,0.2068762183189392,0.27474352717399597,0.1697147786617279,-0.036682769656181335,0.11095034331083298,0.11513935029506683,0.1762417107820511,0.23574505746364594,0.21331243216991425,0.10963355004787445,0.14607268571853638,0.19232043623924255,0.18267793953418732,0.35354745388031006,0.23858611285686493,0.19065172970294952
took,0.18012940883636475,0.18066202104091644,0.18956045806407928,0.2382442206144333,0.31657639145851135,0.16311614215373993,0.2818296551704407,0.03416847065091133,0.3155621886253357,0.17969323694705963,0.24576251208782196,0.24682174623012543,0.18697012960910797,0.10178175568580627,0.2766268849372864,0.1585291624069214,0.21439076960086823,0.11646153032779694,0.11476315557956696,0.14109265804290771
advantage,0.10191407799720764,0.1258392184972763,0.28965213894844055,0.18734939396381378,0.2844003438949585,0.2440025508403778,0.1498534232378006,0.011137383989989758,0.3161996901035309,0.2352512925863266,0.27752500772476196,0.2702144682407379,0.2823992371559143,0.29764458537101746,0.20611627399921417,0.2616216540336609,0.2762105166912079,0.1234065368771553,0.14820879697799683,0.10412604361772537
of,0.343457967042923,0.20155203342437744,0.24404282867908478,0.4249346852302551,0.733189046382904,0.16839106380939484,0.5696388483047485,0.09872698038816452,0.2699741721153259,0.22608543932437897,0.41548454761505127,0.3269667625427246,0.5052502155303955,0.23949185013771057,1.0,0.2480744868516922,0.37253960967063904,0.16079017519950867,0.20414425432682037,0.1826142966747284
new,0.9999999403953552,0.19357985258102417,0.19733917713165283,0.3360432982444763,0.3845241069793701,0.16179049015045166,0.3758552670478821,0.039671462029218674,0.19549238681793213,0.17638935148715973,0.33159172534942627,0.2762828767299652,0.3214259147644043,0.1444007009267807,0.343457967042923,0.20832711458206177,0.2992318272590637,0.1785462647676468,0.1508234143257141,0.14782847464084625
fcc,0.16179049015045166,0.3620278537273407,0.4364800453186035,0.1659686416387558,0.24932202696800232,1.0000001192092896,0.134840726852417,-0.10283473879098892,0.2973480224609375,0.3950343728065491,0.24543172121047974,0.26492324471473694,0.1445450782775879,0.24565286934375763,0.16839106380939484,0.24876247346401215,0.2191563844680786,0.29589203000068665,0.3792693614959717,0.1708466112613678
ownership,0.2209170162677765,0.18103832006454468,0.3700369596481323,0.16607248783111572,0.261578768491745,0.3779434561729431,0.22562521696090698,-0.03651415929198265,0.2904154658317566,0.39575380086898804,0.2847251296043396,0.41800883412361145,0.2549401819705963,0.18060219287872314,0.2084505259990692,0.19148145616054535,0.2561948001384735,0.1180034652352333,0.24872349202632904,0.19719240069389343
