,what,can,be,considered,as,a,function,of,market,price,of,skill,?
thus,0.30745524168014526,0.2665204703807831,0.37298357486724854,0.3250955045223236,0.3594212234020233,0.3190890848636627,0.31655392050743103,0.3487406373023987,0.17109878361225128,0.17445072531700134,0.3487406373023987,0.2781635820865631,0.18769288063049316
",",0.3087472915649414,0.3139454126358032,0.39254459738731384,0.32932984828948975,0.48816442489624023,0.427140474319458,0.18487244844436646,0.4946078956127167,0.2499394416809082,0.24825957417488098,0.4946078956127167,0.1982487440109253,0.31091248989105225
wages,0.20351257920265198,0.23247961699962616,0.2276950478553772,0.12017154693603516,0.20887167751789093,0.19376714527606964,0.17492808401584625,0.17478904128074646,0.3084874153137207,0.41345879435539246,0.17478904128074646,0.30393654108047485,0.19884631037712097
can,0.34502777457237244,1.0,0.5791122913360596,0.22579099237918854,0.3245031237602234,0.3915780484676361,0.2664915919303894,0.2603091299533844,0.20016448199748993,0.2136317640542984,0.2603091299533844,0.23608732223510742,0.3226337134838104
be,0.3929833769798279,0.5791122913360596,1.0,0.41927069425582886,0.5230465531349182,0.39883795380592346,0.23198768496513367,0.33904364705085754,0.21534386277198792,0.2920445501804352,0.33904364705085754,0.24721801280975342,0.3324260413646698
considered,0.2834889590740204,0.22579099237918854,0.41927069425582886,1.0,0.4031961262226105,0.36109375953674316,0.12841010093688965,0.4190242290496826,0.20506130158901215,0.21985548734664917,0.4190242290496826,0.24800793826580048,0.19909770786762238
as,0.31749409437179565,0.3245031237602234,0.5230465531349182,0.4031961262226105,1.0,0.39550232887268066,0.19182996451854706,0.3886612355709076,0.17538416385650635,0.24207624793052673,0.3886612355709076,0.2650424540042877,0.27043893933296204
a,0.3320399522781372,0.3915780484676361,0.39883795380592346,0.36109375953674316,0.39550232887268066,1.0,0.20934805274009705,0.5052502155303955,0.2680419683456421,0.18269109725952148,0.5052502155303955,0.23288211226463318,0.23916715383529663
function,0.22155974805355072,0.2664915919303894,0.23198768496513367,0.12841010093688965,0.19182996451854706,0.20934805274009705,1.0,0.16667552292346954,0.11996988952159882,0.08900448679924011,0.16667552292346954,0.14008216559886932,0.20672395825386047
of,0.33290785551071167,0.2603091299533844,0.33904364705085754,0.4190242290496826,0.3886612355709076,0.5052502155303955,0.16667552292346954,1.0,0.1694333702325821,0.15675179660320282,1.0,0.17985503375530243,0.1826142966747284
market,0.12116116285324097,0.20016448199748993,0.21534386277198792,0.20506130158901215,0.17538416385650635,0.2680419683456421,0.11996988952159882,0.1694333702325821,1.0000001192092896,0.4444443881511688,0.1694333702325821,0.14022061228752136,0.12805593013763428
price,0.18606361746788025,0.2136317640542984,0.2920445501804352,0.21985548734664917,0.24207624793052673,0.18269109725952148,0.08900448679924011,0.15675179660320282,0.4444443881511688,1.0,0.15675179660320282,0.2746712565422058,0.14631175994873047
of,0.33290785551071167,0.2603091299533844,0.33904364705085754,0.4190242290496826,0.3886612355709076,0.5052502155303955,0.16667552292346954,1.0,0.1694333702325821,0.15675179660320282,1.0,0.17985503375530243,0.1826142966747284
skill,0.2639748454093933,0.23608732223510742,0.24721801280975342,0.24800793826580048,0.2650424540042877,0.23288211226463318,0.14008216559886932,0.17985503375530243,0.14022061228752136,0.2746712565422058,0.17985503375530243,1.0000001192092896,0.14437545835971832
.,0.3567904531955719,0.35783761739730835,0.4383580684661865,0.29356086254119873,0.515582263469696,0.50484299659729,0.253307044506073,0.5352458953857422,0.19660170376300812,0.20274421572685242,0.5352458953857422,0.16770602762699127,0.4130953550338745
