,how,much,money,was,spent,on,other,festivities,in,the,bay,area,to,help,celebrate,the,coming,super,bowl,50,?
in,0.2601168751716614,0.2725222110748291,0.2393328845500946,0.45514053106307983,0.26677900552749634,0.46853652596473694,0.39989137649536133,0.23447000980377197,1.0,0.6662389636039734,0.1926257163286209,0.33632898330688477,0.45010748505592346,0.21321536600589752,0.3029673099517822,0.6662389636039734,0.27726781368255615,0.18576006591320038,0.17236235737800598,0.021892361342906952,0.20430970191955566
addition,0.24312371015548706,0.26854225993156433,0.16432903707027435,0.2078816294670105,0.16403831541538239,0.2673063576221466,0.3792383074760437,0.1787729561328888,0.3033084571361542,0.32955414056777954,0.1219061091542244,0.16391140222549438,0.29394859075546265,0.2698182463645935,0.14734481275081635,0.32955414056777954,0.17135493457317352,0.11136776208877563,0.1572340577840805,0.049123868346214294,0.19187232851982117
",",0.22659391164779663,0.36182254552841187,0.24156853556632996,0.45456063747406006,0.2880055606365204,0.49057599902153015,0.4446498453617096,0.2378310263156891,0.5201468467712402,0.4933079481124878,0.26044994592666626,0.2664283812046051,0.44245919585227966,0.2855570912361145,0.24608969688415527,0.4933079481124878,0.32352879643440247,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.31091248989105225
there,0.3328511416912079,0.31076255440711975,0.2350270301103592,0.24909798800945282,0.22976647317409515,0.3521401882171631,0.5342466235160828,0.19042004644870758,0.5361666083335876,0.47025805711746216,0.12026534229516983,0.3357469141483307,0.40669289231300354,0.2834847867488861,0.21503156423568726,0.47025805711746216,0.41279366612434387,0.1183716282248497,0.13301785290241241,-0.04708612337708473,0.29405656456947327
are,0.311818927526474,0.2937524914741516,0.20867851376533508,0.3076191842556,0.1674378514289856,0.268924742937088,0.5932393670082092,0.18901251256465912,0.3841303884983063,0.40399202704429626,0.16934406757354736,0.25780194997787476,0.3504326641559601,0.2738749086856842,0.17080813646316528,0.40399202704429626,0.2736581563949585,0.14630910754203796,0.139107808470726,0.08529071509838104,0.24591213464736938
$,0.18718640506267548,0.205519899725914,0.49513715505599976,0.23838669061660767,0.2454102784395218,0.16966626048088074,0.15112794935703278,0.12371446192264557,0.21616753935813904,0.23367542028427124,0.18116293847560883,0.11841849237680435,0.22282108664512634,0.21588073670864105,0.14842426776885986,0.23367542028427124,0.1520497351884842,0.14851532876491547,0.24415016174316406,-0.044484999030828476,0.2786129117012024
2,-0.02554285153746605,-0.1400752067565918,-0.10112928599119186,-0.013097384944558144,-0.025484658777713776,-0.0046874904073774815,-0.06383107602596283,-0.03298158198595047,0.01447046548128128,-0.019434669986367226,0.016393275931477547,-0.03342994675040245,-0.0836251974105835,-0.018078746274113655,-0.02977525070309639,-0.019434669986367226,-0.05381122976541519,-0.08190077543258667,-0.05451776087284088,-0.029662666842341423,0.001977203879505396
million,0.21114659309387207,0.2792966067790985,0.30804139375686646,0.24203833937644958,0.23408249020576477,0.1741691380739212,0.2682945728302002,0.1898670643568039,0.2596224844455719,0.277012437582016,0.16037024557590485,0.20709379017353058,0.22033339738845825,0.16708217561244965,0.19735589623451233,0.277012437582016,0.23689208924770355,0.15958677232265472,0.18768401443958282,-0.07849453389644623,0.23092924058437347
worth,0.22643329203128815,0.2919812500476837,0.3355589210987091,0.20631952583789825,0.29194262623786926,0.20214694738388062,0.21030515432357788,0.1524171382188797,0.21340444684028625,0.2137632668018341,0.18801739811897278,0.1545679271221161,0.26954442262649536,0.23845462501049042,0.1932895928621292,0.2137632668018341,0.21415218710899353,0.14139170944690704,0.19887389242649078,-0.03515242040157318,0.3282513916492462
of,0.2480744868516922,0.2671096920967102,0.23114095628261566,0.4069072902202606,0.28987428545951843,0.3966929316520691,0.38583824038505554,0.2345605492591858,0.5696388483047485,0.733189046382904,0.20480380952358246,0.3409860134124756,0.41548454761505127,0.22745388746261597,0.26568952202796936,0.733189046382904,0.31330832839012146,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.1826142966747284
other,0.3591516315937042,0.3761230409145355,0.26920926570892334,0.14651623368263245,0.13323669135570526,0.3410046398639679,0.9999999403953552,0.19766174256801605,0.39989137649536133,0.44152235984802246,0.13612313568592072,0.21664315462112427,0.4193183183670044,0.3668293356895447,0.16365964710712433,0.44152235984802246,0.3749730587005615,0.15647977590560913,0.12835361063480377,0.0139119578525424,0.24682199954986572
ancillary,0.1886512041091919,0.16454270482063293,0.21591849625110626,0.22525140643119812,0.10932927578687668,0.21885964274406433,0.17350079119205475,0.2000657469034195,0.2194269895553589,0.28395962715148926,0.26503559947013855,0.1779211312532425,0.284792423248291,0.16855977475643158,0.18859420716762543,0.28395962715148926,0.22273829579353333,0.1493634283542633,0.1616138219833374,-0.0035209471825510263,0.24259690940380096
