,after,the,operators,are,warned,by,the,escape,of,the,steam,",",what,may,they,then,do,?
if,0.2528844475746155,0.33724796772003174,0.2472558617591858,0.32547882199287415,0.31346771121025085,0.2429230511188507,0.33724796772003174,0.21036599576473236,0.2557544410228729,0.33724796772003174,0.1954653561115265,0.257730096578598,0.5277165174484253,0.3125908374786377,0.4092397689819336,0.5936081409454346,0.4196736514568329,0.4441644251346588
the,0.4565047025680542,1.0,0.2580118775367737,0.40399202704429626,0.21100614964962006,0.4408751428127289,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.4933079481124878,0.42745697498321533,0.2694292366504669,0.49925389885902405,0.4297412931919098,0.30239659547805786,0.22068053483963013
water,0.20308595895767212,0.297396719455719,0.14710699021816254,0.26855918765068054,0.1783718466758728,0.22562243044376373,0.297396719455719,0.21804378926753998,0.2741255462169647,0.297396719455719,0.43059393763542175,0.26706066727638245,0.17456887662410736,0.16756772994995117,0.29944711923599243,0.2063850462436676,0.2054748237133026,0.14731885492801666
level,0.1346406489610672,0.31442487239837646,0.12532374262809753,0.2331918329000473,0.13008123636245728,0.17142534255981445,0.31442487239837646,0.08132760226726532,0.23504668474197388,0.31442487239837646,0.09044068306684494,0.23317520320415497,0.27376922965049744,0.20910172164440155,0.24464239180088043,0.2386476993560791,0.22532324492931366,0.20528386533260345
drops,0.25096285343170166,0.293539822101593,0.19315078854560852,0.22652307152748108,0.1745854616165161,0.2033170461654663,0.293539822101593,0.20952506363391876,0.2201315313577652,0.293539822101593,0.25501465797424316,0.26641935110092163,0.1808709353208542,0.17894017696380615,0.17941905558109283,0.26464876532554626,0.14390039443969727,0.12476576864719391
",",0.38860568404197693,0.4933079481124878,0.26630493998527527,0.4062570035457611,0.2480981945991516,0.3680937886238098,0.4933079481124878,0.2325686812400818,0.4946078956127167,0.4933079481124878,0.2264556586742401,1.0000001192092896,0.3087472915649414,0.5007920861244202,0.390799880027771,0.36768391728401184,0.3283645510673523,0.31091248989105225
such,0.16916970908641815,0.3575236201286316,0.21680651605129242,0.4654397666454315,0.17788223922252655,0.2736194431781769,0.3575236201286316,0.14879398047924042,0.3209529519081116,0.3575236201286316,0.27096763253211975,0.39626169204711914,0.23989605903625488,0.327393501996994,0.31174612045288086,0.19589978456497192,0.337398886680603,0.17851735651493073
that,0.373811811208725,0.5473989248275757,0.26861971616744995,0.45265161991119385,0.340532511472702,0.37496164441108704,0.5473989248275757,0.26162993907928467,0.41498205065727234,0.5473989248275757,0.24386391043663025,0.4137537479400635,0.6297725439071655,0.4234136641025543,0.5710820555686951,0.455153226852417,0.44533252716064453,0.32716336846351624
the,0.4565047025680542,1.0,0.2580118775367737,0.40399202704429626,0.21100614964962006,0.4408751428127289,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.4933079481124878,0.42745697498321533,0.2694292366504669,0.49925389885902405,0.4297412931919098,0.30239659547805786,0.22068053483963013
temperature,0.10617168992757797,0.27585095167160034,0.16967865824699402,0.2518121302127838,0.16311253607273102,0.15203699469566345,0.27585095167160034,0.17234936356544495,0.21649840474128723,0.27585095167160034,0.29844650626182556,0.2439086139202118,0.26338207721710205,0.18347004055976868,0.24580751359462738,0.1892106533050537,0.21949784457683563,0.2011885941028595
of,0.3867455720901489,0.733189046382904,0.20075355470180511,0.39081433415412903,0.2130305916070938,0.3646814823150635,0.733189046382904,0.17960478365421295,1.0,0.733189046382904,0.20239725708961487,0.4946078956127167,0.33290785551071167,0.26447007060050964,0.3426007330417633,0.2937326431274414,0.26150479912757874,0.1826142966747284
the,0.4565047025680542,1.0,0.2580118775367737,0.40399202704429626,0.21100614964962006,0.4408751428127289,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.4933079481124878,0.42745697498321533,0.2694292366504669,0.49925389885902405,0.4297412931919098,0.30239659547805786,0.22068053483963013
firebox,0.1745896190404892,0.2672300338745117,0.2761772572994232,0.15810145437717438,0.21362441778182983,0.1812542825937271,0.2672300338745117,0.3245711922645569,0.157428577542305,0.2672300338745117,0.4439116418361664,0.1788291037082672,0.25533050298690796,0.11669278144836426,0.2252897024154663,0.30171477794647217,0.2275075912475586,0.23833276331424713
crown,0.2188648283481598,0.2646690607070923,0.0975693091750145,0.11807893961668015,0.1493379771709442,0.1852099895477295,0.2646690607070923,0.16050772368907928,0.2964670956134796,0.2646690607070923,0.1439826935529709,0.25954461097717285,0.11934377253055573,0.18479157984256744,0.19145314395427704,0.2225315272808075,0.07920485734939575,0.09979621320962906
increases,0.20000842213630676,0.38141000270843506,0.1977773904800415,0.2600686550140381,0.20892228186130524,0.20222704112529755,0.38141000270843506,0.21133849024772644,0.3793904483318329,0.38141000270843506,0.22696229815483093,0.17835964262485504,0.23849372565746307,0.18007786571979523,0.2619219124317169,0.22252728044986725,0.2400524616241455,0.10270863026380539
significantly,0.2029113620519638,0.3313288986682892,0.15622518956661224,0.3194290101528168,0.23725150525569916,0.2918403744697571,0.3313288986682892,0.055747225880622864,0.2703875005245209,0.3313288986682892,0.1619120091199875,0.2567187249660492,0.2746123671531677,0.26289498805999756,0.3302214741706848,0.25996240973472595,0.20584672689437866,0.1823679804801941
",",0.38860568404197693,0.4933079481124878,0.26630493998527527,0.4062570035457611,0.2480981945991516,0.3680937886238098,0.4933079481124878,0.2325686812400818,0.4946078956127167,0.4933079481124878,0.2264556586742401,1.0000001192092896,0.3087472915649414,0.5007920861244202,0.390799880027771,0.36768391728401184,0.3283645510673523,0.31091248989105225
the,0.4565047025680542,1.0,0.2580118775367737,0.40399202704429626,0.21100614964962006,0.4408751428127289,1.0,0.23189567029476166,0.733189046382904,1.0,0.23105813562870026,0.4933079481124878,0.42745697498321533,0.2694292366504669,0.49925389885902405,0.4297412931919098,0.30239659547805786,0.22068053483963013
lead,0.25812917947769165,0.21995973587036133,0.08685086667537689,0.14601658284664154,0.19138522446155548,0.23356960713863373,0.21995973587036133,0.21057966351509094,0.19835850596427917,0.21995973587036133,0.10459031164646149,0.2561914026737213,0.19642074406147003,0.22900992631912231,0.2170887142419815,0.20809510350227356,0.20267564058303833,0.14552436769008636
melts,0.1945214867591858,0.251522034406662,0.1277732253074646,0.24860824644565582,0.18872003257274628,0.2028086632490158,0.251522034406662,0.2600860893726349,0.17507150769233704,0.251522034406662,0.34779852628707886,0.2662453055381775,0.22132357954978943,0.19823211431503296,0.28527146577835083,0.2519794702529907,0.1823575645685196,0.19916866719722748
