,how,many,settlers,original,settled,in,manakintown,?
of,0.2480744868516922,0.37253960967063904,0.22850416600704193,0.30228546261787415,0.28296858072280884,0.5696388483047485,0.2750641405582428,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.27202945947647095,0.4037000238895416,0.29293251037597656,0.6662389636039734,0.3270412087440491,0.22068053483963013
original,0.18727099895477295,0.23366783559322357,0.1485888808965683,1.0,0.16464084386825562,0.2534193694591522,0.23218035697937012,0.17256900668144226
390,-0.0557670034468174,-0.06503859162330627,0.10102276504039764,-0.1547114998102188,0.08370929956436157,0.03871656581759453,-0.004244671668857336,-0.01989002525806427
settlers,0.16177552938461304,0.27458223700523376,1.0,0.1485888808965683,0.6907580494880676,0.2311645746231079,0.3643266260623932,0.1296290010213852
in,0.2601168751716614,0.41474202275276184,0.2311645746231079,0.2534193694591522,0.30584418773651123,1.0,0.3310636281967163,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.27202945947647095,0.4037000238895416,0.29293251037597656,0.6662389636039734,0.3270412087440491,0.22068053483963013
isolated,0.1606530398130417,0.2566516399383545,0.256937175989151,0.1399591863155365,0.3423062264919281,0.2690384089946747,0.18869443237781525,0.06718844920396805
settlement,0.11830636113882065,0.1502092331647873,0.6589840650558472,0.13209082186222076,0.6203674674034119,0.26083990931510925,0.3694273829460144,0.12535437941551208
",",0.22659391164779663,0.40610817074775696,0.23535142838954926,0.23508994281291962,0.32133597135543823,0.5201468467712402,0.38220101594924927,0.31091248989105225
many,0.4425291419029236,0.9999999403953552,0.27458223700523376,0.23366783559322357,0.24741460382938385,0.41474202275276184,0.2768087685108185,0.2124512493610382
had,0.2549138069152832,0.40130746364593506,0.36008167266845703,0.239691361784935,0.3449449837207794,0.385026752948761,0.22528265416622162,0.20728366076946259
died,0.07147754728794098,0.16722610592842102,0.2275310605764389,0.07822754979133606,0.31670597195625305,0.25881269574165344,0.272162526845932,0.15254227817058563
;,0.07230665534734726,0.11763367056846619,0.05879973992705345,0.06863370537757874,0.06369521468877792,0.092739537358284,0.05250268802046776,0.10349778085947037
others,0.3401021361351013,0.5011104941368103,0.32548895478248596,0.25896021723747253,0.2007204294204712,0.3167906701564789,0.23347271978855133,0.26705288887023926
lived,0.1416093111038208,0.2690332531929016,0.3032703399658203,0.08722781389951706,0.44902941584587097,0.3669787347316742,0.31577268242836,0.1798510104417801
outside,0.2897700369358063,0.3308001160621643,0.15615622699260712,0.20698164403438568,0.20585152506828308,0.4191201329231262,0.25533604621887207,0.14839068055152893
town,0.08823008835315704,0.1653294861316681,0.3580499589443207,0.15281997621059418,0.3582521080970764,0.34975525736808777,0.5019535422325134,0.09902279824018478
on,0.32655060291290283,0.32520127296447754,0.1406601518392563,0.21149557828903198,0.17408037185668945,0.46853652596473694,0.2764066755771637,0.2714994251728058
farms,0.17464080452919006,0.2997216582298279,0.43908101320266724,0.07780805230140686,0.34170904755592346,0.2572706937789917,0.35456761717796326,0.15135478973388672
in,0.2601168751716614,0.41474202275276184,0.2311645746231079,0.2534193694591522,0.30584418773651123,1.0,0.3310636281967163,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.27202945947647095,0.4037000238895416,0.29293251037597656,0.6662389636039734,0.3270412087440491,0.22068053483963013
english,0.18202126026153564,0.24654172360897064,0.21081168949604034,0.2179306447505951,0.1571391373872757,0.19623121619224548,0.24804125726222992,0.23251567780971527
style,0.22833853960037231,0.24291467666625977,0.17233692109584808,0.19404730200767517,0.1398347169160843,0.21896705031394958,0.17676521837711334,0.19862167537212372
;,0.07230665534734726,0.11763367056846619,0.05879973992705345,0.06863370537757874,0.06369521468877792,0.092739537358284,0.05250268802046776,0.10349778085947037
and,0.33647966384887695,0.5296266674995422,0.2655184268951416,0.29575109481811523,0.25537189841270447,0.4954058527946472,0.33621686697006226,0.20544172823429108
others,0.3401021361351013,0.5011104941368103,0.32548895478248596,0.25896021723747253,0.2007204294204712,0.3167906701564789,0.23347271978855133,0.26705288887023926
moved,0.17376862466335297,0.20702311396598816,0.25600388646125793,0.21284006536006927,0.4580094814300537,0.3323737680912018,0.30096063017845154,0.15112607181072235
to,0.44169697165489197,0.40243685245513916,0.323935329914093,0.30182456970214844,0.28114861249923706,0.45010748505592346,0.2977808713912964,0.29463258385658264
different,0.411273330450058,0.6061229109764099,0.16852033138275146,0.2986549735069275,0.16669560968875885,0.29409363865852356,0.17002904415130615,0.24476227164268494
areas,0.2255835086107254,0.38976719975471497,0.3038713335990906,0.09381629526615143,0.3373450040817261,0.33029478788375854,0.2440500408411026,0.1273590475320816
.,0.3287222981452942,0.3974229395389557,0.21710044145584106,0.275844931602478,0.20074304938316345,0.5591574311256409,0.3312123417854309,0.4130953550338745
