,what,is,the,income,inequality,gap,between,genders,in,botswana,?
the,0.42745697498321533,0.5823672413825989,1.0,0.23699946701526642,0.23508106172084808,0.27986636757850647,0.39067012071609497,0.30531516671180725,0.6662389636039734,0.20599515736103058,0.22068053483963013
income,0.21837803721427917,0.14559021592140198,0.23699946701526642,1.0,0.46967795491218567,0.24564556777477264,0.22600169479846954,0.19554154574871063,0.1795814335346222,0.2607247233390808,0.14935168623924255
gap,0.17691411077976227,0.19868990778923035,0.27986636757850647,0.24564556777477264,0.255584180355072,0.9999999403953552,0.30844828486442566,0.18128575384616852,0.1954546719789505,0.07819772511720657,0.09251954406499863
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1795814335346222,0.19402410089969635,0.1954546719789505,0.41100412607192993,0.22563697397708893,1.0,0.1863333135843277,0.20430970191955566
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.23439402878284454,0.23700791597366333,0.2026313990354538,0.30660146474838257,0.33213362097740173,0.39989137649536133,0.19310732185840607,0.24682199954986572
countries,0.22319257259368896,0.254234254360199,0.33290645480155945,0.2989959716796875,0.2820434868335724,0.15931865572929382,0.24874255061149597,0.34576043486595154,0.3027990758419037,0.27138376235961914,0.15128466486930847
ranges,0.20017047226428986,0.26551249623298645,0.2618407607078552,0.1658473014831543,0.11512171477079391,0.2615065276622772,0.26658231019973755,0.18237030506134033,0.19038642942905426,0.14715850353240967,0.10840721428394318
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17458222806453705,0.06381086260080338,0.1334429681301117,0.3269653618335724,0.15220487117767334,0.4274188280105591,0.21609418094158173,0.19969791173934937
53,0.17928816378116608,0.2136807143688202,0.23184166848659515,0.07488648593425751,0.14068149030208588,-0.028046980500221252,0.15600912272930145,0.15372852981090546,0.2449575811624527,0.26290926337242126,0.24864983558654785
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.29531732201576233,0.2651303708553314,0.08649060875177383,0.18733492493629456,0.21614517271518707,0.19465309381484985,0.2018147110939026,0.21441808342933655
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1795814335346222,0.19402410089969635,0.1954546719789505,0.41100412607192993,0.22563697397708893,1.0,0.1863333135843277,0.20430970191955566
botswana,0.15850311517715454,0.2142167091369629,0.20599515736103058,0.2607247233390808,0.22734014689922333,0.07819772511720657,0.15009211003780365,0.11583754420280457,0.1863333135843277,1.0000001192092896,0.196000874042511
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27188464999198914,0.24361056089401245,0.22861579060554504,0.3639189600944519,0.2589303255081177,0.45010748505592346,0.14917781949043274,0.29463258385658264
-40,0.09968777745962143,0.13272927701473236,0.06222689524292946,0.03735942021012306,0.10104235261678696,0.10441361367702484,0.07272862643003464,0.11658098548650742,-0.011053298600018024,-0.042881544679403305,0.0032168636098504066
%,0.20738190412521362,0.18672586977481842,0.21490740776062012,0.29531732201576233,0.2651303708553314,0.08649060875177383,0.18733492493629456,0.21614517271518707,0.19465309381484985,0.2018147110939026,0.21441808342933655
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.1795814335346222,0.19402410089969635,0.1954546719789505,0.41100412607192993,0.22563697397708893,1.0,0.1863333135843277,0.20430970191955566
bahrain,0.17038606107234955,0.19359727203845978,0.26649004220962524,0.23201490938663483,0.29657649993896484,0.13073579967021942,0.14208082854747772,0.15476825833320618,0.20764829218387604,0.35310283303260803,0.12445306032896042
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.26448529958724976,0.22563500702381134,0.17168964445590973,0.30295518040657043,0.24860693514347076,0.5591574311256409,0.21123911440372467,0.4130953550338745
