,how,many,catholic,schools,were,in,victoria,?
as,0.33782753348350525,0.4070141911506653,0.2185802161693573,0.21233005821704865,0.3025437891483307,0.3887844979763031,0.19515912234783173,0.27043893933296204
of,0.2480744868516922,0.37253960967063904,0.3452084958553314,0.265506386756897,0.34038281440734863,0.5696388483047485,0.2505437433719635,0.1826142966747284
august,0.13369344174861908,0.14742273092269897,0.18928579986095428,0.12107320129871368,0.20438668131828308,0.24307909607887268,0.15377067029476166,0.3006744682788849
2010,0.17927342653274536,0.33878764510154724,0.2679084837436676,0.26901668310165405,0.3102222681045532,0.2692960798740387,0.25237712264060974,0.21232788264751434
",",0.22659391164779663,0.40610817074775696,0.2713983952999115,0.2760516405105591,0.36755475401878357,0.5201468467712402,0.2279360294342041,0.31091248989105225
victoria,0.09004101157188416,0.1926158368587494,0.2138010412454605,0.11402804404497147,0.19546319544315338,0.20823122560977936,1.0,0.12246892601251602
had,0.2549138069152832,0.40130746364593506,0.211014062166214,0.2195458710193634,0.6150832772254944,0.385026752948761,0.1992126703262329,0.20728366076946259
"1,548",-0.11143426597118378,-0.023218782618641853,0.24249371886253357,0.09314671158790588,-0.02042148821055889,0.1285528838634491,0.14309662580490112,-0.1017208844423294
public,0.15624697506427765,0.25114959478378296,0.2732763886451721,0.4260808527469635,0.16988693177700043,0.29074716567993164,0.19629675149917603,0.19872993230819702
schools,0.12874440848827362,0.3108086585998535,0.3252324163913727,1.0,0.2387605458498001,0.2632134258747101,0.11402804404497147,0.18349280953407288
",",0.22659391164779663,0.40610817074775696,0.2713983952999115,0.2760516405105591,0.36755475401878357,0.5201468467712402,0.2279360294342041,0.31091248989105225
489,0.06244602054357529,0.08793044835329056,-0.02514149434864521,0.09250660985708237,0.012205525301396847,0.02804522030055523,0.047028373926877975,0.03536924719810486
catholic,0.11491761356592178,0.18935972452163696,1.0000001192092896,0.3252324163913727,0.2294636070728302,0.26313918828964233,0.2138010412454605,0.16609853506088257
schools,0.12874440848827362,0.3108086585998535,0.3252324163913727,1.0,0.2387605458498001,0.2632134258747101,0.11402804404497147,0.18349280953407288
and,0.33647966384887695,0.5296266674995422,0.2147825062274933,0.29319998621940613,0.42175528407096863,0.4954058527946472,0.24507255852222443,0.20544172823429108
214,0.13736467063426971,-0.02094149775803089,0.02999485284090042,-0.06996174901723862,0.014858237467706203,0.055350035429000854,-0.0705813616514206,0.07447335124015808
independent,0.1741381734609604,0.20261110365390778,0.23507951200008392,0.22231550514698029,0.19525553286075592,0.2794609069824219,0.13802865147590637,0.11902587860822678
schools,0.12874440848827362,0.3108086585998535,0.3252324163913727,1.0,0.2387605458498001,0.2632134258747101,0.11402804404497147,0.18349280953407288
.,0.3287222981452942,0.3974229395389557,0.270730584859848,0.2752705216407776,0.3378238379955292,0.5591574311256409,0.23069117963314056,0.4130953550338745
