,what,is,the,concept,of,the,visible,and,invisible,church,?
it,0.45803478360176086,0.6328473687171936,0.6251175999641418,0.29287758469581604,0.38761502504348755,0.6251175999641418,0.3120368719100952,0.40957894921302795,0.26582059264183044,0.23105517029762268,0.25732165575027466
upholds,0.28775057196617126,0.26133498549461365,0.30311185121536255,0.3106587529182434,0.3006787598133087,0.30311185121536255,0.2174248844385147,0.2838386297225952,0.23534023761749268,0.2382565140724182,0.25347933173179626
the,0.42745697498321533,0.5823672413825989,1.0,0.2355310022830963,0.733189046382904,1.0,0.3234308958053589,0.5171257257461548,0.29487305879592896,0.23846197128295898,0.22068053483963013
concept,0.28724339604377747,0.2750450372695923,0.2355310022830963,0.9999998807907104,0.24082158505916595,0.2355310022830963,0.16974546015262604,0.22126320004463196,0.19319207966327667,0.17915070056915283,0.17160645127296448
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24082158505916595,1.0,0.733189046382904,0.27322983741760254,0.5116966962814331,0.26418808102607727,0.3079429268836975,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.2355310022830963,0.733189046382904,1.0,0.3234308958053589,0.5171257257461548,0.29487305879592896,0.23846197128295898,0.22068053483963013
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,-0.005319306161254644,0.06780257821083069,0.029072100296616554,0.02851005829870701,0.036644238978624344,0.03439711034297943,0.038532305508852005,0.0685480609536171
visible,0.29748985171318054,0.2634405493736267,0.3234308958053589,0.16974546015262604,0.27322983741760254,0.3234308958053589,0.9999998807907104,0.2480427324771881,0.6867893934249878,0.15765801072120667,0.16810297966003418
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.22126320004463196,0.5116966962814331,0.5171257257461548,0.2480427324771881,1.0,0.23468531668186188,0.1976170688867569,0.20544172823429108
invisible,0.3041432201862335,0.2466367483139038,0.29487305879592896,0.19319207966327667,0.26418808102607727,0.29487305879592896,0.6867893934249878,0.23468531668186188,1.0,0.09682966023683548,0.17359478771686554
church,0.1944202184677124,0.203276589512825,0.23846197128295898,0.17915070056915283,0.3079429268836975,0.23846197128295898,0.15765801072120667,0.1976170688867569,0.09682966023683548,0.9999999403953552,0.18081501126289368
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.20029692351818085,0.4946078956127167,0.4933079481124878,0.23329982161521912,0.6633074283599854,0.2274090051651001,0.2707274258136749,0.31091248989105225
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.09455806761980057,0.13035868108272552,0.041273195296525955,-0.011876004748046398,0.021612688899040222,-0.030151311308145523,0.0220292080193758,0.018684765323996544
meaning,0.24135559797286987,0.32422322034835815,0.31918859481811523,0.35708144307136536,0.2447882443666458,0.31918859481811523,0.17552687227725983,0.20612139999866486,0.15376093983650208,0.1656038761138916,0.20420892536640167
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3531160056591034,0.41498205065727234,0.5473989248275757,0.34042447805404663,0.4731321930885315,0.35764676332473755,0.18300943076610565,0.32716336846351624
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.20769019424915314,0.42798417806625366,0.4860881567001343,0.28810715675354004,0.4542157053947449,0.3075122535228729,0.175497367978096,0.29575422406196594
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.2084418535232544,0.2827862501144409,0.3733934462070465,0.09921871870756149,0.41279885172843933,0.2630222737789154,0.19418756663799286,0.26220351457595825
are,0.29724663496017456,0.5330929756164551,0.40399202704429626,0.21223078668117523,0.39081433415412903,0.40399202704429626,0.28310900926589966,0.48576638102531433,0.1992417424917221,0.16039738059043884,0.24591213464736938
truly,0.43004146218299866,0.2596416473388672,0.22424784302711487,0.2872311472892761,0.22258278727531433,0.22424784302711487,0.24133338034152985,0.2641362249851227,0.3018426299095154,0.1415589302778244,0.26216718554496765
believers,0.32188862562179565,0.25462213158607483,0.2839444577693939,0.3293232023715973,0.3132140040397644,0.2839444577693939,0.2092197686433792,0.30080944299697876,0.21024644374847412,0.3975779712200165,0.2148078978061676
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21857000887393951,0.5696388483047485,0.6662389636039734,0.1914699673652649,0.4954058527946472,0.17394189536571503,0.2493300437927246,0.20430970191955566
every,0.30284011363983154,0.3428492546081543,0.4023689329624176,0.22981813549995422,0.3414052724838257,0.4023689329624176,0.23220033943653107,0.26607486605644226,0.22118991613388062,0.132063627243042,0.24066033959388733
age,0.1895245760679245,0.17962174117565155,0.24711290001869202,0.07629532366991043,0.2372717410326004,0.24711290001869202,0.10390438884496689,0.20936404168605804,0.0853552371263504,0.17566901445388794,0.16859300434589386
belong,0.2621663510799408,0.2787644863128662,0.27031847834587097,0.19928012788295746,0.2644003629684448,0.27031847834587097,0.14590446650981903,0.2474735528230667,0.14184142649173737,0.23149512708187103,0.25791382789611816
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2465057224035263,0.41548454761505127,0.535392165184021,0.2472568303346634,0.48971283435821533,0.27422377467155457,0.24439501762390137,0.29463258385658264
