,what,was,the,significance,of,british,win,?
france,0.17793065309524536,0.2715669870376587,0.35517507791519165,0.126501202583313,0.3265724182128906,0.23781980574131012,0.2211168259382248,0.15069349110126495
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.0008704577921889722,-0.03817026689648628,0.06352180242538452,0.04981255531311035,-0.023395681753754616
colonial,0.15791663527488708,0.2549057900905609,0.2715741693973541,0.22299480438232422,0.2972153425216675,0.37019065022468567,0.10309748351573944,0.10191229730844498
presence,0.24428647756576538,0.17283804714679718,0.34114351868629456,0.3897201716899872,0.2917717397212982,0.128088116645813,0.11360876262187958,0.08592845499515533
north,0.18673177063465118,0.29020047187805176,0.36298373341560364,0.13585412502288818,0.3604778051376343,0.2482547163963318,0.14436344802379608,0.11829731613397598
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2854430079460144,1.0,0.23701532185077667,0.18048720061779022,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.28973397612571716,0.28308698534965515,0.22068053483963013
caribbean,0.15882912278175354,0.2004963606595993,0.3009287416934967,0.0630793496966362,0.2305755466222763,0.27481600642204285,0.10785359144210815,0.13602977991104126
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.2098153829574585,0.4069072902202606,0.31934812664985657,0.29097598791122437,0.18412111699581146
reduced,0.11519023776054382,0.1765998750925064,0.2897622883319855,0.24049624800682068,0.30275818705558777,0.14860814809799194,0.12720169126987457,0.10234767943620682
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.23618555068969727,0.41548454761505127,0.22690963745117188,0.2910063862800598,0.29463258385658264
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.28973397612571716,0.28308698534965515,0.22068053483963013
islands,0.12194207310676575,0.17596279084682465,0.27959951758384705,0.13601922988891602,0.277767539024353,0.20860376954078674,0.1544443666934967,0.11824353039264679
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.2854430079460144,1.0,0.23701532185077667,0.18048720061779022,0.1826142966747284
saint,0.1704905927181244,0.2067660540342331,0.24700650572776794,0.17745058238506317,0.27986469864845276,0.18706117570400238,0.1445772796869278,0.15690264105796814
pierre,0.129045307636261,0.21739260852336884,0.19442830979824066,0.11629415303468704,0.16238592565059662,0.2247529923915863,0.19229426980018616,0.16526779532432556
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2731668949127197,0.5116966962814331,0.325880765914917,0.25380003452301025,0.20544172823429108
miquelon,0.15776653587818146,0.2499479204416275,0.2391849160194397,0.16285932064056396,0.2573566734790802,0.2672259211540222,0.1250324696302414,0.18388678133487701
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.29854074120521545,0.4946078956127167,0.25734075903892517,0.2999197840690613,0.31091248989105225
confirming,0.29070624709129333,0.29663118720054626,0.3460308313369751,0.2625725269317627,0.30918073654174805,0.16926853358745575,0.15051189064979553,0.2766484320163727
britain,0.24206450581550598,0.27792006731033325,0.29784059524536133,0.18104635179042816,0.28899943828582764,0.4846838712692261,0.17595046758651733,0.1268460750579834
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,0.0008704577921889722,-0.03817026689648628,0.06352180242538452,0.04981255531311035,-0.023395681753754616
position,0.22031237185001373,0.23203803598880768,0.3183514177799225,0.14240647852420807,0.23636478185653687,0.14348192512989044,0.1819240301847458,0.15529610216617584
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.26551559567451477,0.3886612355709076,0.23103800415992737,0.17371131479740143,0.27043893933296204
the,0.42745697498321533,0.48711544275283813,1.0,0.30353599786758423,0.733189046382904,0.28973397612571716,0.28308698534965515,0.22068053483963013
dominant,0.21783894300460815,0.19921712577342987,0.3743239641189575,0.30592069029808044,0.3018357455730438,0.1520344614982605,0.21391665935516357,0.07625212520360947
colonial,0.15791663527488708,0.2549057900905609,0.2715741693973541,0.22299480438232422,0.2972153425216675,0.37019065022468567,0.10309748351573944,0.10191229730844498
power,0.22216427326202393,0.1794997751712799,0.2647338807582855,0.13298773765563965,0.25273123383522034,0.16342106461524963,0.17813780903816223,0.15304024517536163
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.3055461347103119,0.5696388483047485,0.23084034025669098,0.2503834664821625,0.20430970191955566
eastern,0.2263268083333969,0.23346775770187378,0.3928247392177582,0.19964708387851715,0.33281487226486206,0.1847427636384964,0.057603102177381516,0.20060817897319794
north,0.18673177063465118,0.29020047187805176,0.36298373341560364,0.13585412502288818,0.3604778051376343,0.2482547163963318,0.14436344802379608,0.11829731613397598
america,0.2517423629760742,0.2850865423679352,0.37090015411376953,0.15224723517894745,0.28803038597106934,0.23250389099121094,0.13540899753570557,0.19333907961845398
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.2564675509929657,0.5352458953857422,0.23159366846084595,0.25577837228775024,0.4130953550338745
