,what,is,the,process,by,which,pathogens,evade,the,immune,system,by,hiding,inside,the,host,cells,called,?
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.1907106339931488,0.2719563841819763,0.3611921966075897,0.13588155806064606,0.24001219868659973,0.4207492768764496,0.20370379090309143,0.17536801099777222,0.2719563841819763,0.16014350950717926,0.1951468288898468,0.4207492768764496,0.20832303166389465,0.18335485458374023,0.2858632802963257,0.19793890416622162
evasion,0.32411402463912964,0.20052364468574524,0.1898711770772934,0.27315956354141235,0.21984095871448517,0.2546452283859253,0.23265129327774048,0.5966925621032715,0.1898711770772934,0.24067962169647217,0.20150206983089447,0.21984095871448517,0.25865429639816284,0.07068165391683578,0.1898711770772934,0.1697242707014084,0.14808940887451172,0.10974191129207611,0.3607742488384247
strategy,0.25034767389297485,0.2271415740251541,0.2895500361919403,0.28601616621017456,0.2122485488653183,0.24060368537902832,0.21580380201339722,0.2699953317642212,0.2895500361919403,0.21742546558380127,0.26810944080352783,0.2122485488653183,0.19791190326213837,0.13168784976005554,0.2895500361919403,0.17340923845767975,0.1192006915807724,0.20456567406654358,0.22400954365730286
used,0.27546408772468567,0.3288823366165161,0.3718377649784088,0.2672698497772217,0.27705541253089905,0.414506196975708,0.27143988013267517,0.24144107103347778,0.3718377649784088,0.20730088651180267,0.27983206510543823,0.27705541253089905,0.19490256905555725,0.30305734276771545,0.3718377649784088,0.08540724962949753,0.23762042820453644,0.46930378675460815,0.22430120408535004
by,0.2455483376979828,0.3899846076965332,0.4408751428127289,0.2115318775177002,1.0000001192092896,0.40543368458747864,0.20554135739803314,0.21426893770694733,0.4408751428127289,0.17260463535785675,0.23017624020576477,1.0000001192092896,0.17130106687545776,0.261824369430542,0.4408751428127289,0.17084096372127533,0.19208736717700958,0.3092815577983856,0.17966607213020325
several,0.22446060180664062,0.20361857116222382,0.40559855103492737,0.17989078164100647,0.3275541365146637,0.4863804280757904,0.18939287960529327,0.24734234809875488,0.40559855103492737,0.2060222327709198,0.18149340152740479,0.3275541365146637,0.21423563361167908,0.21624717116355896,0.40559855103492737,0.16223527491092682,0.15288189053535461,0.28788504004478455,0.15595775842666626
pathogens,0.24503889679908752,0.19907276332378387,0.23115308582782745,0.35329365730285645,0.20554135739803314,0.3394046723842621,1.0,0.38911184668540955,0.23115308582782745,0.5922579765319824,0.29995468258857727,0.20554135739803314,0.21238765120506287,0.26446616649627686,0.23115308582782745,0.2767496705055237,0.6204997897148132,0.20207016170024872,0.21364152431488037
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.35462963581085205,0.33534231781959534,0.5345056653022766,0.26178881525993347,0.3449758291244507,0.535392165184021,0.2541976273059845,0.26662686467170715,0.33534231781959534,0.29761260747909546,0.27900636196136475,0.535392165184021,0.18300798535346985,0.26320719718933105,0.2987143397331238,0.29463258385658264
avoid,0.2615243196487427,0.2189902514219284,0.24833035469055176,0.32904237508773804,0.2726847231388092,0.29532086849212646,0.28349509835243225,0.34884917736053467,0.24833035469055176,0.21928372979164124,0.2245924472808838,0.2726847231388092,0.2979949414730072,0.2176342010498047,0.24833035469055176,0.22684063017368317,0.1716165989637375,0.13444603979587555,0.26885488629341125
the,0.42745697498321533,0.5823672413825989,1.0,0.264274537563324,0.4408751428127289,0.6521818041801453,0.23115308582782745,0.22844162583351135,1.0,0.21364226937294006,0.3233085572719574,0.4408751428127289,0.26422008872032166,0.35313180088996887,1.0,0.26909032464027405,0.19095487892627716,0.489897221326828,0.22068053483963013
