,to,whom,was,johann,eck,the,assistant,?
johann,0.1611560434103012,0.15295937657356262,0.22661232948303223,0.9999998807907104,0.41396206617355347,0.1716882735490799,0.23163488507270813,0.1194499209523201
eck,0.1271955817937851,0.19933898746967316,0.2736509442329407,0.41396206617355347,1.0000001192092896,0.24178750813007355,0.19805623590946198,0.17439329624176025
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.23122678697109222,0.2767295837402344,0.4933079481124878,0.24455159902572632,0.31091248989105225
speaking,0.2276923805475235,0.25469210743904114,0.21738967299461365,0.16699537634849548,0.19706572592258453,0.34174251556396484,0.0942748486995697,0.18994855880737305
on,0.41031414270401,0.14539912343025208,0.3909217119216919,0.17273928225040436,0.2982678711414337,0.5107308030128479,0.10388898849487305,0.2714994251728058
behalf,0.2612593173980713,0.31975576281547546,0.2578688859939575,0.0645642802119255,0.1752970814704895,0.29712867736816406,0.20221024751663208,0.15256446599960327
of,0.41548454761505127,0.2070929855108261,0.4069072902202606,0.19805940985679626,0.24540671706199646,0.733189046382904,0.1757187694311142,0.1826142966747284
the,0.535392165184021,0.23752936720848083,0.48711544275283813,0.1716882735490799,0.24178750813007355,1.0,0.14871449768543243,0.22068053483963013
empire,0.21448755264282227,0.14611341059207916,0.30602675676345825,0.16664208471775055,0.18429499864578247,0.32532164454460144,0.09458154439926147,0.14909450709819794
as,0.42092081904411316,0.31695985794067383,0.3677520453929901,0.17498396337032318,0.2964993417263031,0.48381632566452026,0.2654710114002228,0.27043893933296204
assistant,0.2208065390586853,0.27348563075065613,0.2206253707408905,0.23163488507270813,0.19805623590946198,0.14871449768543243,0.9999999403953552,0.08149340003728867
of,0.41548454761505127,0.2070929855108261,0.4069072902202606,0.19805940985679626,0.24540671706199646,0.733189046382904,0.1757187694311142,0.1826142966747284
the,0.535392165184021,0.23752936720848083,0.48711544275283813,0.1716882735490799,0.24178750813007355,1.0,0.14871449768543243,0.22068053483963013
archbishop,0.17190921306610107,0.16109490394592285,0.30318954586982727,0.285706490278244,0.2610456049442291,0.1770705133676529,0.20290003716945648,0.198198139667511
of,0.41548454761505127,0.2070929855108261,0.4069072902202606,0.19805940985679626,0.24540671706199646,0.733189046382904,0.1757187694311142,0.1826142966747284
trier,0.23880334198474884,0.16693831980228424,0.23608063161373138,0.34596550464630127,0.3128632605075836,0.2949923872947693,0.17262253165245056,0.11322332918643951
",",0.44245919585227966,0.25587570667266846,0.45456063747406006,0.23122678697109222,0.2767295837402344,0.4933079481124878,0.24455159902572632,0.31091248989105225
presented,0.24592746794223785,0.23022538423538208,0.2883085608482361,0.16623345017433167,0.159393310546875,0.3251480758190155,0.1962847113609314,0.17025142908096313
