,who,may,introduce,new,laws,or,amendments,to,laws,already,on,the,books,as,a,bill,?
bills,0.1645503044128418,0.19348685443401337,0.2345513552427292,0.24364028871059418,0.3315223455429077,0.266512006521225,0.40542492270469666,0.24257683753967285,0.3315223455429077,0.17723962664604187,0.17112649977207184,0.2371491938829422,0.18404948711395264,0.1936701536178589,0.24252058565616608,0.6122535467147827,0.12315891683101654
can,0.2602734863758087,0.43584567308425903,0.240422785282135,0.22821471095085144,0.21583211421966553,0.5614996552467346,0.21813292801380157,0.4979398250579834,0.21583211421966553,0.33694055676460266,0.2772369682788849,0.312528520822525,0.1899169683456421,0.3245031237602234,0.3915780484676361,0.17938722670078278,0.3226337134838104
be,0.3371641933917999,0.45514434576034546,0.2999604046344757,0.22046978771686554,0.24180686473846436,0.5260903835296631,0.28376927971839905,0.4972836375236511,0.24180686473846436,0.46432292461395264,0.37900757789611816,0.4248143136501312,0.17155537009239197,0.5230465531349182,0.39883795380592346,0.14357201755046844,0.3324260413646698
introduced,0.18349657952785492,0.10691121965646744,0.7996845841407776,0.285953551530838,0.253499835729599,0.1752610206604004,0.25286442041397095,0.22615164518356323,0.253499835729599,0.21055448055267334,0.14749887585639954,0.242969810962677,0.17896711826324463,0.25088563561439514,0.2573881149291992,0.20603957772254944,0.16386865079402924
to,0.42656609416007996,0.391582727432251,0.3381519317626953,0.33159172534942627,0.2910608649253845,0.38921234011650085,0.31400617957115173,1.0,0.2910608649253845,0.3676825761795044,0.41031414270401,0.535392165184021,0.20019930601119995,0.42092081904411316,0.45503583550453186,0.17981381714344025,0.29463258385658264
parliament,0.237068772315979,0.21585623919963837,0.18331246078014374,0.17184364795684814,0.42866581678390503,0.209258034825325,0.41087499260902405,0.20290622115135193,0.42866581678390503,0.14771543443202972,0.2047569900751114,0.26521381735801697,0.1543596088886261,0.1639251410961151,0.22951169312000275,0.2732408940792084,0.1586504578590393
in,0.2792111933231354,0.3424151837825775,0.18157897889614105,0.3758552670478821,0.2591988444328308,0.3586423695087433,0.1798926591873169,0.45010748505592346,0.2591988444328308,0.288102924823761,0.46853652596473694,0.6662389636039734,0.250139981508255,0.3887844979763031,0.539380669593811,0.1447519063949585,0.20430970191955566
a,0.36608949303627014,0.29255667328834534,0.25808990001678467,0.3214259147644043,0.1722979098558426,0.48853766918182373,0.1911919265985489,0.45503583550453186,0.1722979098558426,0.33469632267951965,0.3848365545272827,0.5829201340675354,0.16057591140270233,0.39550232887268066,1.0,0.24716360867023468,0.23916715383529663
number,0.21304799616336823,0.18605102598667145,0.21107710897922516,0.2987784147262573,0.18987803161144257,0.28384777903556824,0.23242893815040588,0.2706126868724823,0.18987803161144257,0.2328147292137146,0.2978411018848419,0.35145696997642517,0.1735290139913559,0.26786008477211,0.2992287278175354,0.12933529913425446,0.19256845116615295
of,0.2827862501144409,0.26447007060050964,0.2043139487504959,0.343457967042923,0.2539142072200775,0.3792596757411957,0.22983944416046143,0.41548454761505127,0.2539142072200775,0.27917540073394775,0.3966929316520691,0.733189046382904,0.18863578140735626,0.3886612355709076,0.5052502155303955,0.17127205431461334,0.1826142966747284
ways,0.3137008845806122,0.24969244003295898,0.2642187476158142,0.19428445398807526,0.31724536418914795,0.34215420484542847,0.24599024653434753,0.3916551172733307,0.31724536418914795,0.35220518708229065,0.2167762964963913,0.25153350830078125,0.23798492550849915,0.2867274880409241,0.25739049911499023,0.08885250985622406,0.2710120975971222
