,what,was,special,about,tesla,'s,memory,?
nikola,0.1137276440858841,0.19991572201251984,0.09168830513954163,0.12285114079713821,0.5656248331069946,0.03191572055220604,0.14541509747505188,0.06297405064105988
credited,0.120785653591156,0.29115962982177734,0.16712556779384613,0.10847649723291397,0.07292511314153671,0.011975634843111038,0.14057479798793793,0.06334620714187622
his,0.26976513862609863,0.4405253231525421,0.1849382370710373,0.24169853329658508,0.1580733060836792,0.047556519508361816,0.15526065230369568,0.18075084686279297
eidetic,0.2648158371448517,0.2543334364891052,0.2587554454803467,0.21998748183250427,0.25827544927597046,0.029795361682772636,0.1832830309867859,0.24621257185935974
memory,0.20690667629241943,0.16498547792434692,0.19441846013069153,0.14838850498199463,0.23510560393333435,0.061501987278461456,0.9999999403953552,0.1397676020860672
and,0.31309178471565247,0.3740963041782379,0.22352655231952667,0.3875081241130829,0.19560420513153076,0.06895173341035843,0.20261503756046295,0.20544172823429108
creative,0.2690553069114685,0.1793939173221588,0.24255874752998352,0.17735695838928223,0.22929537296295166,0.04752415791153908,0.19949394464492798,0.1945163905620575
abilities,0.24971850216388702,0.10184995085000992,0.26114287972450256,0.1388327032327652,0.22979404032230377,0.019947443157434464,0.2558339238166809,0.1976996213197708
to,0.455847829580307,0.3636345863342285,0.28623831272125244,0.391953706741333,0.17548894882202148,0.03782717138528824,0.19370511174201965,0.29463258385658264
his,0.26976513862609863,0.4405253231525421,0.1849382370710373,0.24169853329658508,0.1580733060836792,0.047556519508361816,0.15526065230369568,0.18075084686279297
mother,0.20282095670700073,0.28349727392196655,0.13671138882637024,0.2642134726047516,0.0837036594748497,0.03889143466949463,0.18193165957927704,0.15180644392967224
's,0.02692362666130066,0.008974763564765453,-0.03405539691448212,-0.020936643704771996,0.06449045985937119,0.9999999403953552,0.061501987278461456,-0.023395681753754616
genetics,0.26030197739601135,0.22083769738674164,0.12849344313144684,0.22400978207588196,0.2071499526500702,-0.12184182554483414,0.16921496391296387,0.17386814951896667
and,0.31309178471565247,0.3740963041782379,0.22352655231952667,0.3875081241130829,0.19560420513153076,0.06895173341035843,0.20261503756046295,0.20544172823429108
influence,0.2790174186229706,0.25968071818351746,0.07046402245759964,0.23374134302139282,0.09356265515089035,0.0246872678399086,0.1620541363954544,0.14200882613658905
.,0.3567904531955719,0.40146201848983765,0.26337340474128723,0.42038556933403015,0.17949827015399933,-0.003708066651597619,0.13056598603725433,0.4130953550338745
