,who,intercepted,a,manning,pass,",",giving,the,ball,back,to,the,panthers,?
however,0.4020770490169525,0.26575201749801636,0.38150349259376526,0.21974250674247742,0.269846111536026,0.4037865996360779,0.36012083292007446,0.49814513325691223,0.16518129408359528,0.35933956503868103,0.5474119186401367,0.49814513325691223,0.1888761669397354,0.2152075469493866
",",0.3365725874900818,0.21653500199317932,0.427140474319458,0.30921146273612976,0.22301842272281647,1.0000001192092896,0.28642573952674866,0.4933079481124878,0.2170172780752182,0.3066370487213135,0.44245919585227966,0.4933079481124878,0.2494642585515976,0.31091248989105225
the,0.3733934462070465,0.2696214020252228,0.5829201340675354,0.27058160305023193,0.25961899757385254,0.4933079481124878,0.3626074492931366,1.0,0.18895584344863892,0.3612101674079895,0.535392165184021,1.0,0.2602776288986206,0.22068053483963013
panthers,0.2132880985736847,0.3229466676712036,0.2255268394947052,0.3926267921924591,0.16386406123638153,0.2494642585515976,0.1565897911787033,0.2602776288986206,0.17961734533309937,0.24408011138439178,0.2185782641172409,0.2602776288986206,0.9999999403953552,0.16608978807926178
soon,0.3877567946910858,0.18249307572841644,0.3021368980407715,0.19724701344966888,0.15562951564788818,0.33847981691360474,0.31164681911468506,0.3431394100189209,0.13767187297344208,0.35988372564315796,0.3827410042285919,0.3431394100189209,0.13796652853488922,0.17460282146930695
took,0.2481452226638794,0.18823567032814026,0.18697012960910797,0.18411393463611603,0.10032956302165985,0.27655306458473206,0.27744996547698975,0.31657639145851135,0.09350965917110443,0.2667727768421173,0.24576251208782196,0.31657639145851135,0.15463778376579285,0.14109265804290771
the,0.3733934462070465,0.2696214020252228,0.5829201340675354,0.27058160305023193,0.25961899757385254,0.4933079481124878,0.3626074492931366,1.0,0.18895584344863892,0.3612101674079895,0.535392165184021,1.0,0.2602776288986206,0.22068053483963013
ball,0.18419332802295685,0.24055960774421692,0.23578347265720367,0.3111599087715149,0.21328508853912354,0.2170172780752182,0.08097457885742188,0.18895584344863892,1.0,0.21943949162960052,0.2563202381134033,0.18895584344863892,0.17961734533309937,0.1766241192817688
back,0.2667590379714966,0.23654556274414062,0.31908270716667175,0.20350176095962524,0.18389853835105896,0.3066370487213135,0.2520810067653656,0.3612101674079895,0.21943949162960052,0.9999999403953552,0.4675939381122589,0.3612101674079895,0.24408011138439178,0.2397768795490265
when,0.48282691836357117,0.27392658591270447,0.44397395849227905,0.23698855936527252,0.20427322387695312,0.36674630641937256,0.40573650598526,0.5091903209686279,0.2694079577922821,0.4184971749782562,0.5423505902290344,0.5091903209686279,0.15385644137859344,0.22841128706932068
defensive,0.18336546421051025,0.4635196924209595,0.2169283777475357,0.44660845398902893,0.22306403517723083,0.238240584731102,0.17720231413841248,0.2644767463207245,0.2685719132423401,0.2641189694404602,0.21831567585468292,0.2644767463207245,0.37187400460243225,0.1711898148059845
end,0.15423893928527832,0.26699596643447876,0.28924596309661865,0.2056039273738861,0.23464839160442352,0.25448864698410034,0.24271447956562042,0.39658910036087036,0.20891526341438293,0.36246630549430847,0.3229445815086365,0.39658910036087036,0.14626342058181763,0.12543344497680664
