,how,big,are,phycobilisomes,?
phycobilins,0.30270886421203613,0.1247846856713295,0.4288342595100403,0.8096494078636169,0.2176510989665985
often,0.41107481718063354,0.26511308550834656,0.5443448424339294,0.4118328392505646,0.23748154938220978
organize,0.3079175055027008,0.17826101183891296,0.1791152060031891,0.24564065039157867,0.17601895332336426
into,0.2303972691297531,0.19050225615501404,0.2930682599544525,0.29317763447761536,0.15662476420402527
relatively,0.33017563819885254,0.19621677696704865,0.3542642295360565,0.34545770287513733,0.1281091868877411
large,0.21342547237873077,0.45738843083381653,0.3467932939529419,0.34272047877311707,0.1355665624141693
protein,0.24576620757579803,0.09781084954738617,0.279949426651001,0.5313548445701599,0.169142946600914
complexes,0.2687283754348755,0.17255161702632904,0.34757092595100403,0.4891510009765625,0.06042792648077011
about,0.44264400005340576,0.24553140997886658,0.36165615916252136,0.21346049010753632,0.302409827709198
40,0.03806556016206741,0.09007509052753448,0.0024200035259127617,-0.031667567789554596,0.010195288807153702
nanometers,0.33808672428131104,0.1903928816318512,0.34647881984710693,0.48887643218040466,0.18336744606494904
across,0.2515762746334076,0.24647004902362823,0.24150612950325012,0.16110637784004211,0.17034576833248138
called,0.2869613468647003,0.2661399245262146,0.3676711618900299,0.35656657814979553,0.18963319063186646
phycobilisomes,0.29506629705429077,0.13234691321849823,0.44534581899642944,1.0,0.2205180823802948
.,0.3287222981452942,0.27374890446662903,0.3452940285205841,0.3104304373264313,0.4130953550338745
