,on,what,streets,is,the,abc,headquarters,located
the,0.5107308030128479,0.42745697498321533,0.2026284784078598,0.5823672413825989,1.0,0.2068762183189392,0.30217429995536804,0.407527357339859
network,0.30190837383270264,0.16917307674884796,0.20652198791503906,0.2196272611618042,0.27187061309814453,0.4295894205570221,0.23737207055091858,0.16110296547412872
is,0.3635730445384979,0.28837618231773376,0.12125551700592041,1.0,0.5823672413825989,0.16037321090698242,0.21210239827632904,0.35717159509658813
headquartered,0.25288480520248413,0.1961720734834671,0.2004995495080948,0.22352874279022217,0.306002676486969,0.18655560910701752,0.9197820425033569,0.5083146095275879
on,0.9999999403953552,0.34226128458976746,0.19840306043624878,0.3635730445384979,0.5107308030128479,0.2862928807735443,0.2589729428291321,0.22447186708450317
columbus,0.16460254788398743,0.21798990666866302,0.21156162023544312,0.16591396927833557,0.2655775547027588,0.1850004345178604,0.12157201766967773,0.1431954801082611
avenue,0.19666297733783722,0.11924558132886887,0.5030614733695984,0.13601207733154297,0.22167983651161194,0.1990077942609787,0.30277684330940247,0.33756324648857117
and,0.4077630043029785,0.31309178471565247,0.3053084909915924,0.3859752118587494,0.5171257257461548,0.16453155875205994,0.1879013329744339,0.24183952808380127
west,0.22540061175823212,0.1946573108434677,0.2039860039949417,0.25201764702796936,0.32918402552604675,0.18391461670398712,0.2802004814147949,0.3266756236553192
66th,0.16383413970470428,0.0851837620139122,0.0685490146279335,0.25995999574661255,0.3146529793739319,0.12258153408765793,0.12950290739536285,0.10706419497728348
street,0.20150774717330933,0.14271703362464905,0.7805339097976685,0.1302390694618225,0.20947860181331635,0.1996762454509735,0.2670469880104065,0.2203429490327835
in,0.46853652596473694,0.30808621644973755,0.24497881531715393,0.5394441485404968,0.6662389636039734,0.1697147786617279,0.2975142002105713,0.35149815678596497
manhattan,0.2807825207710266,0.14820615947246552,0.255924791097641,0.14923427999019623,0.2704658806324005,0.1979755461215973,0.24195720255374908,0.2313692718744278
",",0.49057599902153015,0.3087472915649414,0.22823314368724823,0.4691906273365021,0.4933079481124878,0.2097204476594925,0.23055404424667358,0.2678719460964203
with,0.40749499201774597,0.2464839518070221,0.1986265629529953,0.3250955045223236,0.4223487675189972,0.17432008683681488,0.1037926897406578,0.12990716099739075
additional,0.22756081819534302,0.20172064006328583,0.11601098626852036,0.1715312898159027,0.2539002597332001,0.1623675376176834,0.1296432912349701,0.1463717371225357
major,0.21282386779785156,0.21026742458343506,0.21751411259174347,0.19079607725143433,0.31775903701782227,0.1743539571762085,0.2599624693393707,0.2015949785709381
offices,0.24855470657348633,0.1431061029434204,0.36726829409599304,0.15233594179153442,0.2803647518157959,0.17729701101779938,0.5178173780441284,0.33838969469070435
and,0.4077630043029785,0.31309178471565247,0.3053084909915924,0.3859752118587494,0.5171257257461548,0.16453155875205994,0.1879013329744339,0.24183952808380127
production,0.19293728470802307,0.16636081039905548,0.10998868197202682,0.19756923615932465,0.2657334506511688,0.23261262476444244,0.19670216739177704,0.14462490379810333
facilities,0.1600460559129715,0.137315571308136,0.2799389362335205,0.17244288325309753,0.19172798097133636,0.11960670351982117,0.407265305519104,0.3665260970592499
in,0.46853652596473694,0.30808621644973755,0.24497881531715393,0.5394441485404968,0.6662389636039734,0.1697147786617279,0.2975142002105713,0.35149815678596497
new,0.31106263399124146,0.2130378633737564,0.16697803139686584,0.2208656519651413,0.3845241069793701,0.20663127303123474,0.17995265126228333,0.15510645508766174
york,0.2789517641067505,0.15652963519096375,0.2134583443403244,0.14725744724273682,0.3034006953239441,0.25457969307899475,0.18577155470848083,0.1267472803592682
city,0.2549738585948944,0.17493832111358643,0.37250638008117676,0.3186660706996918,0.35769423842430115,0.2157231718301773,0.3777664005756378,0.3682219088077545
",",0.49057599902153015,0.3087472915649414,0.22823314368724823,0.4691906273365021,0.4933079481124878,0.2097204476594925,0.23055404424667358,0.2678719460964203
los,0.23798500001430511,0.12322991341352463,0.11399296671152115,0.17008589208126068,0.2502395510673523,0.22823278605937958,0.21219564974308014,0.1983492374420166
angeles,0.2299182265996933,0.10702074319124222,0.11097660660743713,0.1558004766702652,0.24588194489479065,0.22578765451908112,0.1921222060918808,0.17600157856941223
and,0.4077630043029785,0.31309178471565247,0.3053084909915924,0.3859752118587494,0.5171257257461548,0.16453155875205994,0.1879013329744339,0.24183952808380127
burbank,0.3289977014064789,0.18978667259216309,0.2561172544956207,0.14307169616222382,0.2321508675813675,0.2810988128185272,0.27546045184135437,0.21491163969039917
",",0.49057599902153015,0.3087472915649414,0.22823314368724823,0.4691906273365021,0.4933079481124878,0.2097204476594925,0.23055404424667358,0.2678719460964203
california,0.2485160082578659,0.1811584085226059,0.15380622446537018,0.20727038383483887,0.2750805914402008,0.2458307445049286,0.1853691190481186,0.20510807633399963
.,0.49257001280784607,0.3567904531955719,0.22065025568008423,0.4569662809371948,0.5934505462646484,0.2567209303379059,0.237182155251503,0.28226932883262634
