,what,is,an,autoimmune,disease,that,affects,women,preferentially,?
some,0.4491020441055298,0.3038453459739685,0.2864145338535309,0.3168834447860718,0.18568909168243408,0.6049469113349915,0.28935784101486206,0.20219233632087708,0.35466012358665466,0.2562315762042999
autoimmune,0.24827490746974945,0.27286678552627563,0.22194775938987732,1.0,0.5896418690681458,0.29739779233932495,0.4690853953361511,0.22467964887619019,0.33531033992767334,0.21146810054779053
diseases,0.276649534702301,0.18949109315872192,0.1750166267156601,0.647394597530365,0.8098766207695007,0.28569626808166504,0.4779030680656433,0.2451237142086029,0.25916507840156555,0.1916700154542923
such,0.23989605903625488,0.23545363545417786,0.2025681436061859,0.2803241014480591,0.16872665286064148,0.4479874074459076,0.274233341217041,0.09267823398113251,0.2677391767501831,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.37218472361564636,0.2023467868566513,0.15819621086120605,0.4735107421875,0.1919880211353302,0.1423753798007965,0.29470518231391907,0.27043893933296204
lupus,0.1683320701122284,0.2405261993408203,0.11267532408237457,0.4865378141403198,0.4436056613922119,0.2032465785741806,0.32062751054763794,0.14006485044956207,0.13712240755558014,0.19493068754673004
erythematosus,0.2594428062438965,0.20888805389404297,0.1975964456796646,0.664856493473053,0.5203312039375305,0.2600279450416565,0.3771079182624817,0.17545798420906067,0.32730597257614136,0.21907463669776917
strike,0.24317631125450134,0.20335426926612854,0.17575275897979736,0.08808454871177673,0.10687413066625595,0.26788485050201416,0.18988242745399475,0.1467515081167221,0.13864679634571075,0.20633886754512787
women,0.14828920364379883,0.20067402720451355,0.12665927410125732,0.22467964887619019,0.19205546379089355,0.18742111325263977,0.1787189245223999,0.9999998807907104,0.11299164593219757,0.1616753786802292
preferentially,0.3041344881057739,0.20867647230625153,0.25939303636550903,0.33531033992767334,0.18546226620674133,0.3706895709037781,0.2678101062774658,0.11299164593219757,1.0,0.3100273013114929
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.2261451780796051,0.29627472162246704,0.4137537479400635,0.24039752781391144,0.18865817785263062,0.19944265484809875,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.2838519215583801,0.20667199790477753,0.19961869716644287,0.4731321930885315,0.29763999581336975,0.24605001509189606,0.24539831280708313,0.20544172823429108
their,0.35142919421195984,0.2101074606180191,0.19624626636505127,0.26601099967956543,0.1593298763036728,0.4266771972179413,0.292411744594574,0.22034211456775665,0.23253276944160461,0.1898253709077835
onset,0.18648695945739746,0.18780562281608582,0.16980357468128204,0.4775131642818451,0.38751220703125,0.21580947935581207,0.4046711325645447,0.20583416521549225,0.2879461348056793,0.14764419198036194
often,0.3849453330039978,0.3856629431247711,0.18115736544132233,0.3149234652519226,0.1787654012441635,0.43873903155326843,0.3486817181110382,0.23204591870307922,0.3401968777179718,0.23748154938220978
coincides,0.2640845477581024,0.25001442432403564,0.20018994808197021,0.22595274448394775,0.1549299955368042,0.3512263596057892,0.35202756524086,0.054134346544742584,0.2926425337791443,0.205794095993042
with,0.2464839518070221,0.3250955045223236,0.2730048894882202,0.22057734429836273,0.16598357260227203,0.4154358208179474,0.31594693660736084,0.1728040874004364,0.2392033040523529,0.2433311939239502
puberty,0.29068723320961,0.1864711195230484,0.19500721991062164,0.4615147113800049,0.31683528423309326,0.3269795775413513,0.38969913125038147,0.35544154047966003,0.26171013712882996,0.19346819818019867
.,0.3567904531955719,0.4569662809371948,0.3581749200820923,0.25202322006225586,0.25074082612991333,0.4460422694683075,0.23962081968784332,0.2560822069644928,0.25956302881240845,0.4130953550338745
