,who,attempted,to,arrange,a,compromise,?
that,0.45444270968437195,0.22643624246120453,0.5436353087425232,0.267358660697937,0.47537946701049805,0.35320550203323364,0.32716336846351624
autumn,0.11426738649606705,0.11371608823537827,0.17767967283725739,0.16445960104465485,0.2288287878036499,0.17164301872253418,0.11069142818450928
",",0.3365725874900818,0.24146170914173126,0.44245919585227966,0.27941882610321045,0.427140474319458,0.23330160975456238,0.31091248989105225
johann,0.2507777810096741,0.15334752202033997,0.1611560434103012,0.21115723252296448,0.16699613630771637,0.1400204300880432,0.1194499209523201
eck,0.24915529787540436,0.08994612097740173,0.1271955817937851,0.10860346257686615,0.23196116089820862,0.17861025035381317,0.17439329624176025
proclaimed,0.23182880878448486,0.26904401183128357,0.14341698586940765,0.13435052335262299,0.12322450429201126,0.22863516211509705,0.203518345952034
the,0.3733934462070465,0.2688039243221283,0.535392165184021,0.25118985772132874,0.5829201340675354,0.25162890553474426,0.22068053483963013
bull,0.2057839184999466,0.13768994808197021,0.16257232427597046,0.07653699070215225,0.2653593122959137,0.19071951508522034,0.12595409154891968
in,0.2792111933231354,0.22081954777240753,0.45010748505592346,0.1903982311487198,0.539380669593811,0.14546170830726624,0.20430970191955566
meissen,0.14637766778469086,0.09700310230255127,0.10570476204156876,0.11494998633861542,0.16626454889774323,0.13613784313201904,0.16592775285243988
and,0.41279885172843933,0.25629109144210815,0.48971283435821533,0.28430235385894775,0.3739250600337982,0.20052599906921387,0.20544172823429108
other,0.3612329661846161,0.16377799212932587,0.4193183183670044,0.2752397060394287,0.2806335389614105,0.23182784020900726,0.24682199954986572
towns,0.1447213590145111,0.1284172385931015,0.19498857855796814,0.15075860917568207,0.17180263996124268,0.1389884054660797,0.1348545402288437
.,0.3541337847709656,0.2151479423046112,0.4645031690597534,0.2261739820241928,0.50484299659729,0.24009202420711517,0.4130953550338745
