,what,else,was,publically,questioned,?
further,0.30867868661880493,0.27077797055244446,0.16107149422168732,0.2055007815361023,0.25528672337532043,0.20960763096809387
",",0.3087472915649414,0.2643522322177887,0.45456063747406006,0.20641280710697174,0.2902030348777771,0.31091248989105225
the,0.42745697498321533,0.19370581209659576,0.48711544275283813,0.23952215909957886,0.2955554127693176,0.22068053483963013
wisdom,0.22927740216255188,0.2190117985010147,0.0942913070321083,0.2519064247608185,0.24783197045326233,0.20659728348255157
and,0.31309178471565247,0.2664144039154053,0.3740963041782379,0.24214573204517365,0.2444506287574768,0.20544172823429108
prudence,0.23185493052005768,0.16851770877838135,0.18574818968772888,0.19746993482112885,0.2227674424648285,0.20035812258720398
of,0.33290785551071167,0.1318979412317276,0.4069072902202606,0.15130162239074707,0.2533550262451172,0.1826142966747284
certain,0.4561643898487091,0.282009094953537,0.16044850647449493,0.28401848673820496,0.3380509316921234,0.2516106069087982
decisions,0.3351972997188568,0.2482638657093048,0.18396079540252686,0.30469387769699097,0.40196478366851807,0.29068708419799805
of,0.33290785551071167,0.1318979412317276,0.4069072902202606,0.15130162239074707,0.2533550262451172,0.1826142966747284
procurement,0.2843207120895386,0.2136460244655609,0.25271135568618774,0.2372330129146576,0.31555187702178955,0.17974576354026794
have,0.39808809757232666,0.3703494668006897,0.2863433063030243,0.33806827664375305,0.2976275384426117,0.32991164922714233
been,0.2567804455757141,0.28063830733299255,0.518218457698822,0.390036404132843,0.33339595794677734,0.24354910850524902
publicly,0.2473599910736084,0.21568197011947632,0.2935217618942261,0.5925371050834656,0.345263808965683,0.24073180556297302
questioned,0.4463701844215393,0.28189700841903687,0.28582775592803955,0.3549351692199707,1.0,0.38011181354522705
.,0.3567904531955719,0.30548352003097534,0.40146201848983765,0.17399461567401886,0.27716249227523804,0.4130953550338745
