,according,to,the,aaa,",",what,is,the,percentage,of,the,gas,stations,that,ran,out,of,gasoline,?
the,0.3202974498271942,0.535392165184021,1.0,0.17476393282413483,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2736506462097168,0.733189046382904,1.0,0.2339978665113449,0.24762700498104095,0.5473989248275757,0.28357353806495667,0.39404502511024475,0.733189046382904,0.1487564593553543,0.22068053483963013
american,0.11132238805294037,0.16338081657886505,0.24562937021255493,0.1546153426170349,0.3048616647720337,0.1909721940755844,0.1853146106004715,0.24562937021255493,0.1021198257803917,0.22180068492889404,0.24562937021255493,0.10662434995174408,0.12833601236343384,0.24748189747333527,0.1664045751094818,0.15954390168190002,0.22180068492889404,0.15822699666023254,0.18877598643302917
automobile,0.13431130349636078,0.14050820469856262,0.19456493854522705,0.18471728265285492,0.20926658809185028,0.1494080126285553,0.19851477444171906,0.19456493854522705,0.12847717106342316,0.20352987945079803,0.19456493854522705,0.24549534916877747,0.14455899596214294,0.14728589355945587,0.1398572474718094,0.10763251781463623,0.20352987945079803,0.4751960337162018,0.11581343412399292
association,0.07857970148324966,0.19401024281978607,0.26550325751304626,0.3180645704269409,0.19516262412071228,0.13908448815345764,0.23086927831172943,0.26550325751304626,0.210469588637352,0.2501356303691864,0.26550325751304626,0.0724758431315422,0.1643381416797638,0.16232246160507202,0.06498130410909653,0.07665683329105377,0.2501356303691864,0.047670770436525345,0.1542656421661377
reported,0.33541378378868103,0.20339804887771606,0.24444028735160828,0.06501477211713791,0.2771649956703186,0.16211873292922974,0.13764138519763947,0.24444028735160828,0.1494409590959549,0.23745855689048767,0.24444028735160828,0.13318686187267303,0.24557234346866608,0.2721617817878723,0.17695309221744537,0.2735123336315155,0.23745855689048767,0.1997460126876831,0.16150116920471191
that,0.29146862030029297,0.5436353087425232,0.5473989248275757,0.19110560417175293,0.4137537479400635,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.3343636393547058,0.41498205065727234,0.5473989248275757,0.2489587664604187,0.2291857898235321,1.0,0.27365562319755554,0.43996092677116394,0.41498205065727234,0.20351538062095642,0.32716336846351624
in,0.29259276390075684,0.45010748505592346,0.6662389636039734,0.08440880477428436,0.5201468467712402,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.18874377012252808,0.5696388483047485,0.6662389636039734,0.20770272612571716,0.25864288210868835,0.435920387506485,0.2376149296760559,0.3576207756996155,0.5696388483047485,0.17248059809207916,0.20430970191955566
the,0.3202974498271942,0.535392165184021,1.0,0.17476393282413483,0.4933079481124878,0.42745697498321533,0.5823672413825989,1.0,0.2736506462097168,0.733189046382904,1.0,0.2339978665113449,0.24762700498104095,0.5473989248275757,0.28357353806495667,0.39404502511024475,0.733189046382904,0.1487564593553543,0.22068053483963013
last,0.16712309420108795,0.30156898498535156,0.3698786795139313,0.14389972388744354,0.29026782512664795,0.23175878822803497,0.2445172220468521,0.3698786795139313,0.28165674209594727,0.3052992522716522,0.3698786795139313,0.11537668108940125,0.12550053000450134,0.31652477383613586,0.18454605340957642,0.21300911903381348,0.3052992522716522,0.14360199868679047,0.22371746599674225
week,0.15367132425308228,0.27498435974121094,0.28402599692344666,0.13573305308818817,0.3187089264392853,0.2483774870634079,0.16986028850078583,0.28402599692344666,0.23932123184204102,0.17998629808425903,0.28402599692344666,0.13847169280052185,0.25406819581985474,0.29284077882766724,0.18039585649967194,0.24986295402050018,0.17998629808425903,0.20383532345294952,0.25105318427085876
of,0.3307822346687317,0.41548454761505127,0.733189046382904,0.13306361436843872,0.4946078956127167,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24724560976028442,1.0,0.733189046382904,0.21246914565563202,0.20414425432682037,0.41498205065727234,0.21351689100265503,0.34176841378211975,1.0,0.14711549878120422,0.1826142966747284
