,from,what,military,branch,did,mueller,recruit,managers,from,?
based,0.25130078196525574,0.274813175201416,0.13632291555404663,0.1335078775882721,0.15722841024398804,0.17657338082790375,0.1250087320804596,0.20225276052951813,0.25130078196525574,0.134929820895195
on,0.36926645040512085,0.34226128458976746,0.15503616631031036,0.15029071271419525,0.2670976221561432,0.20331783592700958,0.15711532533168793,0.13608333468437195,0.36926645040512085,0.2714994251728058
his,0.3195365369319916,0.26976513862609863,0.2637975513935089,0.12139967828989029,0.3546801507472992,0.28225281834602356,0.2770959734916687,0.17958277463912964,0.3195365369319916,0.18075084686279297
industry,0.17414061725139618,0.1966298520565033,0.24109408259391785,0.11025204509496689,0.16876111924648285,0.09537315368652344,0.20141753554344177,0.26179760694503784,0.17414061725139618,0.11813290417194366
experience,0.18313857913017273,0.3894727826118469,0.24517832696437836,0.10091939568519592,0.2411177009344101,0.12061355262994766,0.3285350501537323,0.2623869776725769,0.18313857913017273,0.25203612446784973
on,0.36926645040512085,0.34226128458976746,0.15503616631031036,0.15029071271419525,0.2670976221561432,0.20331783592700958,0.15711532533168793,0.13608333468437195,0.36926645040512085,0.2714994251728058
air,0.20934231579303741,0.10361403971910477,0.28651490807533264,0.23483683168888092,0.12297173589468002,0.13454017043113708,0.13632817566394806,0.12160195410251617,0.20934231579303741,0.1491677612066269
force,0.14128944277763367,0.16915984451770782,0.389915406703949,0.243977352976799,0.1680130809545517,0.10867122560739517,0.32729536294937134,0.14607927203178406,0.14128944277763367,0.1650998443365097
missile,0.1817973107099533,0.18716071546077728,0.37588950991630554,0.1401241421699524,0.09514358639717102,0.17018204927444458,0.2093510925769806,0.15891845524311066,0.1817973107099533,0.20229725539684296
projects,0.1961805820465088,0.28646913170814514,0.23839689791202545,0.14088933169841766,0.21255384385585785,0.13647149503231049,0.34676995873451233,0.2632860541343689,0.1961805820465088,0.3193145990371704
",",0.39760664105415344,0.3087472915649414,0.2611614465713501,0.2610839307308197,0.3015086054801941,0.3152562379837036,0.16720660030841827,0.24532629549503326,0.39760664105415344,0.31091248989105225
mueller,0.11213305592536926,0.1313520073890686,0.18259435892105103,0.16146889328956604,0.1419845074415207,1.0,0.16030026972293854,0.1673269122838974,0.11213305592536926,0.1575169712305069
realized,0.18555042147636414,0.3459920883178711,0.18751634657382965,0.08511394262313843,0.45471322536468506,0.184273824095726,0.2815943658351898,0.13215108215808868,0.18555042147636414,0.15594157576560974
some,0.35210713744163513,0.4491020441055298,0.22536835074424744,0.1853441745042801,0.42553430795669556,0.13700339198112488,0.26868531107902527,0.2741282880306244,0.35210713744163513,0.2562315762042999
skilled,0.15365195274353027,0.23161742091178894,0.24896244704723358,0.0962328389286995,0.30580031871795654,0.1720658838748932,0.3725299835205078,0.24151620268821716,0.15365195274353027,0.1555546671152115
managers,0.1336720883846283,0.20850390195846558,0.21773949265480042,0.1680484414100647,0.1977260410785675,0.1673269122838974,0.27072739601135254,0.9999999403953552,0.1336720883846283,0.16984312236309052
could,0.25045305490493774,0.4188697934150696,0.21485845744609833,0.1310281604528427,0.6308382749557495,0.11314952373504639,0.2553940415382385,0.19375963509082794,0.25045305490493774,0.3411986827850342
