,when,did,landau,propose,his,four,conjectural,problems,?
often,0.47236984968185425,0.26973026990890503,0.13780732452869415,0.1383177489042282,0.30419299006462097,0.2710466682910919,0.2222680300474167,0.3157464265823364,0.23748154938220978
having,0.4296937882900238,0.3157401978969574,0.05840342491865158,0.27930349111557007,0.34516337513923645,0.28352102637290955,0.2259797602891922,0.3877001106739044,0.22418256103992462
an,0.33026179671287537,0.22598257660865784,0.18374474346637726,0.16182841360569,0.24025635421276093,0.17310436069965363,0.17585104703903198,0.1804785281419754,0.19793890416622162
elementary,0.22792711853981018,0.11199638992547989,0.18500904738903046,0.17730872333049774,0.16632720828056335,0.20262011885643005,0.2799305021762848,0.09546609967947006,0.14365358650684357
formulation,0.28286516666412354,0.18380407989025116,0.10958350449800491,0.34272146224975586,0.21631582081317902,0.10679657012224197,0.4718949794769287,0.40178754925727844,0.22288775444030762
",",0.36674630641937256,0.3015086054801941,0.305072546005249,0.25586456060409546,0.3378419280052185,0.31238991022109985,0.21659868955612183,0.2596952021121979,0.31091248989105225
many,0.36563900113105774,0.375588983297348,0.13679592311382294,0.16580161452293396,0.3188176155090332,0.4139232039451599,0.21963806450366974,0.33828115463256836,0.2124512493610382
of,0.3757161796092987,0.2513895630836487,0.18080627918243408,0.2539187967777252,0.38364991545677185,0.36293646693229675,0.22273749113082886,0.2450421154499054,0.1826142966747284
these,0.3811454772949219,0.38755595684051514,0.10071789473295212,0.2951856851577759,0.2947653532028198,0.4093616008758545,0.25417810678482056,0.3757026791572571,0.2571668326854706
conjectures,0.1716577559709549,0.15956610441207886,0.20952773094177246,0.37018057703971863,0.16244781017303467,0.21545454859733582,0.7741614580154419,0.3546673059463501,0.2072860598564148
have,0.40555819869041443,0.3783526122570038,0.05004610866308212,0.3824501037597656,0.25689181685447693,0.3544043302536011,0.2601552903652191,0.35452309250831604,0.32991164922714233
withstood,0.33020058274269104,0.33067741990089417,0.12895655632019043,0.2444031983613968,0.2695028483867645,0.2522021234035492,0.20016421377658844,0.2182537168264389,0.19405639171600342
a,0.44397395849227905,0.2552328109741211,0.21858340501785278,0.2968803346157074,0.3497250974178314,0.28236961364746094,0.2620795965194702,0.21523453295230865,0.23916715383529663
proof,0.17669464647769928,0.278887003660202,0.1895809769630432,0.2912614643573761,0.2133682370185852,0.18075229227542877,0.4493766725063324,0.23419654369354248,0.27836254239082336
for,0.43402108550071716,0.318512886762619,0.17922398447990417,0.2834506332874298,0.39312878251075745,0.27783235907554626,0.23300066590309143,0.27039530873298645,0.264628142118454
decades,0.23122262954711914,0.2064380794763565,0.14996136724948883,0.16092437505722046,0.2798064053058624,0.2737198770046234,0.2436516135931015,0.2676564157009125,0.06808225065469742
:,-0.04432349652051926,-0.05305134505033493,0.06009477749466896,-0.09408623725175858,-0.010826457291841507,0.12239893525838852,-0.030406620353460312,-0.07631013542413712,-0.07156077772378922
all,0.35107192397117615,0.33943864703178406,0.11965405941009521,0.27604180574417114,0.30359330773353577,0.4096302092075348,0.20105382800102234,0.27523931860923767,0.29575422406196594
four,0.2677527964115143,0.20222175121307373,0.18065105378627777,0.1540849208831787,0.29882514476776123,1.0,0.24233195185661316,0.1955377459526062,0.14532537758350372
of,0.3757161796092987,0.2513895630836487,0.18080627918243408,0.2539187967777252,0.38364991545677185,0.36293646693229675,0.22273749113082886,0.2450421154499054,0.1826142966747284
landau,0.1335008591413498,0.13037563860416412,1.0,0.06039626896381378,0.2654480040073395,0.18065105378627777,0.24374417960643768,0.07909531146287918,0.13331766426563263
's,-0.03368149697780609,0.05069678649306297,0.03408334031701088,0.04386978596448898,0.047556519508361816,0.030550921335816383,-0.0766652449965477,-0.0541396401822567,-0.023395681753754616
problems,0.35367631912231445,0.2553269863128662,0.07909531146287918,0.33397525548934937,0.26380395889282227,0.1955377459526062,0.3422011435031891,1.0,0.2638136148452759
from,0.405669629573822,0.20248863101005554,0.10756704956293106,0.2384932041168213,0.3195365369319916,0.25403454899787903,0.07792924344539642,0.21618343889713287,0.19969791173934937
1912,0.23111216723918915,0.14104996621608734,0.4269448518753052,0.11023379862308502,0.25413551926612854,0.18819774687290192,0.09611916542053223,0.07571539282798767,0.13778282701969147
are,0.29873907566070557,0.2159031480550766,0.060362789779901505,0.2175574153661728,0.1785505712032318,0.3568944036960602,0.23783771693706512,0.2565869987010956,0.24591213464736938
still,0.4688006639480591,0.38309040665626526,0.12242934107780457,0.2484835833311081,0.316427618265152,0.21924446523189545,0.21007497608661652,0.33017298579216003,0.3039587736129761
unsolved,0.2461034208536148,0.20902219414710999,0.18538761138916016,0.19113442301750183,0.20084956288337708,0.23597091436386108,0.46378132700920105,0.4579021632671356,0.19177721440792084
.,0.475719153881073,0.35288307070732117,0.23425598442554474,0.2183939814567566,0.3119256794452667,0.3278861939907074,0.20151998102664948,0.2602308988571167,0.4130953550338745
