,when,did,tamara,marry,a,lawyer,?
she,0.37498781085014343,0.2624691426753998,0.3262293338775635,0.45692285895347595,0.3591071665287018,0.3409435749053955,0.14223381876945496
was,0.37326499819755554,0.41399896144866943,0.1936424821615219,0.222385436296463,0.4508470594882965,0.2828832268714905,0.18412111699581146
born,0.1850178986787796,0.15831230580806732,0.24974341690540314,0.3130994737148285,0.22920024394989014,0.4260026216506958,0.19166848063468933
maria,0.15139523148536682,0.18632648885250092,0.30567800998687744,0.3682422637939453,0.13210056722164154,0.25190824270248413,0.16458186507225037
górska,0.1670972853899002,0.19260351359844208,0.37933120131492615,0.15756343305110931,0.25686827301979065,0.21389804780483246,0.20616592466831207
in,0.4431333839893341,0.2593238651752472,0.12098001688718796,0.17190752923488617,0.539380669593811,0.2124365270137787,0.20430970191955566
warsaw,0.1615014374256134,0.1939365565776825,0.23147524893283844,0.12865689396858215,0.19591784477233887,0.15592995285987854,0.09769917279481888
to,0.5423505902290344,0.4452643394470215,0.2005263864994049,0.3244785964488983,0.45503583550453186,0.2520906627178192,0.29463258385658264
wealthy,0.22147567570209503,0.24587464332580566,0.16477306187152863,0.3885083794593811,0.22086164355278015,0.335691899061203,0.07667969912290573
parents,0.3047467768192291,0.23131553828716278,0.20310461521148682,0.43663880228996277,0.1443362832069397,0.27578115463256836,0.17306075990200043
and,0.4716290831565857,0.34479495882987976,0.16536900401115417,0.252701997756958,0.3739250600337982,0.19757121801376343,0.20544172823429108
in,0.4431333839893341,0.2593238651752472,0.12098001688718796,0.17190752923488617,0.539380669593811,0.2124365270137787,0.20430970191955566
1916,0.20962496101856232,0.15444712340831757,0.0894571915268898,0.10522174090147018,0.17215487360954285,0.12528498470783234,0.04379114508628845
married,0.1918937712907791,0.199991375207901,0.29250040650367737,0.6243249773979187,0.14421910047531128,0.36775752902030945,0.18062160909175873
a,0.44397395849227905,0.2552328109741211,0.20892705023288727,0.1693778932094574,1.0,0.29755905270576477,0.23916715383529663
polish,0.12293745577335358,0.20273157954216003,0.18792550265789032,0.14894045889377594,0.20954546332359314,0.21017661690711975,0.14012759923934937
lawyer,0.1925000548362732,0.20493638515472412,0.2115926593542099,0.3360613286495209,0.29755905270576477,1.0,0.23041324317455292
tadeusz,0.1539832353591919,0.16615381836891174,0.3202233910560608,0.17739397287368774,0.1964872032403946,0.25386300683021545,0.17743302881717682
łempicki,0.17982237040996552,0.22973063588142395,0.2703005075454712,0.19249911606311798,0.23160704970359802,0.21610207855701447,0.2171548753976822
.,0.475719153881073,0.35288307070732117,0.22532427310943604,0.19600537419319153,0.50484299659729,0.23699504137039185,0.4130953550338745
