,what,was,shrewsbury,'s,conclusion,?
the,0.42745697498321533,0.48711544275283813,0.24896416068077087,-0.01540423184633255,0.25632116198539734,0.22068053483963013
plague,0.22263506054878235,0.24312011897563934,0.32531851530075073,-0.0006555641302838922,0.24259135127067566,0.11872942000627518
theory,0.297923743724823,0.18278326094150543,0.07419513911008835,-0.0025054612196981907,0.3881482183933258,0.1387292891740799
was,0.22111038863658905,1.0000001192092896,0.2594601511955261,0.008974763564765453,0.19978472590446472,0.18412111699581146
first,0.28086137771606445,0.5022147297859192,0.19509448111057281,-0.014458609744906425,0.23515355587005615,0.18701928853988647
significantly,0.2746123671531677,0.22230319678783417,0.1858394742012024,-0.00217988109216094,0.26442623138427734,0.1823679804801941
challenged,0.2690076231956482,0.28419938683509827,0.09526321291923523,-0.11165317893028259,0.3673177659511566,0.224136084318161
by,0.2455483376979828,0.4752357602119446,0.1678825467824936,-0.010884488001465797,0.1845903843641281,0.17966607213020325
the,0.42745697498321533,0.48711544275283813,0.24896416068077087,-0.01540423184633255,0.25632116198539734,0.22068053483963013
work,0.3762225806713104,0.24745555222034454,0.1424664407968521,-0.03332063928246498,0.20146876573562622,0.2621155381202698
of,0.33290785551071167,0.4069072902202606,0.26009905338287354,-0.03817026689648628,0.21260499954223633,0.1826142966747284
british,0.19255435466766357,0.31934812664985657,0.3286076486110687,0.06352180242538452,0.09339060634374619,0.09711728990077972
bacteriologist,0.16587725281715393,0.26421600580215454,0.21393758058547974,-0.03716438636183739,0.17383348941802979,0.15713158249855042
j.,-0.06363846361637115,0.07399903982877731,-0.03135378286242485,-0.054576631635427475,0.05422202870249748,0.004272869788110256
f.,0.18076683580875397,0.17113131284713745,0.07099758088588715,0.07090789824724197,0.10271739214658737,0.11007396876811981
d.,0.05416262149810791,0.0687001422047615,-0.060611698776483536,0.1534915566444397,0.10406515002250671,-0.049560099840164185
shrewsbury,0.1240868791937828,0.2594601511955261,0.9999998807907104,0.024056842550635338,0.11825443804264069,0.1287088543176651
in,0.30808621644973755,0.45514053106307983,0.21931351721286774,-0.037580832839012146,0.2106221318244934,0.20430970191955566
1970,-0.04533620923757553,0.08790356665849686,0.06891002506017685,-0.05503448471426964,0.042256832122802734,-0.007446378003805876
",",0.3087472915649414,0.45456063747406006,0.2918202579021454,-0.0016132977325469255,0.2135465145111084,0.31091248989105225
who,0.40942975878715515,0.3318818509578705,0.17659971117973328,0.05599616840481758,0.2317943274974823,0.26220351457595825
noted,0.16981294751167297,0.3068269193172455,0.1535923331975937,-0.024553362280130386,0.31668800115585327,0.13014346361160278
that,0.6297725439071655,0.33670201897621155,0.13222114741802216,0.04397977516055107,0.4214214086532593,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,0.24896416068077087,-0.01540423184633255,0.25632116198539734,0.22068053483963013
reported,0.16211873292922974,0.2993243634700775,0.22463032603263855,-0.04995298013091087,0.26077184081077576,0.16150116920471191
rates,0.2148645967245102,0.15695412456989288,0.21497933566570282,0.1351877599954605,0.17523914575576782,0.13808594644069672
of,0.33290785551071167,0.4069072902202606,0.26009905338287354,-0.03817026689648628,0.21260499954223633,0.1826142966747284
