,what,does,ozone,'s,characteristic,to,cause,damage,effect,?
trioxygen,0.22967909276485443,0.28871288895606995,0.5370907187461853,-0.0158261526376009,0.32705289125442505,0.2920008599758148,0.3336566984653473,0.29188963770866394,0.21640481054782867,0.22053253650665283
(,0.2411840260028839,0.2728188931941986,0.22719724476337433,0.0012731997994706035,0.15405966341495514,0.30882009863853455,0.20661279559135437,0.21535637974739075,0.14807337522506714,0.40561532974243164
o,0.1489914506673813,0.1532406359910965,0.19024091958999634,0.10208595544099808,0.07855506986379623,0.1644444614648819,0.09615258127450943,0.0878986045718193,0.06897078454494476,0.23868927359580994
3,0.04473085701465607,0.09254035353660583,0.09555689245462418,-0.06116730347275734,0.13598895072937012,0.09797177463769913,0.17270900309085846,0.12072064727544785,0.12919533252716064,0.005975271109491587
),0.26259949803352356,0.2575884759426117,0.20087186992168427,0.021107977256178856,0.14360031485557556,0.31236231327056885,0.19041776657104492,0.21017350256443024,0.1535777598619461,0.42300865054130554
is,0.28837618231773376,0.4403602182865143,0.21112559735774994,0.02396530658006668,0.2790224850177765,0.42745086550712585,0.218277707695961,0.18895713984966278,0.17614969611167908,0.22961433231830597
usually,0.32521089911460876,0.3977598547935486,0.1744820922613144,0.08620650321245193,0.34645387530326843,0.3824864327907562,0.2930954098701477,0.197352334856987,0.24646466970443726,0.19435347616672516
known,0.20381177961826324,0.24860821664333344,0.1608014553785324,0.008368984796106815,0.24279485642910004,0.14337651431560516,0.17415671050548553,0.11814406514167786,0.2114962786436081,0.18314571678638458
as,0.31749409437179565,0.31202155351638794,0.18256303668022156,-0.05775856226682663,0.30598020553588867,0.42092081904411316,0.22159208357334137,0.18210068345069885,0.23823627829551697,0.27043893933296204
ozone,0.17115569114685059,0.18875880539417267,1.0,-0.013956716284155846,0.20329701900482178,0.22140559554100037,0.328559547662735,0.323359876871109,0.2879578769207001,0.159791961312294
and,0.31309178471565247,0.3461615741252899,0.20956946909427643,0.06895173341035843,0.3171210289001465,0.48971283435821533,0.2858448028564453,0.272375226020813,0.23508284986019135,0.20544172823429108
is,0.28837618231773376,0.4403602182865143,0.21112559735774994,0.02396530658006668,0.2790224850177765,0.42745086550712585,0.218277707695961,0.18895713984966278,0.17614969611167908,0.22961433231830597
a,0.3320399522781372,0.38201746344566345,0.14839500188827515,0.04866964742541313,0.34996849298477173,0.45503583550453186,0.2715701162815094,0.22061721980571747,0.24771364033222198,0.23916715383529663
very,0.37053924798965454,0.3347555100917816,0.16313162446022034,0.024833835661411285,0.3459593653678894,0.3902553617954254,0.34155935049057007,0.24494296312332153,0.2794574499130249,0.20864155888557434
reactive,0.26621317863464355,0.26000598073005676,0.4491610825061798,-0.05195213481783867,0.30378422141075134,0.23919129371643066,0.2703559100627899,0.23549841344356537,0.28304383158683777,0.20790518820285797
allotrope,0.15761715173721313,0.29528507590293884,0.4511291980743408,-0.047304071485996246,0.45922309160232544,0.24178825318813324,0.24983952939510345,0.1645292192697525,0.28403225541114807,0.22829397022724152
of,0.33290785551071167,0.3119818866252899,0.22780866920948029,-0.03817026689648628,0.2943860590457916,0.41548454761505127,0.25979894399642944,0.23761005699634552,0.24129827320575714,0.1826142966747284
oxygen,0.16781960427761078,0.2380215972661972,0.5093002915382385,-0.011648092418909073,0.2778324782848358,0.24193501472473145,0.27950558066368103,0.2673439383506775,0.18079808354377747,0.16786395013332367
that,0.6297725439071655,0.4764937460422516,0.20993545651435852,0.04397977516055107,0.3676197826862335,0.5436353087425232,0.40003344416618347,0.27735164761543274,0.3663281202316284,0.32716336846351624
is,0.28837618231773376,0.4403602182865143,0.21112559735774994,0.02396530658006668,0.2790224850177765,0.42745086550712585,0.218277707695961,0.18895713984966278,0.17614969611167908,0.22961433231830597
damaging,0.28500422835350037,0.3125969469547272,0.25061196088790894,-0.06250187754631042,0.22836293280124664,0.25295278429985046,0.47115203738212585,0.7226002216339111,0.25605735182762146,0.17482057213783264
to,0.455847829580307,0.4391997456550598,0.22140559554100037,0.03782717138528824,0.26635119318962097,1.0,0.3172815442085266,0.23714354634284973,0.2521958649158478,0.29463258385658264
lung,0.1267283409833908,0.12464435398578644,0.22799858450889587,-0.02870197407901287,0.12467510998249054,0.16230259835720062,0.32710880041122437,0.24016346037387848,0.18962959945201874,0.13700449466705322
tissue,0.21392318606376648,0.24209968745708466,0.38910025358200073,-0.11441709101200104,0.36007529497146606,0.23238611221313477,0.3313339352607727,0.3474785387516022,0.23386268317699432,0.17040768265724182
.,0.3567904531955719,0.3022993505001068,0.2529839873313904,-0.003708066651597619,0.2017466127872467,0.4645031690597534,0.267557293176651,0.2985546886920929,0.2277858853340149,0.4130953550338745
