,where,was,the,funeral,held,?
on,0.37630224227905273,0.3909217119216919,0.5107308030128479,0.23788054287433624,0.2410694807767868,0.2714994251728058
12,0.20627546310424805,0.13560841977596283,0.28907760977745056,0.10849486291408539,0.06285067647695541,0.10021790862083435
january,0.1682938039302826,0.3933098316192627,0.2467057853937149,0.2205803096294403,0.20133104920387268,0.28608936071395874
",",0.3149496018886566,0.45456063747406006,0.4933079481124878,0.26193949580192566,0.2880980372428894,0.31091248989105225
two,0.32765963673591614,0.27166637778282166,0.43858039379119873,0.15627384185791016,0.27556031942367554,0.19645625352859497
thousand,0.18952330946922302,0.16078540682792664,0.25864744186401367,0.17231528460979462,0.14918667078018188,0.15439848601818085
people,0.3212973177433014,0.2518421411514282,0.36838498711586,0.2202594131231308,0.23957963287830353,0.23739641904830933
attended,0.2664928734302521,0.3633120656013489,0.2369099110364914,0.3333749771118164,0.3917076587677002,0.08268529176712036
a,0.40997210144996643,0.4508470594882965,0.5829201340675354,0.2279004156589508,0.22326228022575378,0.23916715383529663
state,0.2583591639995575,0.22072885930538177,0.3097178041934967,0.25768813490867615,0.2515416145324707,0.1160883978009224
funeral,0.19502747058868408,0.2682800590991974,0.20578792691230774,0.9999999403953552,0.3055821359157562,0.16502951085567474
for,0.38599511981010437,0.3863949179649353,0.4739971458911896,0.2095528542995453,0.2495253086090088,0.264628142118454
tesla,0.12761090695858002,0.16455206274986267,0.1324402391910553,0.11262314021587372,0.1594439595937729,0.10250775516033173
at,0.4402937591075897,0.36707764863967896,0.457212895154953,0.2338956594467163,0.3822793960571289,0.21978627145290375
the,0.5003893971443176,0.48711544275283813,1.0,0.20578792691230774,0.32185450196266174,0.22068053483963013
cathedral,0.20921432971954346,0.21967831254005432,0.23437000811100006,0.33371812105178833,0.2130114883184433,0.1257525086402893
of,0.38066378235816956,0.4069072902202606,0.733189046382904,0.2475227415561676,0.28960686922073364,0.1826142966747284
saint,0.22769564390182495,0.2067660540342331,0.24700650572776794,0.2634645998477936,0.15104170143604279,0.15690264105796814
john,0.12403866648674011,0.2875721752643585,0.2230520099401474,0.1683339625597,0.14682316780090332,0.13162356615066528
the,0.5003893971443176,0.48711544275283813,1.0,0.20578792691230774,0.32185450196266174,0.22068053483963013
divine,0.2531803250312805,0.22035343945026398,0.24795062839984894,0.20699220895767212,0.21031054854393005,0.17546041309833527
.,0.41390106081962585,0.40146201848983765,0.5934505462646484,0.2139163613319397,0.2628571093082428,0.4130953550338745
