,in,which,year,did,genghis,khan,'s,grandson,invade,kievan,rus,',?
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.224680557847023,0.1527150720357895,-0.037580832839012146,0.19839026033878326,0.279552161693573,0.17612865567207336,0.1560211032629013,0.4158826768398285,0.20430970191955566
1237,0.03907972201704979,0.09202607721090317,-0.06471143662929535,-0.013141016475856304,-0.06593656539916992,-0.07107022404670715,0.06755063682794571,-0.21424952149391174,0.015717891976237297,0.06669144332408905,-0.006953876465559006,-0.09833476692438126,-0.07788846641778946
batu,0.17715206742286682,0.216778963804245,0.07147309184074402,0.10591063648462296,0.43914318084716797,0.3925814926624298,0.058561358600854874,0.2776530086994171,0.2536124289035797,0.37794163823127747,0.23246555030345917,0.24435165524482727,0.08778967708349228
khan,0.1527150720357895,0.19211235642433167,0.15626633167266846,0.155345618724823,0.5896923542022705,1.0,0.05307086929678917,0.33875492215156555,0.13433274626731873,0.3804123103618622,0.252724826335907,0.17487680912017822,0.12862591445446014
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.23889081180095673,0.2533637285232544,0.20198769867420197,0.2609914243221283,0.5178600549697876,0.31091248989105225
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.194350928068161,0.1743650734424591,0.04866964742541313,0.1887570172548294,0.13509215414524078,0.18177664279937744,0.19218745827674866,0.48837921023368835,0.23916715383529663
grandson,0.19839026033878326,0.14502906799316406,0.16464745998382568,0.23734170198440552,0.46543535590171814,0.33875492215156555,-0.03196776658296585,1.0,0.30447542667388916,0.1941758096218109,0.14725682139396667,0.2991865277290344,0.14955078065395355
of,0.5696388483047485,0.5011631846427917,0.2578314542770386,0.2513895630836487,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.2974647879600525,0.26843005418777466,0.2668492794036865,0.21578308939933777,0.39136970043182373,0.1826142966747284
genghis,0.224680557847023,0.26472097635269165,0.1635892540216446,0.18339850008487701,1.0,0.5896923542022705,0.031423866748809814,0.46543535590171814,0.30904126167297363,0.4848925769329071,0.4139024019241333,0.24026870727539062,0.18813461065292358
khan,0.1527150720357895,0.19211235642433167,0.15626633167266846,0.155345618724823,0.5896923542022705,1.0,0.05307086929678917,0.33875492215156555,0.13433274626731873,0.3804123103618622,0.252724826335907,0.17487680912017822,0.12862591445446014
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.23889081180095673,0.2533637285232544,0.20198769867420197,0.2609914243221283,0.5178600549697876,0.31091248989105225
launched,0.18876992166042328,0.23018783330917358,0.2043205201625824,0.1794346421957016,0.18880784511566162,0.20702576637268066,-0.01740374229848385,0.12283732742071152,0.2517298460006714,0.13498789072036743,0.09897785633802414,0.17231443524360657,0.1803835779428482
an,0.2605783939361572,0.3611921966075897,0.17045794427394867,0.22598257660865784,0.14007556438446045,0.12960869073867798,0.025255560874938965,0.12722639739513397,0.16231748461723328,0.16391849517822266,0.08751065284013748,0.36139753460884094,0.19793890416622162
invasion,0.2543354034423828,0.25346121191978455,0.1896066963672638,0.1800924837589264,0.35532259941101074,0.21716536581516266,-0.029328476637601852,0.31531983613967896,0.7229228615760803,0.2798860967159271,0.2550927698612213,0.2147606462240219,0.18923960626125336
into,0.38021373748779297,0.4405161738395691,0.08657927066087723,0.14888085424900055,0.227550208568573,0.10511033236980438,0.00961404386907816,0.18138590455055237,0.2328578531742096,0.1911810338497162,0.13834841549396515,0.19036275148391724,0.15662476420402527
kievan,0.17612865567207336,0.22606471180915833,0.1924881786108017,0.193529412150383,0.4848925769329071,0.3804123103618622,0.052298955619335175,0.1941758096218109,0.1984802782535553,1.0,0.6210689544677734,0.12705008685588837,0.1342822015285492
rus,0.1560211032629013,0.2172153890132904,0.1687118411064148,0.1833781898021698,0.4139024019241333,0.252724826335907,0.021789325401186943,0.14725682139396667,0.20219677686691284,0.6210689544677734,1.0,0.20741838216781616,0.1432476043701172
',0.4158826768398285,0.32852497696876526,0.23947113752365112,0.25488927960395813,0.24026870727539062,0.17487680912017822,0.07651367038488388,0.2991865277290344,0.1773180216550827,0.12705008685588837,0.20741838216781616,1.0,0.330942302942276
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.195730522274971,0.2768091857433319,0.19784846901893616,0.22884419560432434,0.4806240200996399,0.4130953550338745
