,who,scored,the,first,points,for,denver,?
then,0.29952746629714966,0.21766911447048187,0.4297412931919098,0.38077428936958313,0.2234416902065277,0.3392637073993683,0.16408474743366241,0.2884598970413208
after,0.32549580931663513,0.2401200383901596,0.4565047025680542,0.42302387952804565,0.16026589274406433,0.3650246858596802,0.16213500499725342,0.16608688235282898
an,0.2848317325115204,0.15415377914905548,0.4207492768764496,0.29757723212242126,0.15460045635700226,0.3236706852912903,0.17798778414726257,0.19793890416622162
incompletion,0.14256173372268677,0.2671888768672943,0.30983033776283264,0.27594974637031555,0.3016159236431122,0.3535553216934204,0.14426632225513458,0.17424984276294708
",",0.3365725874900818,0.27357709407806396,0.4933079481124878,0.34503069519996643,0.2862778604030609,0.4464869201183319,0.25173696875572205,0.31091248989105225
thomas,0.26103657484054565,0.15556418895721436,0.23505409061908722,0.2396867871284485,0.08522869646549225,0.19489257037639618,0.21843333542346954,0.16133050620555878
davis,0.2547153830528259,0.18830572068691254,0.25552070140838623,0.26798930764198303,0.12175514549016953,0.20754043757915497,0.2718811631202698,0.17094263434410095
tackled,0.2225686013698578,0.37481385469436646,0.19332660734653473,0.23136617243289948,0.306147962808609,0.28696534037590027,0.3359432816505432,0.20976905524730682
anderson,0.27154824137687683,0.2191399335861206,0.22428388893604279,0.2396898716688156,0.15967760980129242,0.23211809992790222,0.3069041669368744,0.1857001930475235
for,0.37110671401023865,0.2957361936569214,0.4739971458911896,0.3800288736820221,0.22348499298095703,0.9999999403953552,0.22017966210842133,0.264628142118454
a,0.36608949303627014,0.2069414108991623,0.5829201340675354,0.4287874400615692,0.22482505440711975,0.44038116931915283,0.179859921336174,0.23916715383529663
1-yard,0.27700075507164,0.22677351534366608,0.2968893349170685,0.2828100621700287,0.24257421493530273,0.252498596906662,0.23212532699108124,0.1193876713514328
gain,0.250509113073349,0.15011215209960938,0.2682225704193115,0.17162758111953735,0.243068665266037,0.2699543833732605,0.07698112726211548,0.1417919248342514
on,0.2340552806854248,0.23573710024356842,0.5107308030128479,0.3120559751987457,0.1853724867105484,0.36199691891670227,0.1561855524778366,0.2714994251728058
third,0.20739443600177765,0.2678740322589874,0.4229298532009125,0.6071826219558716,0.2226564586162567,0.2187870591878891,0.18712952733039856,0.15394791960716248
down,0.23123176395893097,0.1887919157743454,0.3325848877429962,0.1942211389541626,0.1327929049730301,0.22538931667804718,0.13666987419128418,0.13836295902729034
",",0.3365725874900818,0.27357709407806396,0.4933079481124878,0.34503069519996643,0.2862778604030609,0.4464869201183319,0.25173696875572205,0.31091248989105225
forcing,0.3017413914203644,0.0868515893816948,0.31176233291625977,0.19259007275104523,0.15959270298480988,0.2308533489704132,0.0755109041929245,0.19852621853351593
denver,0.20955970883369446,0.19558008015155792,0.2052404284477234,0.2171352207660675,0.15620379149913788,0.22017966210842133,1.0,0.1520889848470688
to,0.42656609416007996,0.164485901594162,0.535392165184021,0.3792489171028137,0.2551480233669281,0.4451248347759247,0.23706497251987457,0.29463258385658264
settle,0.23353661596775055,0.1212596744298935,0.2943725883960724,0.264683336019516,0.14076566696166992,0.17019139230251312,0.10636330395936966,0.19976577162742615
for,0.37110671401023865,0.2957361936569214,0.4739971458911896,0.3800288736820221,0.22348499298095703,0.9999999403953552,0.22017966210842133,0.264628142118454
a,0.36608949303627014,0.2069414108991623,0.5829201340675354,0.4287874400615692,0.22482505440711975,0.44038116931915283,0.179859921336174,0.23916715383529663
3–0,0.009440748021006584,0.02322246879339218,-0.06119874119758606,0.003667311742901802,-0.012346357107162476,-0.008301247842609882,0.028960395604372025,0.0359797328710556
lead,0.19455209374427795,0.22455742955207825,0.21995973587036133,0.16851212084293365,0.19567251205444336,0.29822173714637756,0.23341892659664154,0.14552436769008636
on,0.2340552806854248,0.23573710024356842,0.5107308030128479,0.3120559751987457,0.1853724867105484,0.36199691891670227,0.1561855524778366,0.2714994251728058
a,0.36608949303627014,0.2069414108991623,0.5829201340675354,0.4287874400615692,0.22482505440711975,0.44038116931915283,0.179859921336174,0.23916715383529663
brandon,0.2876533269882202,0.19843320548534393,0.1588345170021057,0.18101564049720764,0.11407732218503952,0.1954781413078308,0.35859453678131104,0.2774931490421295
mcmanus,0.3399089574813843,0.14816658198833466,0.25801920890808105,0.250209242105484,0.1320064812898636,0.18529914319515228,0.25093990564346313,0.2241760641336441
34-yard,0.27311256527900696,0.2310696691274643,0.30504289269447327,0.2817394733428955,0.2506268322467804,0.24526268243789673,0.22969043254852295,0.11814969778060913
field,0.18098586797714233,0.17839212715625763,0.2105809599161148,0.15457358956336975,0.19660845398902893,0.24342265725135803,0.17716234922409058,0.11279727518558502
goal,0.24070286750793457,0.5356519818305969,0.2443244755268097,0.19681259989738464,0.404293417930603,0.2554558217525482,0.15172222256660461,0.1964566856622696
.,0.3541337847709656,0.24230577051639557,0.5934505462646484,0.4345304071903229,0.19175463914871216,0.4726039469242096,0.2573630213737488,0.4130953550338745
