,who,is,eligible,to,toss,their,name,in,the,hat,to,be,first,minister,?
in,0.2792111933231354,0.5394441485404968,0.21469612419605255,0.45010748505592346,0.19608674943447113,0.34976133704185486,0.2459065467119217,1.0,0.6662389636039734,0.16126209497451782,0.45010748505592346,0.3481820821762085,0.4127444326877594,0.19794908165931702,0.20430970191955566
contrast,0.16949069499969482,0.2659924328327179,0.08805599808692932,0.23685190081596375,0.11284065246582031,0.2704305052757263,0.14227358996868134,0.2357589453458786,0.25799670815467834,0.10203146934509277,0.23685190081596375,0.3013262450695038,0.22740352153778076,0.10664458572864532,0.15469981729984283
to,0.42656609416007996,0.42745086550712585,0.3182983994483948,1.0,0.28491154313087463,0.44619059562683105,0.27806994318962097,0.45010748505592346,0.535392165184021,0.18685032427310944,1.0,0.4972836375236511,0.3792489171028137,0.17637476325035095,0.29463258385658264
many,0.4149286150932312,0.2649032473564148,0.18646275997161865,0.40243685245513916,0.1612791270017624,0.4574248492717743,0.206878662109375,0.41474202275276184,0.4335206151008606,0.13600492477416992,0.40243685245513916,0.3961109519004822,0.2931244373321533,0.11550404876470566,0.2124512493610382
other,0.3612329661846161,0.25895947217941284,0.21226124465465546,0.4193183183670044,0.260757178068161,0.456295371055603,0.20388714969158173,0.39989137649536133,0.44152235984802246,0.18372462689876556,0.4193183183670044,0.4629868268966675,0.23885147273540497,0.1277157962322235,0.24682199954986572
parliamentary,0.20465344190597534,0.1731702983379364,0.21358010172843933,0.18938039243221283,0.21396398544311523,0.20573505759239197,0.1395765244960785,0.2472391128540039,0.2708897888660431,0.1128356009721756,0.18938039243221283,0.16959038376808167,0.20946794748306274,0.46604806184768677,0.1612216979265213
systems,0.11571111530065536,0.23126937448978424,0.12413110584020615,0.2514978349208832,0.08161073178052902,0.27162352204322815,0.09450767934322357,0.21664761006832123,0.28089964389801025,0.13549701869487762,0.2514978349208832,0.2608191668987274,0.18383030593395233,0.04429010674357414,0.1575973927974701
",",0.3365725874900818,0.4691906273365021,0.23303215205669403,0.44245919585227966,0.21528580784797668,0.3045167922973633,0.28145334124565125,0.5201468467712402,0.4933079481124878,0.2518961429595947,0.44245919585227966,0.39254459738731384,0.34503069519996643,0.24737542867660522,0.31091248989105225
parliament,0.237068772315979,0.19676777720451355,0.18977071344852448,0.20290622115135193,0.2349807173013687,0.15391884744167328,0.13489659130573273,0.2323146015405655,0.26521381735801697,0.12710681557655334,0.20290622115135193,0.1534755527973175,0.19317375123500824,0.46939271688461304,0.1586504578590393
elects,0.28590357303619385,0.23961922526359558,0.2888581454753876,0.21650031208992004,0.2814966142177582,0.09837088733911514,0.14623817801475525,0.20662876963615417,0.2653489410877228,0.08929065614938736,0.21650031208992004,0.16518355906009674,0.19489993155002594,0.34097620844841003,0.19486498832702637
