,how,many,offensive,players,from,the,panthers,were,selected,to,play,in,the,pro,bowl,?
the,0.33890387415885925,0.4335206151008606,0.2699996531009674,0.2647981345653534,0.40150508284568787,1.0,0.2602776288986206,0.3906462490558624,0.31003430485725403,0.535392165184021,0.24793598055839539,0.6662389636039734,1.0,0.2149612456560135,0.21576224267482758,0.22068053483963013
panthers,0.1117783859372139,0.14744015038013458,0.28836125135421753,0.31885892152786255,0.2251167893409729,0.2602776288986206,0.9999999403953552,0.18933986127376556,0.29468804597854614,0.2185782641172409,0.2769072651863098,0.2115829735994339,0.2602776288986206,0.20294983685016632,0.34713199734687805,0.16608978807926178
offense,0.18130072951316833,0.12988217175006866,0.7075560092926025,0.22473710775375366,0.13698922097682953,0.25977253913879395,0.1977701336145401,0.2000834196805954,0.13394421339035034,0.28689950704574585,0.2035091370344162,0.17413577437400818,0.25977253913879395,0.27387744188308716,0.24350233376026154,0.28476977348327637
",",0.22659391164779663,0.40610817074775696,0.2524537146091461,0.21334654092788696,0.39760664105415344,0.4933079481124878,0.2494642585515976,0.36755475401878357,0.21025213599205017,0.44245919585227966,0.2231253683567047,0.5201468467712402,0.4933079481124878,0.19061636924743652,0.1810409277677536,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.16861499845981598,0.25268280506134033,0.38755592703819275,0.6521818041801453,0.2003214955329895,0.2807837128639221,0.25711384415626526,0.5345056653022766,0.24836887419223785,0.4840516746044159,0.6521818041801453,0.19924573600292206,0.23468568921089172,0.25814583897590637
led,0.15437260270118713,0.2798413932323456,0.22133669257164001,0.15009894967079163,0.2455430030822754,0.3267505168914795,0.20059871673583984,0.3353847861289978,0.2517024576663971,0.21815308928489685,0.10894020646810532,0.2990247309207916,0.3267505168914795,0.2598087191581726,0.16275393962860107,0.09273858368396759
the,0.33890387415885925,0.4335206151008606,0.2699996531009674,0.2647981345653534,0.40150508284568787,1.0,0.2602776288986206,0.3906462490558624,0.31003430485725403,0.535392165184021,0.24793598055839539,0.6662389636039734,1.0,0.2149612456560135,0.21576224267482758,0.22068053483963013
nfl,0.09207417815923691,0.09887322783470154,0.4299554228782654,0.2740437686443329,0.06200274080038071,0.15305201709270477,0.4153780937194824,0.12345176935195923,0.3013530373573303,0.1526731252670288,0.3012787103652954,0.12599408626556396,0.15305201709270477,0.26757359504699707,0.48354101181030273,0.10610254108905792
in,0.2601168751716614,0.41474202275276184,0.20140975713729858,0.1695755422115326,0.4274188280105591,0.6662389636039734,0.2115829735994339,0.3815755248069763,0.19912077486515045,0.45010748505592346,0.24321173131465912,1.0,0.6662389636039734,0.152218297123909,0.17236235737800598,0.20430970191955566
scoring,0.18229861557483673,0.1311546415090561,0.3414282202720642,0.3181516230106354,0.20074613392353058,0.2582377791404724,0.3409317433834076,0.1850883662700653,0.21588531136512756,0.2221129685640335,0.3128039240837097,0.19487565755844116,0.2582377791404724,0.13823555409908295,0.2707948684692383,0.0971682071685791
