,how,many,tons,of,living,plants,are,in,the,rainforest,?
a,0.29312583804130554,0.2872205972671509,0.16760815680027008,0.5052502155303955,0.21367067098617554,0.21329157054424286,0.265255331993103,0.539380669593811,0.5829201340675354,0.2497720569372177,0.23916715383529663
study,0.2640102803707123,0.30255988240242004,0.08310696482658386,0.29377859830856323,0.26482152938842773,0.2552105784416199,0.22810009121894836,0.2875489294528961,0.2533665597438812,0.21322646737098694,0.15902167558670044
in,0.2601168751716614,0.41474202275276184,0.19120186567306519,0.5696388483047485,0.3253810405731201,0.2697395086288452,0.3841303884983063,1.0,0.6662389636039734,0.2207682877779007,0.20430970191955566
1999,0.016421351581811905,-0.0931033119559288,0.006189238745719194,0.06211002916097641,-0.0934196263551712,-0.21692579984664917,-0.1512039303779602,-0.0026030326262116432,0.06755080074071884,-0.11496643722057343,0.05416720360517502
found,0.12975606322288513,0.27700337767601013,0.214158296585083,0.2982911467552185,0.2608191668987274,0.2663109004497528,0.2740558087825775,0.39141854643821716,0.3452354073524475,0.28745049238204956,0.16790300607681274
one,0.3213292360305786,0.4223630726337433,0.21394461393356323,0.4999135136604309,0.24753230810165405,0.19641777873039246,0.42537835240364075,0.4129433035850525,0.5514441132545471,0.2546979784965515,0.2673267424106598
square,0.0836852416396141,0.2124457061290741,0.1593707799911499,0.2585134208202362,0.21918942034244537,0.18403023481369019,0.18786215782165527,0.2193731665611267,0.2809545397758484,0.23421312868595123,0.1201515942811966
kilometer,0.1711934208869934,0.1642163097858429,0.2651682496070862,0.24783381819725037,0.15848347544670105,0.1284957081079483,0.1662997156381607,0.26756522059440613,0.30453208088874817,0.2783083915710449,0.10425377637147903
(,0.1676948219537735,0.1455259770154953,0.19276125729084015,0.35032153129577637,0.17554375529289246,0.18415141105651855,0.23263892531394958,0.3087427020072937,0.33289089798927307,0.16459959745407104,0.40561532974243164
247,-0.10723680257797241,0.07810721546411514,0.1009310930967331,0.11850737035274506,0.12098763883113861,0.12949804961681366,0.08717064559459686,0.2413628101348877,0.15139946341514587,0.22055025398731232,-0.027635393664240837
acres,0.1119794100522995,0.20931728184223175,0.3292246460914612,0.17438827455043793,0.2455732822418213,0.3059922158718109,0.1637936383485794,0.1980547159910202,0.1636062115430832,0.3613474369049072,0.15370787680149078
),0.17939934134483337,0.16602720320224762,0.18811027705669403,0.3680361211299896,0.19151180982589722,0.17061775922775269,0.2373749315738678,0.3326910734176636,0.3456730246543884,0.16588199138641357,0.42300865054130554
of,0.2480744868516922,0.37253960967063904,0.19702266156673431,1.0,0.3499443829059601,0.29386165738105774,0.39081433415412903,0.5696388483047485,0.733189046382904,0.22522282600402832,0.1826142966747284
amazon,0.16216763854026794,0.22591036558151245,0.19077828526496887,0.20143137872219086,0.1754138022661209,0.27369287610054016,0.15230076014995575,0.12227833271026611,0.260541707277298,0.48046615719795227,0.18144656717777252
rainforest,0.15943723917007446,0.30444011092185974,0.18732109665870667,0.22522282600402832,0.2981078326702118,0.433334618806839,0.2730858027935028,0.2207682877779007,0.2571161389350891,1.0,0.1917492002248764
can,0.49246567487716675,0.4275496006011963,0.23945315182209015,0.2603091299533844,0.1219123899936676,0.2870660424232483,0.5408529043197632,0.26527702808380127,0.312528520822525,0.2311638742685318,0.3226337134838104
contain,0.2636528015136719,0.35166433453559875,0.32574567198753357,0.30574339628219604,0.14777077734470367,0.3543321490287781,0.5326977372169495,0.23975171148777008,0.26383090019226074,0.21071332693099976,0.18853069841861725
about,0.44264400005340576,0.3800397515296936,0.30342283844947815,0.40939709544181824,0.3724324107170105,0.24194830656051636,0.36165615916252136,0.39797019958496094,0.37995871901512146,0.30380958318710327,0.302409827709198
"90,790",-0.07016457617282867,-0.10485893487930298,-0.08336720615625381,0.005144704598933458,0.05149596557021141,-0.10896005481481552,-0.09405290335416794,0.062095146626234055,-0.011889870278537273,-0.04423822835087776,0.0006351384799927473
tonnes,0.21806004643440247,0.24116253852844238,0.7033534049987793,0.20021985471248627,0.1916288435459137,0.29634496569633484,0.2538464665412903,0.16524656116962433,0.22186078131198883,0.26668137311935425,0.17092333734035492
of,0.2480744868516922,0.37253960967063904,0.19702266156673431,1.0,0.3499443829059601,0.29386165738105774,0.39081433415412903,0.5696388483047485,0.733189046382904,0.22522282600402832,0.1826142966747284
living,0.16140781342983246,0.3044293522834778,0.09749525040388107,0.3499443829059601,1.0000001192092896,0.28706395626068115,0.2966900169849396,0.3253810405731201,0.3127744197845459,0.2981078326702118,0.18362653255462646
plants,0.2699413597583771,0.3341540992259979,0.24491183459758759,0.29386165738105774,0.28706395626068115,1.0,0.35990846157073975,0.2697395086288452,0.29499560594558716,0.433334618806839,0.1473488062620163
.,0.3287222981452942,0.3974229395389557,0.2302369326353073,0.5352458953857422,0.27785244584083557,0.2542511522769928,0.3452940285205841,0.5591574311256409,0.5934505462646484,0.25713270902633667,0.4130953550338745
