,why,did,he,fire,the,secretary,?
tesla,0.1375875622034073,0.09757418930530548,0.12373391538858414,0.12768769264221191,0.1324402391910553,0.09461670368909836,0.10250775516033173
could,0.446071982383728,0.6308382749557495,0.2828438878059387,0.22582493722438812,0.35393214225769043,0.12190831452608109,0.3411986827850342
be,0.4042811989784241,0.22657383978366852,0.3325980603694916,0.17843341827392578,0.4248143136501312,0.11574884504079819,0.3324260413646698
harsh,0.30464228987693787,0.25000086426734924,0.23984287679195404,0.1397603452205658,0.16190271079540253,0.09343534708023071,0.1875905692577362
at,0.23853865265846252,0.28390252590179443,0.3280475437641144,0.18688800930976868,0.457212895154953,0.1553153097629547,0.21978627145290375
times,0.21185258030891418,0.23068773746490479,0.307947039604187,0.14273834228515625,0.29093852639198303,0.13340727984905243,0.18880689144134521
and,0.27806392312049866,0.34479495882987976,0.45427167415618896,0.2478165328502655,0.5171257257461548,0.2080061286687851,0.20544172823429108
openly,0.23963163793087006,0.20042093098163605,0.3878971338272095,0.10660742223262787,0.19510823488235474,0.1898707151412964,0.16308623552322388
expressed,0.20407649874687195,0.17606444656848907,0.1852729320526123,0.06721101701259613,0.25207287073135376,0.1943233460187912,0.17175263166427612
disgust,0.2861562669277191,0.2805315852165222,0.15522681176662445,0.16284245252609253,0.17403246462345123,0.18933966755867004,0.26008477807044983
for,0.3869043290615082,0.318512886762619,0.4540175199508667,0.17143790423870087,0.4739971458911896,0.20553922653198242,0.264628142118454
overweight,0.2158360332250595,0.19657889008522034,0.1872999668121338,0.08482660353183746,0.15975038707256317,0.13569605350494385,0.22407682240009308
people,0.2737221121788025,0.26765021681785583,0.324719101190567,0.17089955508708954,0.36838498711586,0.14611858129501343,0.23739641904830933
",",0.2827242314815521,0.3015086054801941,0.40251094102859497,0.24915234744548798,0.4933079481124878,0.24522995948791504,0.31091248989105225
such,0.2994317412376404,0.24497397243976593,0.1682141274213791,0.1676037311553955,0.3575236201286316,0.17453667521476746,0.17851735651493073
as,0.3103298544883728,0.3596470057964325,0.33787044882774353,0.15623275935649872,0.48381632566452026,0.26450538635253906,0.27043893933296204
when,0.46319615840911865,0.3228907287120819,0.39115971326828003,0.24638736248016357,0.5091903209686279,0.21021723747253418,0.22841128706932068
he,0.26086166501045227,0.3292143940925598,1.0000001192092896,0.22742323577404022,0.4571082592010498,0.26844891905784607,0.2089974731206894
fired,0.1931905448436737,0.31079331040382385,0.27042481303215027,0.5032128691673279,0.2365681380033493,0.20544849336147308,0.17595404386520386
a,0.2667238116264343,0.2552328109741211,0.4393508732318878,0.2617572844028473,0.5829201340675354,0.16043666005134583,0.23916715383529663
secretary,0.1282554566860199,0.18588460981845856,0.26844891905784607,0.18883894383907318,0.23160062730312347,0.9999999403953552,0.10113837569952011
because,0.5926418900489807,0.45674043893814087,0.3656739592552185,0.18150149285793304,0.44596394896507263,0.1639140546321869,0.2528740465641022
of,0.28464117646217346,0.2513895630836487,0.38706058263778687,0.20259131491184235,0.733189046382904,0.21537087857723236,0.1826142966747284
her,0.2180226892232895,0.3056010603904724,0.5474342107772827,0.1438121199607849,0.354963481426239,0.2207130640745163,0.20310723781585693
weight,0.18992775678634644,0.15234823524951935,0.09508898854255676,0.10791803896427155,0.19469641149044037,0.10115710645914078,0.18111222982406616
.,0.32909876108169556,0.35288307070732117,0.38061028718948364,0.2511917054653168,0.5934505462646484,0.2235480397939682,0.4130953550338745
