,what,is,the,oldest,known,rock,in,the,world,?
even,0.40872135758399963,0.28202980756759644,0.37996912002563477,0.15903452038764954,0.21494261920452118,0.23053066432476044,0.29146435856819153,0.37996912002563477,0.23614075779914856,0.30082517862319946
older,0.19250206649303436,0.19513072073459625,0.21663418412208557,0.4274810552597046,0.22647547721862793,0.21089515089988708,0.21181264519691467,0.21663418412208557,0.13814285397529602,0.1524270623922348
rocks,0.24802041053771973,0.23288390040397644,0.24413059651851654,0.2088029384613037,0.22049996256828308,0.5946089029312134,0.23642492294311523,0.24413059651851654,0.1585860699415207,0.17394492030143738
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.23638197779655457,0.3604377806186676,0.2775712311267853,0.5201468467712402,0.4933079481124878,0.26091980934143066,0.31091248989105225
such,0.23989605903625488,0.23545363545417786,0.3575236201286316,0.16482087969779968,0.30818676948547363,0.21215572953224182,0.2704046070575714,0.3575236201286316,0.21748292446136475,0.17851735651493073
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22728434205055237,0.4815765619277954,0.18617595732212067,0.3887844979763031,0.48381632566452026,0.22848254442214966,0.27043893933296204
the,0.42745697498321533,0.5823672413825989,1.0,0.30836519598960876,0.3624623417854309,0.23786304891109467,0.6662389636039734,1.0,0.33604270219802856,0.22068053483963013
acasta,0.18816232681274414,0.19043947756290436,0.247638538479805,0.17553025484085083,0.16408079862594604,0.2443871647119522,0.20246906578540802,0.247638538479805,0.13737082481384277,0.16932030022144318
gneiss,0.2326134592294693,0.2665092647075653,0.28753215074539185,0.25344279408454895,0.18976670503616333,0.4686717391014099,0.27379006147384644,0.28753215074539185,0.18276941776275635,0.17557692527770996
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.33351290225982666,0.35814476013183594,0.2653365731239319,0.5696388483047485,0.733189046382904,0.2828933000564575,0.1826142966747284
