,what,was,the,first,spacecraft,to,orbit,another,celestial,body,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.3491429388523102,0.24129226803779602,0.513711154460907,0.24888725578784943,0.42453905940055847,0.21320787072181702,0.281975656747818,0.25732165575027466
stands,0.16123995184898376,0.2862815856933594,0.31032469868659973,0.2073240727186203,0.09961012005805969,0.21018967032432556,0.12513647973537445,0.28510159254074097,0.18981139361858368,0.23131144046783447,0.10421594232320786
alone,0.3431425094604492,0.17050841450691223,0.2769272029399872,0.19622594118118286,0.13892234861850739,0.33432039618492126,0.14185912907123566,0.3531084358692169,0.13361011445522308,0.11975111812353134,0.25589054822921753
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.4127444326877594,0.19417698681354523,0.45010748505592346,0.13808301091194153,0.3397690951824188,0.2276507169008255,0.2549867033958435,0.20430970191955566
sending,0.3269664943218231,0.19256187975406647,0.3486887514591217,0.25913095474243164,0.3535580039024353,0.36574411392211914,0.2525864541530609,0.37452465295791626,0.2619263827800751,0.18456251919269562,0.12831254303455353
manned,0.16094419360160828,0.24339483678340912,0.2392944097518921,0.3325497806072235,0.5999459028244019,0.21649380028247833,0.4742804169654846,0.2188718616962433,0.25099679827690125,0.15926706790924072,0.17514055967330933
missions,0.21898438036441803,0.1960911750793457,0.26288601756095886,0.25483304262161255,0.5078035593032837,0.29123765230178833,0.34307122230529785,0.20733241736888885,0.2686857581138611,0.16027334332466125,0.21422071754932404
beyond,0.3297902047634125,0.13478726148605347,0.2982341945171356,0.13933917880058289,0.21825383603572845,0.3000558316707611,0.28192228078842163,0.1854884773492813,0.2518676519393921,0.19468607008457184,0.1875571459531784
low,0.20743566751480103,0.18105973303318024,0.2544175982475281,0.1736711859703064,0.18108943104743958,0.2700593173503876,0.22373604774475098,0.1563725620508194,0.14800848066806793,0.19651252031326294,0.10658930987119675
earth,0.25883176922798157,0.18661361932754517,0.2801888585090637,0.23709720373153687,0.4782452881336212,0.2486501932144165,0.514371395111084,0.23142755031585693,0.44694551825523376,0.2948257625102997,0.17717236280441284
orbit,0.19471463561058044,0.1862146407365799,0.1565481424331665,0.17195448279380798,0.6606108546257019,0.23271086812019348,1.0000001192092896,0.2350972592830658,0.4963722825050354,0.2937356233596802,0.16621392965316772
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.4345304071903229,0.19334369897842407,0.4645031690597534,0.19304080307483673,0.3817248046398163,0.17446599900722504,0.29751062393188477,0.4130953550338745
