,when,was,the,last,time,california,hosted,a,super,bowl,?
it,0.4775012135505676,0.4577186405658722,0.6251175999641418,0.23236626386642456,0.3375589847564697,0.1883031278848648,0.23161670565605164,0.5452592968940735,0.19638319313526154,0.1748591959476471,0.25732165575027466
is,0.3471449911594391,0.5810302495956421,0.5823672413825989,0.2445172220468521,0.25187405943870544,0.20727038383483887,0.18988433480262756,0.658733606338501,0.15390309691429138,0.14233897626399994,0.22961433231830597
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.43061500787734985,0.2750805914402008,0.2576315402984619,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
first,0.4282494783401489,0.5022147297859192,0.49448907375335693,0.5431418418884277,0.4013477563858032,0.20105555653572083,0.24027997255325317,0.4287874400615692,0.2717077434062958,0.20817767083644867,0.18701928853988647
super,0.20393483340740204,0.21420986950397491,0.21959073841571808,0.17231976985931396,0.18677926063537598,0.15213294327259064,0.1794566810131073,0.26005712151527405,1.0000001192092896,0.4848237931728363,0.166326642036438
bowl,0.20523639023303986,0.21915455162525177,0.21576224267482758,0.20327796041965485,0.20419740676879883,0.22235432267189026,0.17901405692100525,0.19533146917819977,0.4848237931728363,1.0,0.21118052303791046
held,0.1848648637533188,0.30231067538261414,0.32185450196266174,0.20021413266658783,0.2842716872692108,0.17937809228897095,0.4446128308773041,0.22326228022575378,0.1602509617805481,0.1913566142320633,0.14103956520557404
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.30714505910873413,0.3431483507156372,0.2772824168205261,0.2707974314689636,0.539380669593811,0.18576006591320038,0.17236235737800598,0.20430970191955566
the,0.5091903209686279,0.48711544275283813,1.0,0.3698786795139313,0.43061500787734985,0.2750805914402008,0.2576315402984619,0.5829201340675354,0.21959073841571808,0.21576224267482758,0.22068053483963013
san,0.20252759754657745,0.2675222158432007,0.2858080565929413,0.15585462749004364,0.21043255925178528,0.5170050263404846,0.1884586364030838,0.19931553304195404,0.15279507637023926,0.18508543074131012,0.10952327400445938
