,who,punted,the,ball,for,carolina,?
later,0.35185644030570984,0.2073054164648056,0.4060266613960266,0.11628908663988113,0.3573088049888611,0.20568345487117767,0.1417175978422165
on,0.2340552806854248,0.22151140868663788,0.5107308030128479,0.1605052351951599,0.36199691891670227,0.19547675549983978,0.2714994251728058
",",0.3365725874900818,0.2946343719959259,0.4933079481124878,0.2170172780752182,0.4464869201183319,0.2566046118736267,0.31091248989105225
broncos,0.1763724684715271,0.43125566840171814,0.25985947251319885,0.275786429643631,0.2739109396934509,0.34897464513778687,0.18377114832401276
receiver,0.1811998039484024,0.3272319734096527,0.21850530803203583,0.24596534669399261,0.2781907320022583,0.19075524806976318,0.11587938666343689
jordan,0.1708289384841919,0.14182919263839722,0.23594552278518677,0.10865940153598785,0.1851562261581421,0.19566766917705536,0.10991371423006058
norwood,0.16892924904823303,0.2727532982826233,0.25596970319747925,0.15305395424365997,0.1709475815296173,0.3593503534793854,0.14529889822006226
received,0.20717638731002808,0.24440446496009827,0.24890556931495667,0.07391179352998734,0.30396392941474915,0.19734041392803192,0.11905962228775024
brad,0.262821763753891,0.2856591045856476,0.15679414570331573,0.17511872947216034,0.24995790421962738,0.25882431864738464,0.12968935072422028
nortman,0.28198349475860596,0.27422526478767395,0.30705687403678894,0.28629013895988464,0.22955100238323212,0.27745893597602844,0.18721170723438263
's,0.05599616840481758,0.015460867434740067,-0.01540423184633255,-0.028031641617417336,-0.07241261005401611,0.030589593574404716,-0.023395681753754616
short,0.18928885459899902,0.1550193727016449,0.29603123664855957,0.2279370129108429,0.2793668806552887,0.10802547633647919,0.16194626688957214
28-yard,0.2692718505859375,0.32729193568229675,0.323775053024292,0.2793891131877899,0.24666227400302887,0.1465919017791748,0.08621306717395782
punt,0.18999169766902924,0.7158162593841553,0.2358638495206833,0.30556032061576843,0.18573349714279175,0.14844511449337006,0.1629500389099121
surrounded,0.1342112421989441,0.24104975163936615,0.3510684669017792,0.09931980818510056,0.13340085744857788,0.12105800956487656,-0.022393958643078804
by,0.39727845788002014,0.2424197494983673,0.4408751428127289,0.1381615251302719,0.3248702883720398,0.1935426890850067,0.17966607213020325
panthers,0.2132880985736847,0.360736608505249,0.2602776288986206,0.17961734533309937,0.25358447432518005,0.4154948592185974,0.16608978807926178
players,0.2852925956249237,0.24803635478019714,0.2647981345653534,0.35162150859832764,0.3009685277938843,0.13509316742420197,0.15925642848014832
",",0.3365725874900818,0.2946343719959259,0.4933079481124878,0.2170172780752182,0.4464869201183319,0.2566046118736267,0.31091248989105225
but,0.4487357437610626,0.25100642442703247,0.4859698414802551,0.18901506066322327,0.45162561535835266,0.1685098558664322,0.27921953797340393
none,0.184309720993042,0.15502630174160004,0.2426847517490387,0.04402754828333855,0.27241936326026917,0.16217906773090363,0.23397447168827057
of,0.2827862501144409,0.283584326505661,0.733189046382904,0.15122076869010925,0.4185989499092102,0.26946863532066345,0.1826142966747284
them,0.5243523120880127,0.25820624828338623,0.4788833558559418,0.2128080427646637,0.41447147727012634,0.24355292320251465,0.35435691475868225
attempted,0.36497822403907776,0.26191288232803345,0.2688039243221283,0.17123055458068848,0.15942461788654327,0.13746343553066254,0.11123745888471603
to,0.42656609416007996,0.22423456609249115,0.535392165184021,0.2563202381134033,0.4451248347759247,0.23296888172626495,0.29463258385658264
make,0.28430092334747314,0.16647054255008698,0.3146495521068573,0.1828100085258484,0.386745423078537,0.14049214124679565,0.28314751386642456
a,0.36608949303627014,0.2673415243625641,0.5829201340675354,0.23578347265720367,0.44038116931915283,0.1979188621044159,0.23916715383529663
tackle,0.2198176085948944,0.35332775115966797,0.1645001471042633,0.3088444173336029,0.311522513628006,0.1857907623052597,0.20533707737922668
",",0.3365725874900818,0.2946343719959259,0.4933079481124878,0.2170172780752182,0.4464869201183319,0.2566046118736267,0.31091248989105225
apparently,0.3567349910736084,0.1519145518541336,0.27692100405693054,0.17087046802043915,0.31799110770225525,0.07815743237733841,0.3236613869667053
thinking,0.34874123334884644,0.13343307375907898,0.27663561701774597,0.16489143669605255,0.28851422667503357,0.15963459014892578,0.3342305123806
norwood,0.16892924904823303,0.2727532982826233,0.25596970319747925,0.15305395424365997,0.1709475815296173,0.3593503534793854,0.14529889822006226
had,0.36173108220100403,0.30920007824897766,0.3875846862792969,0.10285868495702744,0.3270139992237091,0.20392835140228271,0.20728366076946259
called,0.3151143789291382,0.27052655816078186,0.489897221326828,0.15799406170845032,0.29870352149009705,0.10601546615362167,0.18963319063186646
a,0.36608949303627014,0.2673415243625641,0.5829201340675354,0.23578347265720367,0.44038116931915283,0.1979188621044159,0.23916715383529663
fair,0.20172588527202606,0.20887790620326996,0.2018251270055771,0.277042955160141,0.2144732028245926,0.06832201033830643,0.22737592458724976
catch,0.23344027996063232,0.2762579023838043,0.22350099682807922,0.3733535408973694,0.2616441547870636,0.11330166459083557,0.28881779313087463
.,0.3541337847709656,0.2894311547279358,0.5934505462646484,0.214210644364357,0.4726039469242096,0.2702518403530121,0.4130953550338745
