,some,have,generalized,the,meaning,of,the,word,imperialism,down,to,general-purpose,what,?
the,0.4566698372364044,0.40389683842658997,0.22870774567127228,1.0,0.31918859481811523,0.733189046382904,1.0,0.2835540175437927,0.2716025412082672,0.3325848877429962,0.535392165184021,0.3953832685947418,0.42745697498321533,0.22068053483963013
definition,0.3127483129501343,0.3240226209163666,0.37196409702301025,0.23176956176757812,0.34204328060150146,0.24912455677986145,0.23176956176757812,0.3750923275947571,0.2697836458683014,0.10395535081624985,0.2924377918243408,0.38470596075057983,0.330344021320343,0.2796523869037628
of,0.4300730526447296,0.3802283704280853,0.26099807024002075,0.733189046382904,0.2447882443666458,1.0,0.733189046382904,0.23799116909503937,0.29240643978118896,0.23279321193695068,0.41548454761505127,0.3727344870567322,0.33290785551071167,0.1826142966747284
imperialism,0.19825322926044464,0.1434110701084137,0.222468301653862,0.2716025412082672,0.2165427953004837,0.29240643978118896,0.2716025412082672,0.23711268603801727,1.0,0.0373036190867424,0.21685542166233063,0.2133430391550064,0.24614648520946503,0.14998586475849152
has,0.3587830364704132,0.6353569626808167,0.1945493519306183,0.4177538752555847,0.2638203501701355,0.3909035325050354,0.4177538752555847,0.22710800170898438,0.11067613214254379,0.2167075276374817,0.3619994819164276,0.22943902015686035,0.20338068902492523,0.15994466841220856
not,0.564181387424469,0.5619372129440308,0.3216879963874817,0.4310511648654938,0.29641738533973694,0.3307090103626251,0.4310511648654938,0.2535132169723511,0.22757908701896667,0.24106737971305847,0.5149973034858704,0.4014815390110016,0.5449194312095642,0.41942933201789856
been,0.42383694648742676,0.6493861675262451,0.22388990223407745,0.3563927710056305,0.18446969985961914,0.31685134768486023,0.3563927710056305,0.15503434836864471,0.10602488368749619,0.2326243668794632,0.34945759177207947,0.3363990783691406,0.2567804455757141,0.24354910850524902
finalized,0.17095929384231567,0.22403405606746674,0.4274790585041046,0.2770901024341583,0.17939069867134094,0.2520163059234619,0.2770901024341583,0.08807241171598434,0.1352364718914032,0.1250987946987152,0.24045075476169586,0.182961568236351,0.15837353467941284,0.15755558013916016
for,0.4257155656814575,0.41175219416618347,0.20763248205184937,0.4739971458911896,0.2563263475894928,0.4185989499092102,0.4739971458911896,0.28341928124427795,0.15846435725688934,0.22538931667804718,0.4451248347759247,0.39683789014816284,0.3017193675041199,0.264628142118454
centuries,0.27547961473464966,0.28386595845222473,0.1839313507080078,0.32166481018066406,0.26144036650657654,0.2695758044719696,0.32166481018066406,0.3036206364631653,0.32450005412101746,0.21617035567760468,0.2275104820728302,0.2484549582004547,0.18983326852321625,0.13179439306259155
