,what,did,maududi,believe,muslim,society,could,not,be,islamic,in,the,absence,of,?
maududi,0.19404585659503937,0.2033180296421051,1.0000001192092896,0.21829751133918762,0.4165809750556946,0.2284529209136963,0.16204304993152618,0.2161082923412323,0.1926235407590866,0.3724023997783661,0.2965894043445587,0.30155912041664124,0.17574794590473175,0.32255080342292786,0.2149532437324524
also,0.42747777700424194,0.39334940910339355,0.34876999258995056,0.37320855259895325,0.21779091656208038,0.2379170060157776,0.42194491624832153,0.4917296767234802,0.48342031240463257,0.21727822721004486,0.5073733329772949,0.6021018624305725,0.3225652575492859,0.4924938678741455,0.21848613023757935
believed,0.32626157999038696,0.3807709813117981,0.22419530153274536,0.6664041876792908,0.24337656795978546,0.23658768832683563,0.386944979429245,0.338882714509964,0.32833608984947205,0.2757934629917145,0.2605416774749756,0.324635773897171,0.20177185535430908,0.2945859134197235,0.17606885731220245
that,0.6297725439071655,0.47518548369407654,0.22168143093585968,0.533393383026123,0.24297045171260834,0.23252169787883759,0.5584503412246704,0.6600887179374695,0.6036020517349243,0.22403839230537415,0.435920387506485,0.5473989248275757,0.39762037992477417,0.41498205065727234,0.32716336846351624
muslim,0.2631456255912781,0.2098924219608307,0.4165809750556946,0.3037140369415283,1.0,0.21021299064159393,0.17313703894615173,0.24381160736083984,0.20231084525585175,0.6897084712982178,0.2092999517917633,0.28099653124809265,0.11901159584522247,0.267849862575531,0.17456822097301483
society,0.23231269419193268,0.18197309970855713,0.2284529209136963,0.25750452280044556,0.21021299064159393,0.9999998807907104,0.18804723024368286,0.17279937863349915,0.17743872106075287,0.1958155333995819,0.21229879558086395,0.2789285480976105,0.12978100776672363,0.23646748065948486,0.1373005360364914
could,0.4188697934150696,0.6308382749557495,0.16204304993152618,0.3515373766422272,0.17313703894615173,0.18804723024368286,0.9999998807907104,0.5930190086364746,0.4791525900363922,0.13836009800434113,0.29357993602752686,0.35393214225769043,0.25380584597587585,0.29043012857437134,0.3411986827850342
not,0.5449194312095642,0.6481515765190125,0.2161082923412323,0.462744802236557,0.24381160736083984,0.17279937863349915,0.5930190086364746,0.9999999403953552,0.5788898468017578,0.19812384247779846,0.3403114080429077,0.4310511648654938,0.37320783734321594,0.3307090103626251,0.41942933201789856
be,0.3929833769798279,0.22657383978366852,0.1926235407590866,0.3950888514518738,0.20231084525585175,0.17743872106075287,0.4791525900363922,0.5788898468017578,1.0,0.16662408411502838,0.3481820821762085,0.4248143136501312,0.3229086399078369,0.33904364705085754,0.3324260413646698
islamic,0.2204568088054657,0.17371372878551483,0.3724023997783661,0.2991560399532318,0.6897084712982178,0.1958155333995819,0.13836009800434113,0.19812384247779846,0.16662408411502838,0.9999999403953552,0.19633598625659943,0.27231070399284363,0.1361328363418579,0.25656506419181824,0.1692383587360382
without,0.3181614279747009,0.3172723054885864,0.13589143753051758,0.23674319684505463,0.11347717046737671,0.1680632382631302,0.35356050729751587,0.49322307109832764,0.4152284264564514,0.16384974122047424,0.2553589344024658,0.3270869255065918,0.3436630368232727,0.3081340193748474,0.2928665280342102
