,who,made,the,first,to,measure,value,of,the,newton,universal,gravitation,constant,?
not,0.369414746761322,0.35529249906539917,0.4310511648654938,0.2955942749977112,0.5149973034858704,0.2949961721897125,0.24114683270454407,0.3307090103626251,0.4310511648654938,0.21876533329486847,0.23280788958072662,0.21711377799510956,0.24966473877429962,0.41942933201789856
until,0.2530071437358856,0.2554455101490021,0.37191009521484375,0.3975810110569,0.354556679725647,0.17669694125652313,0.13051572442054749,0.2787701487541199,0.37191009521484375,0.12213102728128433,0.08261186629533768,0.10548172891139984,0.2121504247188568,0.20304496586322784
1798,0.12577854096889496,0.0666939839720726,0.17788971960544586,0.09905751049518585,0.05193280801177025,0.09300264716148376,0.12886318564414978,0.174815833568573,0.17788971960544586,0.107093945145607,0.06998233497142792,0.09386990964412689,0.1027202308177948,0.10499652475118637
was,0.3318818509578705,0.3433256447315216,0.48711544275283813,0.5022147297859192,0.3636345863342285,0.17550566792488098,0.13631008565425873,0.4069072902202606,0.48711544275283813,0.25264593958854675,0.210410475730896,0.1482723355293274,0.11607828736305237,0.18412111699581146
henry,0.29137110710144043,0.1740007847547531,0.2542637586593628,0.2219134271144867,0.2152724415063858,0.14611698687076569,0.1255396157503128,0.2390729784965515,0.2542637586593628,0.2119508534669876,0.1495305448770523,0.13569314777851105,0.16133078932762146,0.16836383938789368
cavendish,0.19178840517997742,0.15349125862121582,0.2888660430908203,0.2623339891433716,0.271219402551651,0.18184281885623932,0.14023709297180176,0.2563726603984833,0.2888660430908203,0.28220197558403015,0.09580927342176437,0.25648999214172363,0.13087013363838196,0.09402149170637131
able,0.38891562819480896,0.3342667520046234,0.3435857892036438,0.289527028799057,0.529755175113678,0.2886490821838379,0.1424454152584076,0.23883962631225586,0.3435857892036438,0.14515672624111176,0.15019848942756653,0.1995917707681656,0.22218456864356995,0.260649710893631
to,0.42656609416007996,0.3377571105957031,0.535392165184021,0.3792489171028137,1.0,0.2774736285209656,0.23921877145767212,0.41548454761505127,0.535392165184021,0.2176830768585205,0.19006553292274475,0.24520020186901093,0.26379308104515076,0.29463258385658264
make,0.28430092334747314,0.613452136516571,0.3146495521068573,0.24807552993297577,0.497876912355423,0.33599817752838135,0.16082942485809326,0.2912110388278961,0.3146495521068573,0.1542254388332367,0.18569107353687286,0.17159074544906616,0.17118851840496063,0.28314751386642456
the,0.3733934462070465,0.3885267674922943,1.0,0.49448907375335693,0.535392165184021,0.2528008222579956,0.16908381879329681,0.733189046382904,1.0,0.1876603662967682,0.2359178364276886,0.2239520251750946,0.2037150114774704,0.22068053483963013
