,how,long,did,ms,kucukdeveci,work,for,swedex,gmbh,&,co,kg,before,she,was,dismissed,?
ms,0.1793057769536972,0.08296909183263779,0.14649197459220886,1.0,0.20627951622009277,0.11027103662490845,0.12532177567481995,0.08896928280591965,0.1762811541557312,0.09037100523710251,0.06657733023166656,0.228460893034935,0.1384880095720291,0.19515135884284973,0.11380712687969208,0.10601949691772461,0.13037197291851044
kücükdeveci,0.27943918108940125,0.2347022294998169,0.18275442719459534,0.2227560132741928,0.8544535040855408,0.3390924334526062,0.2903534173965454,0.25407567620277405,0.27405354380607605,0.18927273154258728,0.18664228916168213,0.2188538908958435,0.25718969106674194,0.2847975790500641,0.24709352850914001,0.1534641981124878,0.42709341645240784
worked,0.22484339773654938,0.1542530357837677,0.3377852141857147,0.1409536749124527,0.2101108878850937,0.5897743105888367,0.3048533797264099,0.1984575241804123,0.1878722757101059,0.14517982304096222,0.28077712655067444,0.07898322492837906,0.229409322142601,0.3280429542064667,0.38922780752182007,0.25225555896759033,0.0901828184723854
for,0.3308170735836029,0.2547193765640259,0.318512886762619,0.12532177567481995,0.2887984812259674,0.4087657630443573,0.9999999403953552,0.18784396350383759,0.16819889843463898,0.15479104220867157,0.2003672868013382,0.18068446218967438,0.44347289204597473,0.33889997005462646,0.3863949179649353,0.18047507107257843,0.264628142118454
10,0.09177426248788834,0.027470748871564865,0.1914099007844925,-0.008004585281014442,0.18508046865463257,-0.01703435555100441,0.07862305641174316,0.10318233072757721,0.010391770862042904,0.12306245416402817,0.04439976066350937,-0.0005081280251033604,0.054110582917928696,0.10980026423931122,0.16597506403923035,0.07119833678007126,0.022911956533789635
years,0.21949264407157898,0.34739476442337036,0.2695724070072174,0.08865007758140564,0.23200303316116333,0.19907118380069733,0.2878222167491913,0.14889360964298248,0.13255417346954346,0.0772986188530922,0.16131733357906342,0.20703722536563873,0.3794313073158264,0.28449055552482605,0.35855233669281006,0.14461344480514526,0.1914375126361847
",",0.22659391164779663,0.3431144952774048,0.3015086054801941,0.17293871939182281,0.4365524351596832,0.3283594250679016,0.4464869201183319,0.22823405265808105,0.19378891587257385,0.2516871392726898,0.22721807658672333,0.24280349910259247,0.3156566619873047,0.3814608156681061,0.45456063747406006,0.24774998426437378,0.31091248989105225
from,0.22939439117908478,0.3109167516231537,0.20248863101005554,0.07274343818426132,0.2327890843153,0.20936714112758636,0.314039945602417,0.19657474756240845,0.12083784490823746,0.14301162958145142,0.15595115721225739,0.1306770294904709,0.38587698340415955,0.2852872908115387,0.31171464920043945,0.21591342985630035,0.19969791173934937
age,0.17137715220451355,0.14242365956306458,0.1816447526216507,0.18400540947914124,0.19865135848522186,0.15283000469207764,0.23129768669605255,0.07775046676397324,0.08223710209131241,0.08714690804481506,0.03371543437242508,0.17182151973247528,0.2806268632411957,0.3156600296497345,0.27072176337242126,0.10102014988660812,0.16859300434589386
18,-0.03501921147108078,0.003451990894973278,-0.16295963525772095,-0.06550905108451843,-0.10566625744104385,0.026279030367732048,-0.09931658953428268,-0.005110702011734247,-0.051255784928798676,-0.1292642205953598,-0.0750981792807579,-0.019285615533590317,-0.13283929228782654,-0.08054054528474808,-0.1265212595462799,-0.00903598964214325,-0.04919438064098358
to,0.44169697165489197,0.30218687653541565,0.4452643394470215,0.09825502336025238,0.26649701595306396,0.3482864499092102,0.4451248347759247,0.1784917563199997,0.1405455768108368,0.1254875510931015,0.1567053198814392,0.14216412603855133,0.4190867841243744,0.31156328320503235,0.3636345863342285,0.22687369585037231,0.29463258385658264
