,what,is,the,balance,for,positive,reinforcement,?
positive,0.2491111010313034,0.18898358941078186,0.20502062141895294,0.256487101316452,0.20385105907917023,0.9999999403953552,0.3790138363838196,0.16532565653324127
reinforcement,0.2959302067756653,0.2462819218635559,0.29304003715515137,0.2993922829627991,0.23130668699741364,0.3790138363838196,1.0,0.15033507347106934
is,0.28837618231773376,1.0,0.5823672413825989,0.25354740023612976,0.43268078565597534,0.18898358941078186,0.2462819218635559,0.22961433231830597
balanced,0.29257306456565857,0.26692718267440796,0.2974889874458313,0.8423908352851868,0.19219519197940826,0.29141607880592346,0.3018593192100525,0.24327316880226135
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.2947671711444855,0.39140474796295166,0.2363528460264206,0.19083493947982788,0.2433311939239502
immediate,0.3414689600467682,0.17419558763504028,0.34819692373275757,0.21930958330631256,0.22764788568019867,0.19086723029613495,0.33012381196022034,0.2325933575630188
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2617957592010498,0.5064792633056641,0.22341404855251312,0.21568851172924042,0.20544172823429108
fair,0.31485888361930847,0.1955455094575882,0.2018251270055771,0.2672755718231201,0.2144732028245926,0.19711537659168243,0.15640360116958618,0.22737592458724976
punishment,0.31300443410873413,0.22508563101291656,0.2503047287464142,0.23600247502326965,0.25197941064834595,0.24873550236225128,0.372994989156723,0.23842233419418335
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.22177241742610931,0.9999999403953552,0.20385105907917023,0.23130668699741364,0.264628142118454
misbehavior,0.4433256983757019,0.24806784093379974,0.2766011655330658,0.3602895736694336,0.3159317076206207,0.3510064482688904,0.4355780780315399,0.29309946298599243
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2617957592010498,0.5064792633056641,0.22341404855251312,0.21568851172924042,0.20544172823429108
firm,0.15721003711223602,0.20598553121089935,0.185079887509346,0.11857835203409195,0.1946931630373001,0.1441725790500641,0.24697749316692352,0.08762375265359879
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2039237916469574,0.4464869201183319,0.2373124659061432,0.18122492730617523,0.31091248989105225
clear,0.4239453375339508,0.22241374850273132,0.3209454417228699,0.2703828811645508,0.2821788191795349,0.1864415556192398,0.2551991641521454,0.2738020122051239
boundaries,0.27773579955101013,0.22585651278495789,0.34339386224746704,0.21642597019672394,0.18814940750598907,0.12783782184123993,0.20761291682720184,0.13039568066596985
define,0.37022438645362854,0.21447251737117767,0.215811088681221,0.2627464234828949,0.26458024978637695,0.24473513662815094,0.21866245567798615,0.2999834418296814
what,0.9999998807907104,0.28837618231773376,0.42745697498321533,0.25451838970184326,0.3017193675041199,0.2491111010313034,0.2959302067756653,0.5051238536834717
is,0.28837618231773376,1.0,0.5823672413825989,0.25354740023612976,0.43268078565597534,0.18898358941078186,0.2462819218635559,0.22961433231830597
appropriate,0.29508692026138306,0.2246846705675125,0.27732113003730774,0.2513950765132904,0.2875204086303711,0.23069724440574646,0.2686575949192047,0.2732597291469574
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2617957592010498,0.5064792633056641,0.22341404855251312,0.21568851172924042,0.20544172823429108
inappropriate,0.38486769795417786,0.18429243564605713,0.20993955433368683,0.2355177104473114,0.3209274709224701,0.27024027705192566,0.29219064116477966,0.3695458173751831
behavior,0.3737046718597412,0.194302499294281,0.2124595195055008,0.32821178436279297,0.24454578757286072,0.35049447417259216,0.41662585735321045,0.20805177092552185
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24091094732284546,0.4726039469242096,0.26679879426956177,0.2437027543783188,0.4130953550338745
