,what,type,of,immune,systems,are,found,in,all,plants,and,animals,?
if,0.5277165174484253,0.2994624078273773,0.2557544410228729,0.28697746992111206,0.23441211879253387,0.32547882199287415,0.18238407373428345,0.2589588761329651,0.40880489349365234,0.23956288397312164,0.3498523235321045,0.24710708856582642,0.4441644251346588
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.20466765761375427,0.23904047906398773,0.265255331993103,0.2869448959827423,0.539380669593811,0.2696802616119385,0.21329157054424286,0.3739250600337982,0.2420264482498169,0.23916715383529663
pathogen,0.2550991475582123,0.23059427738189697,0.22046351432800293,0.5720921158790588,0.27272871136665344,0.2865891754627228,0.23732589185237885,0.1709301620721817,0.2129558026790619,0.49188271164894104,0.16291935741901398,0.4102301597595215,0.1893778294324875
breaches,0.3261708617210388,0.14576640725135803,0.2500109374523163,0.2684628367424011,0.22325335443019867,0.22486111521720886,0.24507081508636475,0.20482343435287476,0.27638986706733704,0.12563760578632355,0.24918489158153534,0.11560199409723282,0.26425766944885254
these,0.4164220690727234,0.26445475220680237,0.42684608697891235,0.2535412013530731,0.35219457745552063,0.7107698917388916,0.30648550391197205,0.3791837692260742,0.5938270092010498,0.3445870578289032,0.5314885973930359,0.3445296883583069,0.2571668326854706
barriers,0.22092224657535553,0.1919667273759842,0.20672127604484558,0.2772504687309265,0.3472495973110199,0.3361026644706726,0.09823046624660492,0.19009177386760712,0.2942551076412201,0.295915424823761,0.28109604120254517,0.3509920835494995,0.12831342220306396
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.15102852880954742,0.22053997218608856,0.4062570035457611,0.27385151386260986,0.5201468467712402,0.425624817609787,0.2555769681930542,0.6633074283599854,0.23067066073417664,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21364226937294006,0.28089964389801025,0.40399202704429626,0.3452354073524475,0.6662389636039734,0.4860881567001343,0.29499560594558716,0.5171257257461548,0.2939487397670746,0.22068053483963013
innate,0.2683543860912323,0.2302299588918686,0.255485475063324,0.6130988597869873,0.3468446731567383,0.2676650285720825,0.17536427080631256,0.18022385239601135,0.2267368733882904,0.37083548307418823,0.22914032638072968,0.3959187865257263,0.16386382281780243
immune,0.2410416603088379,0.21810857951641083,0.16620753705501556,1.0,0.34945380687713623,0.23878547549247742,0.24591653048992157,0.14682820439338684,0.22340768575668335,0.26676440238952637,0.14400269091129303,0.3352951109409332,0.16080476343631744
system,0.23557309806346893,0.24706636369228363,0.25597915053367615,0.3962631821632385,0.7890681028366089,0.21917270123958588,0.15165145695209503,0.21978288888931274,0.23592321574687958,0.24697130918502808,0.231138214468956,0.21421568095684052,0.15556083619594574
provides,0.16175243258476257,0.2575671374797821,0.3119201064109802,0.15538622438907623,0.3068062961101532,0.2591449022293091,0.1664101928472519,0.22731803357601166,0.221037358045578,0.24075588583946228,0.28077030181884766,0.2398310899734497,0.1500944346189499
an,0.2821882665157318,0.21485474705696106,0.32280945777893066,0.20370379090309143,0.19967354834079742,0.1556541919708252,0.11655625700950623,0.2605783939361572,0.1916661262512207,0.18405871093273163,0.2838519215583801,0.19857095181941986,0.19793890416622162
immediate,0.3414689600467682,0.18770024180412292,0.3290686011314392,0.31954464316368103,0.24538367986679077,0.16283103823661804,0.19935965538024902,0.2620777189731598,0.3394271433353424,0.17781604826450348,0.26283299922943115,0.20982705056667328,0.2325933575630188
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.15102852880954742,0.22053997218608856,0.4062570035457611,0.27385151386260986,0.5201468467712402,0.425624817609787,0.2555769681930542,0.6633074283599854,0.23067066073417664,0.31091248989105225
but,0.5029441118240356,0.24026720225811005,0.39942997694015503,0.2497076690196991,0.25675708055496216,0.47990062832832336,0.32550859451293945,0.48674455285072327,0.4908081889152527,0.2886926233768463,0.5762497186660767,0.31224289536476135,0.27921953797340393
non-specific,0.4068310260772705,0.3278439939022064,0.319923996925354,0.3208230435848236,0.287314236164093,0.3459315001964569,0.16819646954536438,0.23901017010211945,0.35006240010261536,0.2131306231021881,0.28833499550819397,0.23622195422649384,0.37322136759757996
response,0.3532308340072632,0.16400909423828125,0.21864040195941925,0.43541768193244934,0.22159011662006378,0.20697586238384247,0.12588901817798615,0.20744606852531433,0.2141672968864441,0.1561051905155182,0.21754570305347443,0.22023478150367737,0.2007838636636734
.,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.18267881870269775,0.2403000146150589,0.3452940285205841,0.3618174195289612,0.5591574311256409,0.43406882882118225,0.2542511522769928,0.588965117931366,0.27480828762054443,0.4130953550338745
