,what,mechanism,moves,coal,from,a,bunker,to,the,firebox,?
when,0.4700249433517456,0.2797921597957611,0.3004407286643982,0.17124615609645844,0.405669629573822,0.44397395849227905,0.14681504666805267,0.5423505902290344,0.5091903209686279,0.27606332302093506,0.22841128706932068
coal,0.15859243273735046,0.1320512294769287,0.08643551915884018,1.0,0.22152844071388245,0.21951504051685333,0.24459944665431976,0.20023773610591888,0.23263108730316162,0.36194953322410583,0.10339318215847015
is,0.28837618231773376,0.21533295512199402,0.2820238769054413,0.2040661871433258,0.27355384826660156,0.658733606338501,0.16454654932022095,0.42745086550712585,0.5823672413825989,0.17133381962776184,0.22961433231830597
used,0.27546408772468567,0.28362905979156494,0.20030327141284943,0.2525128424167633,0.25821518898010254,0.3864384889602661,0.18473359942436218,0.40058770775794983,0.3718377649784088,0.23298923671245575,0.22430120408535004
",",0.3087472915649414,0.12176363915205002,0.1881556361913681,0.2299477756023407,0.39760664105415344,0.427140474319458,0.21531249582767487,0.44245919585227966,0.4933079481124878,0.1788291037082672,0.31091248989105225
a,0.3320399522781372,0.2361949384212494,0.27945461869239807,0.21951504051685333,0.322764128446579,1.0,0.2261364758014679,0.45503583550453186,0.5829201340675354,0.299643337726593,0.23916715383529663
chain,0.14724448323249817,0.30123084783554077,0.20215892791748047,0.1733587384223938,0.09717580676078796,0.1936972439289093,0.1725671887397766,0.17666296660900116,0.2761823236942291,0.20250943303108215,0.09208294749259949
or,0.33867141604423523,0.29097992181777954,0.22805099189281464,0.2256544530391693,0.31242018938064575,0.48853766918182373,0.18141493201255798,0.38921234011650085,0.4174870550632477,0.24043898284435272,0.32389625906944275
screw,0.25344499945640564,0.23168626427650452,0.28522616624832153,0.19743181765079498,0.12847481667995453,0.21032947301864624,0.1979275941848755,0.2438458800315857,0.18194426596164703,0.4024469554424286,0.23121829330921173
stoking,0.2746734619140625,0.2317609339952469,0.26363301277160645,0.2578332722187042,0.30611875653266907,0.3241077661514282,0.30017727613449097,0.2811638414859772,0.31903794407844543,0.31696972250938416,0.23241432011127472
mechanism,0.2635997533798218,1.0,0.22417113184928894,0.1320512294769287,0.11642146855592728,0.2361949384212494,0.23016349971294403,0.24238377809524536,0.24941077828407288,0.26166120171546936,0.1732848435640335
and,0.31309178471565247,0.13620422780513763,0.2176569551229477,0.23463141918182373,0.3601827025413513,0.3739250600337982,0.25375568866729736,0.48971283435821533,0.5171257257461548,0.20092259347438812,0.20544172823429108
its,0.30393704771995544,0.21123120188713074,0.2033199667930603,0.22441719472408295,0.32706040143966675,0.4424409866333008,0.12618876993656158,0.3691340684890747,0.559237003326416,0.2111615538597107,0.15103481709957123
drive,0.21679377555847168,0.2435755431652069,0.18443016707897186,0.15293599665164948,0.15552356839179993,0.24929353594779968,0.14004306495189667,0.291306734085083,0.2083187699317932,0.28105607628822327,0.11447915434837341
engine,0.18463268876075745,0.26553910970687866,0.17244486510753632,0.2546955347061157,0.20623253285884857,0.24768835306167603,0.21042446792125702,0.20794793963432312,0.21651263535022736,0.39877328276634216,0.17739196121692657
or,0.33867141604423523,0.29097992181777954,0.22805099189281464,0.2256544530391693,0.31242018938064575,0.48853766918182373,0.18141493201255798,0.38921234011650085,0.4174870550632477,0.24043898284435272,0.32389625906944275
motor,0.18952611088752747,0.26691699028015137,0.18102215230464935,0.2302158921957016,0.20276115834712982,0.23198452591896057,0.11308179795742035,0.2615114748477936,0.26024484634399414,0.3212299346923828,0.0637441948056221
