,which,name,is,also,used,to,describe,the,amazon,rainforest,in,english,?
the,0.6521818041801453,0.3171212375164032,0.5823672413825989,0.6021018624305725,0.3718377649784088,0.535392165184021,0.26495152711868286,1.0,0.260541707277298,0.2571161389350891,0.6662389636039734,0.23982001841068268,0.22068053483963013
amazon,0.1877625584602356,0.11814214289188385,0.15197539329528809,0.21944282948970795,0.11720351874828339,0.17033490538597107,0.17997229099273682,0.260541707277298,1.0000001192092896,0.48046615719795227,0.12227833271026611,0.1179903894662857,0.18144656717777252
rainforest,0.2796969711780548,0.20546332001686096,0.2674187123775482,0.22202818095684052,0.17859117686748505,0.23412610590457916,0.16897989809513092,0.2571161389350891,0.48046615719795227,1.0,0.2207682877779007,0.10748785734176636,0.1917492002248764
(,0.2589828372001648,0.2706909477710724,0.35393038392066956,0.2962331771850586,0.19005385041236877,0.30882009863853455,0.14272817969322205,0.33289089798927307,0.11605185270309448,0.16459959745407104,0.3087427020072937,0.3194602429866791,0.40561532974243164
portuguese,0.20586825907230377,0.16657939553260803,0.13937164843082428,0.23976804316043854,0.18438775837421417,0.15886346995830536,0.15658842027187347,0.22085627913475037,0.23089911043643951,0.20717577636241913,0.1487773358821869,0.3835252523422241,0.16310815513134003
:,-0.11049769818782806,-0.0774015560746193,-0.07222653180360794,-0.08241266757249832,-0.13810665905475616,-0.09243495017290115,-0.10952877998352051,-0.03403344005346298,-0.12260514497756958,-0.15356512367725372,0.020521078258752823,-0.0987786203622818,-0.07156077772378922
floresta,0.19996947050094604,0.16901472210884094,0.1975489854812622,0.19492745399475098,0.10277898609638214,0.19419324398040771,0.06857028603553772,0.21878595650196075,0.3101067841053009,0.4738822281360626,0.211809903383255,0.08195523172616959,0.20958033204078674
amazônica,0.20503084361553192,0.23025032877922058,0.2259128838777542,0.2341434806585312,0.09345318377017975,0.18528015911579132,0.1447773426771164,0.2356344312429428,0.5546891689300537,0.3812522292137146,0.17427781224250793,0.14254260063171387,0.30522429943084717
or,0.5105096101760864,0.19621294736862183,0.41870999336242676,0.46319106221199036,0.4951852560043335,0.38921234011650085,0.40484312176704407,0.4174870550632477,0.18680624663829803,0.20769043266773224,0.3586423695087433,0.1728663295507431,0.32389625906944275
amazônia,0.23213933408260345,0.2334059178829193,0.2453109323978424,0.24432088434696198,0.1372903287410736,0.18015070259571075,0.15501323342323303,0.23104360699653625,0.5313607454299927,0.3888537585735321,0.22489652037620544,0.09061405062675476,0.28328636288642883
;,-0.01244901679456234,0.01776505447924137,0.05324986204504967,0.04470096528530121,0.11651374399662018,0.0979827418923378,0.09750840812921524,0.09152708947658539,0.11813170462846756,0.06850466132164001,0.092739537358284,0.06663760542869568,0.10349778085947037
spanish,0.20215068757534027,0.14661148190498352,0.14942079782485962,0.2480720728635788,0.1533212661743164,0.18265971541404724,0.12771251797676086,0.23213517665863037,0.1525970697402954,0.14861434698104858,0.15696977078914642,0.41923078894615173,0.14750491082668304
:,-0.11049769818782806,-0.0774015560746193,-0.07222653180360794,-0.08241266757249832,-0.13810665905475616,-0.09243495017290115,-0.10952877998352051,-0.03403344005346298,-0.12260514497756958,-0.15356512367725372,0.020521078258752823,-0.0987786203622818,-0.07156077772378922
selva,0.1672755926847458,0.1948123723268509,0.16713982820510864,0.11972595751285553,0.10493514686822891,0.14985966682434082,0.10457818955183029,0.2070763111114502,0.2834678292274475,0.21624164283275604,0.20365047454833984,0.1693272739648819,0.19740213453769684
amazónica,0.20319877564907074,0.22339797019958496,0.203868106007576,0.2509330213069916,0.09333950281143188,0.21859130263328552,0.1257452666759491,0.23271195590496063,0.5428899526596069,0.3440046012401581,0.17033793032169342,0.1433899998664856,0.2787811756134033
",",0.3658004403114319,0.28145334124565125,0.4691906273365021,0.4717654287815094,0.3120402991771698,0.44245919585227966,0.18910212814807892,0.4933079481124878,0.2214922308921814,0.2737860679626465,0.5201468467712402,0.3339248597621918,0.31091248989105225
amazonía,0.24771557748317719,0.19565533101558685,0.22513066232204437,0.2673536241054535,0.1565132439136505,0.2248915433883667,0.21737097203731537,0.29567718505859375,0.8843972682952881,0.5050831437110901,0.20345622301101685,0.11712639778852463,0.2333039939403534
