,how,did,the,islamic,group,'s,campaign,to,overthrow,the,government,turn,out,?
ultimately,0.2570752799510956,0.30089887976646423,0.38258427381515503,0.23591437935829163,0.15347670018672943,-0.03468727320432663,0.22267866134643555,0.3470746874809265,0.227071151137352,0.38258427381515503,0.25789037346839905,0.1730102300643921,0.3197811245918274,0.18806859850883484
the,0.33890387415885925,0.34736719727516174,1.0,0.27231070399284363,0.30795547366142273,-0.01540423184633255,0.2755736708641052,0.535392165184021,0.198907732963562,1.0,0.31798112392425537,0.3359498679637909,0.39404502511024475,0.22068053483963013
campaign,0.13740511238574982,0.18201768398284912,0.2755736708641052,0.23630250990390778,0.14877158403396606,0.051238369196653366,0.9999999403953552,0.24738837778568268,0.27676138281822205,0.2755736708641052,0.2730279564857483,0.09724733978509903,0.15603232383728027,0.162482351064682
to,0.44169697165489197,0.4452643394470215,0.535392165184021,0.1969100832939148,0.2672896385192871,0.03782717138528824,0.24738837778568268,1.0,0.27134451270103455,0.535392165184021,0.28343796730041504,0.3696671724319458,0.42386990785598755,0.29463258385658264
overthrow,0.15386973321437836,0.24850817024707794,0.198907732963562,0.3134036958217621,0.15475524961948395,0.03111877664923668,0.27676138281822205,0.27134451270103455,1.0,0.198907732963562,0.47894608974456787,0.1789407730102539,0.22047489881515503,0.1537860929965973
the,0.33890387415885925,0.34736719727516174,1.0,0.27231070399284363,0.30795547366142273,-0.01540423184633255,0.2755736708641052,0.535392165184021,0.198907732963562,1.0,0.31798112392425537,0.3359498679637909,0.39404502511024475,0.22068053483963013
government,0.21719732880592346,0.2792121469974518,0.31798112392425537,0.3250277638435364,0.1905447095632553,0.00033092309604398906,0.2730279564857483,0.28343796730041504,0.47894608974456787,0.31798112392425537,1.0000001192092896,0.11077944934368134,0.21430867910385132,0.18851417303085327
was,0.16678167879581451,0.41399896144866943,0.48711544275283813,0.19776177406311035,0.1789962202310562,0.008974763564765453,0.2556212544441223,0.3636345863342285,0.232468843460083,0.48711544275283813,0.2995857298374176,0.1588321030139923,0.28168347477912903,0.18412111699581146
unsuccessful,0.15695935487747192,0.3554496169090271,0.2507805824279785,0.16391104459762573,0.1335548460483551,-0.05345723032951355,0.30544817447662354,0.307348370552063,0.28317782282829285,0.2507805824279785,0.22191116213798523,0.13358905911445618,0.158956378698349,0.14997178316116333
",",0.22659391164779663,0.3015086054801941,0.4933079481124878,0.20175659656524658,0.2809832692146301,-0.0016132977325469255,0.18021923303604126,0.44245919585227966,0.1673116236925125,0.4933079481124878,0.27344048023223877,0.23215743899345398,0.3161109685897827,0.31091248989105225
and,0.33647966384887695,0.34479495882987976,0.5171257257461548,0.2192772477865219,0.3510662019252777,0.06895173341035843,0.20802859961986542,0.48971283435821533,0.17058640718460083,0.5171257257461548,0.2859337627887726,0.29704567790031433,0.3881998062133789,0.20544172823429108
