,who,were,the,secondary,companions,of,the,ninth,and,tenth,doctors,?
the,0.3733934462070465,0.3906462490558624,1.0,0.21037471294403076,0.25117260217666626,0.733189046382904,1.0,0.3694124221801758,0.5171257257461548,0.3562787175178528,0.24499839544296265,0.22068053483963013
primary,0.15416203439235687,0.13038471341133118,0.25688621401786804,0.6853594779968262,0.06840337812900543,0.23414276540279388,0.25688621401786804,0.13084551692008972,0.2539214491844177,0.13025881350040436,0.18816564977169037,0.16286636888980865
companions,0.35028961300849915,0.23379309475421906,0.25117260217666626,0.13988830149173737,1.0,0.23670142889022827,0.25117260217666626,0.17748896777629852,0.26133993268013,0.2371153086423874,0.29480984807014465,0.14333169162273407
of,0.2827862501144409,0.34038281440734863,0.733189046382904,0.219074085354805,0.23670142889022827,1.0,0.733189046382904,0.28438499569892883,0.5116966962814331,0.2729830741882324,0.18925178050994873,0.1826142966747284
the,0.3733934462070465,0.3906462490558624,1.0,0.21037471294403076,0.25117260217666626,0.733189046382904,1.0,0.3694124221801758,0.5171257257461548,0.3562787175178528,0.24499839544296265,0.22068053483963013
ninth,0.19596943259239197,0.16409292817115784,0.3694124221801758,0.11165723949670792,0.17748896777629852,0.28438499569892883,0.3694124221801758,0.9999999403953552,0.21318727731704712,0.7088915109634399,0.1942201405763626,0.05752093717455864
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.25317713618278503,0.26133993268013,0.5116966962814331,0.5171257257461548,0.21318727731704712,1.0,0.1863003820180893,0.22853690385818481,0.20544172823429108
tenth,0.17883233726024628,0.15288643538951874,0.3562787175178528,0.0678568035364151,0.2371153086423874,0.2729830741882324,0.3562787175178528,0.7088915109634399,0.1863003820180893,1.0,0.18101565539836884,0.07833222299814224
doctors,0.34335678815841675,0.2462945580482483,0.24499839544296265,0.20779059827327728,0.29480984807014465,0.18925178050994873,0.24499839544296265,0.1942201405763626,0.22853690385818481,0.18101565539836884,1.0,0.19305896759033203
were,0.3188014328479767,1.0000001192092896,0.3906462490558624,0.12436188012361526,0.23379309475421906,0.34038281440734863,0.3906462490558624,0.16409292817115784,0.42175528407096863,0.15288643538951874,0.2462945580482483,0.17890112102031708
rose,0.1951330006122589,0.16189920902252197,0.28326278924942017,0.08071449398994446,0.14648118615150452,0.2557028830051422,0.28326278924942017,0.2319139838218689,0.26338011026382446,0.10567722469568253,0.09328575432300568,0.11847885698080063
tyler,0.26302286982536316,0.16412755846977234,0.2185259610414505,0.12858092784881592,0.182969868183136,0.2090436816215515,0.2185259610414505,0.2534334361553192,0.18226546049118042,0.28425103425979614,0.11892073601484299,0.13009242713451385
(,0.2443375140428543,0.14743882417678833,0.33289089798927307,0.20586027204990387,0.1070626750588417,0.35032153129577637,0.33289089798927307,0.18684934079647064,0.4862271547317505,0.17136739194393158,0.10164801776409149,0.40561532974243164
billie,0.20191717147827148,0.13143032789230347,0.21176521480083466,0.10735038667917252,0.19045832753181458,0.1863851547241211,0.21176521480083466,0.2516224980354309,0.24974125623703003,0.16027960181236267,0.19026318192481995,0.19262483716011047
piper,0.2719639539718628,0.16009433567523956,0.2175988256931305,0.17365390062332153,0.260876327753067,0.12972700595855713,0.2175988256931305,0.19857577979564667,0.17444640398025513,0.06748306006193161,0.22457045316696167,0.16040469706058502
),0.2457384318113327,0.1566188633441925,0.3456730246543884,0.20800510048866272,0.11513619869947433,0.3680361211299896,0.3456730246543884,0.20520278811454773,0.4961937665939331,0.17439720034599304,0.0938401073217392,0.42300865054130554
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.2158004194498062,0.2093363106250763,0.4946078956127167,0.4933079481124878,0.23629407584667206,0.6633074283599854,0.21015258133411407,0.18616431951522827,0.31091248989105225
martha,0.23445138335227966,0.15840354561805725,0.16404779255390167,0.08815371990203857,0.15671931207180023,0.13761059939861298,0.16404779255390167,0.15734627842903137,0.24321691691875458,0.18897661566734314,0.22557781636714935,0.16339485347270966
jones,0.265706866979599,0.1573609858751297,0.24446700513362885,0.06321156769990921,0.19854269921779633,0.2007877230644226,0.24446700513362885,0.13053378462791443,0.26914161443710327,0.19031985104084015,0.12081776559352875,0.1838836669921875
(,0.2443375140428543,0.14743882417678833,0.33289089798927307,0.20586027204990387,0.1070626750588417,0.35032153129577637,0.33289089798927307,0.18684934079647064,0.4862271547317505,0.17136739194393158,0.10164801776409149,0.40561532974243164
freema,0.3010699450969696,0.15146037936210632,0.1477806121110916,0.0524897426366806,0.23334011435508728,0.20662853121757507,0.1477806121110916,0.18428446352481842,0.26011425256729126,0.14323365688323975,0.11814868450164795,0.10373307764530182
agyeman,0.40330085158348083,0.12433798611164093,0.3451703190803528,0.19216278195381165,0.23809894919395447,0.29283347725868225,0.3451703190803528,0.22735747694969177,0.29942914843559265,0.24494624137878418,0.2348722368478775,0.23365311324596405
),0.2457384318113327,0.1566188633441925,0.3456730246543884,0.20800510048866272,0.11513619869947433,0.3680361211299896,0.3456730246543884,0.20520278811454773,0.4961937665939331,0.17439720034599304,0.0938401073217392,0.42300865054130554
",",0.3365725874900818,0.36755475401878357,0.4933079481124878,0.2158004194498062,0.2093363106250763,0.4946078956127167,0.4933079481124878,0.23629407584667206,0.6633074283599854,0.21015258133411407,0.18616431951522827,0.31091248989105225
and,0.41279885172843933,0.42175528407096863,0.5171257257461548,0.25317713618278503,0.26133993268013,0.5116966962814331,0.5171257257461548,0.21318727731704712,1.0,0.1863003820180893,0.22853690385818481,0.20544172823429108
donna,0.19779469072818756,0.13355258107185364,0.17199060320854187,0.08393443375825882,0.1696879118680954,0.15929090976715088,0.17199060320854187,0.20455819368362427,0.15102623403072357,0.2304854542016983,0.23959539830684662,0.15398068726062775
noble,0.20064976811408997,0.14814762771129608,0.2295120358467102,0.06649821251630783,0.21110892295837402,0.24601131677627563,0.2295120358467102,0.10986248403787613,0.1789873242378235,0.11218569427728653,0.12361205369234085,0.11942308396100998
(,0.2443375140428543,0.14743882417678833,0.33289089798927307,0.20586027204990387,0.1070626750588417,0.35032153129577637,0.33289089798927307,0.18684934079647064,0.4862271547317505,0.17136739194393158,0.10164801776409149,0.40561532974243164
catherine,0.2121339589357376,0.21451236307621002,0.16774271428585052,0.12809616327285767,0.18376615643501282,0.17625762522220612,0.16774271428585052,0.12903618812561035,0.2507839500904083,0.14423641562461853,0.17814362049102783,0.14152087271213531
tate,0.23338109254837036,0.20011408627033234,0.18388135731220245,0.10927451401948929,0.2508224546909332,0.15911735594272614,0.18388135731220245,0.04342339187860489,0.27339625358581543,0.05106927454471588,0.15385064482688904,0.20980916917324066
