,how,many,academic,units,make,up,the,school,?
the,0.33890387415885925,0.4335206151008606,0.15387672185897827,0.2691343426704407,0.3146495521068573,0.38423117995262146,1.0,0.22953221201896667,0.22068053483963013
university,0.12992997467517853,0.19385361671447754,0.4402775466442108,0.145721435546875,0.12787722051143646,0.1440795660018921,0.263973206281662,0.48676231503486633,0.11887256056070328
is,0.22544461488723755,0.2649032473564148,0.19421102106571198,0.18204201757907867,0.3331545889377594,0.2853454053401947,0.5823672413825989,0.19488026201725006,0.22961433231830597
organized,0.21191665530204773,0.24971845746040344,0.20104271173477173,0.2821354866027832,0.18314918875694275,0.10900319367647171,0.28001853823661804,0.12408514320850372,0.10524328798055649
into,0.2303972691297531,0.2618265151977539,0.09119804948568344,0.21355803310871124,0.3341430723667145,0.38173696398735046,0.39493247866630554,0.14218322932720184,0.15662476420402527
eleven,0.18587736785411835,0.36152976751327515,0.1654278039932251,0.21875092387199402,0.14093874394893646,0.1950540989637375,0.35020911693573,0.2687798738479614,0.1022186428308487
separate,0.21848078072071075,0.33082273602485657,0.1347375512123108,0.2735362946987152,0.35783708095550537,0.3137553632259369,0.3612915575504303,0.13941040635108948,0.16835719347000122
academic,0.144212007522583,0.2163168489933014,0.9999998807907104,0.1891418993473053,0.13519030809402466,0.14102911949157715,0.15387672185897827,0.34779801964759827,0.11011603474617004
units—ten,0.22330114245414734,0.25052905082702637,0.258766233921051,0.8439956903457642,0.1885416954755783,0.24103084206581116,0.3401264250278473,0.206121563911438,0.17392483353614807
faculties,0.15913765132427216,0.2657916247844696,0.4224652945995331,0.2642892301082611,0.12873530387878418,0.1094607561826706,0.2710285782814026,0.377490758895874,0.08356188982725143
and,0.33647966384887695,0.5296266674995422,0.2552715241909027,0.2126137614250183,0.4160483181476593,0.4032393991947174,0.5171257257461548,0.2752758264541626,0.20544172823429108
the,0.33890387415885925,0.4335206151008606,0.15387672185897827,0.2691343426704407,0.3146495521068573,0.38423117995262146,1.0,0.22953221201896667,0.22068053483963013
radcliffe,0.1386384665966034,0.1926436722278595,0.28352150321006775,0.17928458750247955,0.13164563477039337,0.2479599118232727,0.22010628879070282,0.2628895938396454,0.06297651678323746
institute,0.1578029990196228,0.17137596011161804,0.37145376205444336,0.22341500222682953,0.12083974480628967,0.09551126509904861,0.24399729073047638,0.3705218434333801,0.115291528403759
for,0.3308170735836029,0.40972793102264404,0.23807747662067413,0.24534544348716736,0.386745423078537,0.342966228723526,0.4739971458911896,0.18618352711200714,0.264628142118454
advanced,0.1992558091878891,0.2530747354030609,0.27033185958862305,0.24444016814231873,0.1963590830564499,0.19856199622154236,0.2635994255542755,0.21393385529518127,0.1806638389825821
study—with,0.3624018728733063,0.348611444234848,0.38484102487564087,0.19155237078666687,0.32302922010421753,0.20703594386577606,0.33334484696388245,0.40609338879585266,0.27593785524368286
campuses,0.07508031278848648,0.254014253616333,0.38031625747680664,0.2243984192609787,0.10026704519987106,0.13785254955291748,0.19650089740753174,0.40189307928085327,0.08666198700666428
throughout,0.2546801269054413,0.4781026542186737,0.1750604659318924,0.20985937118530273,0.22739087045192719,0.2142927646636963,0.4158564507961273,0.16491690278053284,0.12665234506130219
the,0.33890387415885925,0.4335206151008606,0.15387672185897827,0.2691343426704407,0.3146495521068573,0.38423117995262146,1.0,0.22953221201896667,0.22068053483963013
boston,0.20064303278923035,0.20766830444335938,0.16259479522705078,0.10933277010917664,0.1589037925004959,0.18222157657146454,0.2297145575284958,0.1761183887720108,0.14705288410186768
metropolitan,0.08906085044145584,0.15455171465873718,0.2368782013654709,0.230189710855484,0.11489471793174744,0.16618181765079498,0.24378018081188202,0.19572953879833221,0.1861504763364792
area,0.17030490934848785,0.2414858043193817,0.13629277050495148,0.24540728330612183,0.13937629759311676,0.18057122826576233,0.37834644317626953,0.17919643223285675,0.12640461325645447
:,-0.11215605586767197,-0.10786184668540955,0.01585952192544937,-0.06767311692237854,-0.12153898924589157,-0.053053371608257294,-0.03403344005346298,-0.028859393671154976,-0.07156077772378922
its,0.22449488937854767,0.3319723308086395,0.11788403987884521,0.2481682300567627,0.29290565848350525,0.2559551000595093,0.559237003326416,0.17151296138763428,0.15103481709957123
