,what,resolution,were,the,cameras,increased,to,for,the,game,?
(,0.2411840260028839,0.21263813972473145,0.14743882417678833,0.33289089798927307,0.19616983830928802,0.15970994532108307,0.30882009863853455,0.3357032239437103,0.33289089798927307,0.19185201823711395,0.40561532974243164
an,0.2821882665157318,0.23431707918643951,0.08893381804227829,0.4207492768764496,0.18013033270835876,0.21425466239452362,0.3138085603713989,0.3236706852912903,0.4207492768764496,0.16604416072368622,0.19793890416622162
earlier,0.22624605894088745,0.1679677516222,0.31243637204170227,0.26843780279159546,0.17595472931861877,0.20485515892505646,0.29382309317588806,0.20985780656337738,0.26843780279159546,0.2132072001695633,0.13306351006031036
version,0.20755547285079956,0.17215505242347717,0.19237180054187775,0.27268242835998535,0.21975301206111908,0.08989842981100082,0.24018406867980957,0.19780562818050385,0.27268242835998535,0.2972014248371124,0.2573966085910797
of,0.33290785551071167,0.24433627724647522,0.34038281440734863,0.733189046382904,0.16742980480194092,0.3371390700340271,0.41548454761505127,0.4185989499092102,0.733189046382904,0.2298848181962967,0.1826142966747284
eyevision,0.31643226742744446,0.35879144072532654,0.20221620798110962,0.2950143814086914,0.39013251662254333,0.22994808852672577,0.2628280222415924,0.28675514459609985,0.2950143814086914,0.3160180151462555,0.30570414662361145
was,0.22111038863658905,0.17136116325855255,0.590133786201477,0.48711544275283813,0.1963709145784378,0.23245969414710999,0.3636345863342285,0.3863949179649353,0.48711544275283813,0.2568269371986389,0.18412111699581146
last,0.23175878822803497,0.11161695420742035,0.25959286093711853,0.3698786795139313,0.12780575454235077,0.20908188819885254,0.30156898498535156,0.3043119013309479,0.3698786795139313,0.15705397725105286,0.22371746599674225
used,0.27546408772468567,0.19095972180366516,0.27636459469795227,0.3718377649784088,0.3231108784675598,0.24995848536491394,0.40058770775794983,0.4236139953136444,0.3718377649784088,0.15115390717983246,0.22430120408535004
in,0.30808621644973755,0.1619282215833664,0.3815755248069763,0.6662389636039734,0.180817648768425,0.244624063372612,0.45010748505592346,0.4322226941585541,0.6662389636039734,0.23986028134822845,0.20430970191955566
