,why,did,so,many,not,approve,of,the,bill,?
opposition,0.23468928039073944,0.21891070902347565,0.24692043662071228,0.2189795970916748,0.24108479917049408,0.2900657057762146,0.27615541219711304,0.26783087849617004,0.16982418298721313,0.15647298097610474
politicians,0.19246365129947662,0.230036199092865,0.20053839683532715,0.32824528217315674,0.23878441751003265,0.2562718093395233,0.22949877381324768,0.21195560693740845,0.1212882474064827,0.17031937837600708
",",0.2827242314815521,0.3015086054801941,0.3716299831867218,0.40610817074775696,0.3769696354866028,0.30302485823631287,0.4946078956127167,0.4933079481124878,0.2472437173128128,0.31091248989105225
human,0.20736297965049744,0.15822581946849823,0.268932044506073,0.2662568986415863,0.26186084747314453,0.1543530523777008,0.3083189129829407,0.3103327453136444,0.1997273564338684,0.19748784601688385
rights,0.17263634502887726,0.2525300085544586,0.19085149466991425,0.245268315076828,0.26897159218788147,0.3334302306175232,0.19425496459007263,0.2579100430011749,0.2678678631782532,0.21814769506454468
groups,0.15471938252449036,0.1589982509613037,0.2438456416130066,0.3662751019001007,0.2124776840209961,0.1626560091972351,0.24723079800605774,0.27790749073028564,0.07313330471515656,0.14349548518657684
",",0.2827242314815521,0.3015086054801941,0.3716299831867218,0.40610817074775696,0.3769696354866028,0.30302485823631287,0.4946078956127167,0.4933079481124878,0.2472437173128128,0.31091248989105225
and,0.27806392312049866,0.34479495882987976,0.4655851125717163,0.5296266674995422,0.39099299907684326,0.23220686614513397,0.5116966962814331,0.5171257257461548,0.24696701765060425,0.20544172823429108
nine,0.11935080587863922,0.16091835498809814,0.22514288127422333,0.3415135145187378,0.1996583491563797,0.20243030786514282,0.29486238956451416,0.33253175020217896,0.13718298077583313,0.13964155316352844
western,0.10176598280668259,0.15773870050907135,0.128774031996727,0.24915564060211182,0.15095296502113342,0.10490260273218155,0.32974064350128174,0.37920868396759033,0.15533636510372162,0.17439141869544983
countries,0.17245282232761383,0.2888847887516022,0.2694237530231476,0.4298940598964691,0.30537277460098267,0.24642221629619598,0.2800094783306122,0.33290645480155945,0.13596095144748688,0.15128466486930847
criticised,0.24076254665851593,0.3698641061782837,0.2729324996471405,0.3333204388618469,0.34216126799583435,0.32572856545448303,0.19256818294525146,0.23299194872379303,0.17430849373340607,0.16855674982070923
the,0.30742117762565613,0.34736719727516174,0.4296516180038452,0.4335206151008606,0.4310511648654938,0.31595274806022644,0.733189046382904,1.0,0.24155211448669434,0.22068053483963013
security,0.17236489057540894,0.1400815099477768,0.16204014420509338,0.21784836053848267,0.14626416563987732,0.2536028027534485,0.26905277371406555,0.2683938145637512,0.18248559534549713,0.13810279965400696
bill,0.1613926887512207,0.1905326098203659,0.17159032821655273,0.13557864725589752,0.2060050219297409,0.2763877213001251,0.17127205431461334,0.24155211448669434,0.9999999403953552,0.12855131924152374
",",0.2827242314815521,0.3015086054801941,0.3716299831867218,0.40610817074775696,0.3769696354866028,0.30302485823631287,0.4946078956127167,0.4933079481124878,0.2472437173128128,0.31091248989105225
arguing,0.3438192903995514,0.33995285630226135,0.31313636898994446,0.22578471899032593,0.35258209705352783,0.24861131608486176,0.24923518300056458,0.2737332284450531,0.1533643752336502,0.2956003248691559
that,0.5601457357406616,0.47518548369407654,0.6779842376708984,0.5391656160354614,0.6600887179374695,0.3586376905441284,0.41498205065727234,0.5473989248275757,0.18864621222019196,0.32716336846351624
it,0.376611590385437,0.2993364930152893,0.49116790294647217,0.39615920186042786,0.4651523232460022,0.30362996459007263,0.38761502504348755,0.6251175999641418,0.164714053273201,0.25732165575027466
infringed,0.2700463533401489,0.28503283858299255,0.3246004581451416,0.23408180475234985,0.36592480540275574,0.3641328811645508,0.21162864565849304,0.23342125117778778,0.30409562587738037,0.2920352518558502
on,0.2698206305503845,0.2670976221561432,0.31848302483558655,0.32520127296447754,0.3516409695148468,0.25863519310951233,0.3966929316520691,0.5107308030128479,0.1958429217338562,0.2714994251728058
democratic,0.16120654344558716,0.14864127337932587,0.14505477249622345,0.16650725901126862,0.16124917566776276,0.2826550602912903,0.2273487150669098,0.21570740640163422,0.20434021949768066,0.1668088138103485
freedoms,0.21024246513843536,0.24399076402187347,0.2225584089756012,0.30241692066192627,0.2747879922389984,0.26357176899909973,0.27226173877716064,0.24135854840278625,0.2255987673997879,0.21596571803092957
.,0.32909876108169556,0.35288307070732117,0.45412498712539673,0.3974229395389557,0.4824007451534271,0.307916522026062,0.5352458953857422,0.5934505462646484,0.2289014607667923,0.4130953550338745
